81101: ACCT,"Accounting 1 Part 1"
81164: ACCT,"Legal Office Tech I"
81165: ACCT,"Legal Office Tech II"
81166: ACCT,"Legal Research and Writing"
81167: ACCT,"Marketing on the Internet"
81168: ACCT,"New Busi Ventures"
81169: ACCT,"Office&Personnel Mgt"
81170: ACCT,"Org&Oper A Small Bus"
81171: ACCT,"Personnel Admin"
81172: ACCT,"Prin Account 1 Pt 1"
81173: ACCT,"Prin Account 1 Pt 2"
81174: ACCT,"Prin Accounting 1"
81175: ACCT,"Prin Accounting 2"
81176: ACCT,"Prin Of Insurance"
81177: ACCT,"Prin Of Int’L Bus"
81178: ACCT,"Principles Of Accounting 3"
81179: ACCT,"Principles of Accounting I"
81180: ACCT,"Principles of Accounting II"
81181: ACCT,"Principles of Finance"
81182: ACCT,"Principles of Management"
81183: ACCT,"Principles of Marketing"
81184: ACCT,"Principles of Personal Selling"
81185: ACCT,"Principles of Real Estate"
81186: ACCT,"Real Estate Law for Paralegals"
81187: ACCT,"Sch Records&Accounts"
81188: ACCT,"Steno I Gregg"
81189: ACCT,"Steno I Machine"
81190: ACCT,"Steno II Gregg"
81191: ACCT,"Steno II Machine"
81192: ACCT,"Steno III ABC"
81193: ACCT,"Steno III Gregg"
81194: ACCT,"Steno III Machine"
81195: ACCT,"Steno III Pitman"
81196: ACCT,"Term Med Off Person"
81197: ACCT,"Trav @ Tour Ind /Stu"
81198: ACCT,"Trav Tour Hosp Law"
81199: ACCT,"Trav Tour Hosp Mktg"
81200: ACCT,"Trav Tr Hosp Tech Sy"
81201: ACCT,"Urb Sty-Profile Bus"
81202: ACCT,"Wills81203: ACCT,"Word Processing I"
81204: ACCT,"Word Processing II"
81205: ACCT,"Wrld Trvl & Tour Des"
81206: ACIM,"Academy Cluster"
81207: ACIM,"Bus/Tech Academy"
81208: ACIM,"Business Academy"
81209: ACIM,"Coop Educ Ext-Day"
81210: ACIM,"Liberal Arts Academy"
81211: ACIM,"Writ. Act Prep Intsv"
81212: ADVI,"C.A.S.P. Adv Meet"
81213: ADVI,"College Discovery Orientation"
81214: ADVI,"My First Day-Orientation"
81215: AMSL,"ASL Fingerspelling I"
81216: AMSL,"ASL Fingerspelling II"
81217: AMSL,"American Sign Language 1"
81218: AMSL,"American Sign Language 2"
81219: AMSL,"American Sign Language 3"
81220: AMSL,"American Sign Language 4"
81221: AMSL,"Sign Language Linguistics"
81222: ARAB,"Arab Cinema"
81223: ARAB,"Arab Lit Trans"
81224: ARAB,"Arabic for Heritage Speakers"
81225: ARAB,"Elementary Arabic I"
81226: ARAB,"Elementary Arabic II"
81227: ARAB,"Intermediate Arabic"
81228: ARAB,"Intermediate Arabic 2"
81229: ARAB,"Modern Arabic Literature"
81230: ARCO,"Acting I"
81231: ARCO,"Acting II"
81232: ARCO,"American Film"
81233: ARCO,"American Film Comedy"
81234: ARCO,"Argumentation and Debate"
81235: ARCO,"Art of Theatre"
81236: ARCO,"Comm Non-Native Spkr"
81237: ARCO,"Communication Theory"
81238: ARCO,"Communication and Technology"
81239: ARCO,"Coop Child"
81240: ARCO,"Creative Drama"
81241: ARCO,"Directing for the Stage"
81242: ARCO,"Exp Learn Comm Std"
81243: ARCO,"Film and the Supernatural"
81244: ARCO,"Gender and Communication"
81245: ARCO,"Group Comm."
81246: ARCO,"Health Communication"
81247: ARCO,"Indep Stdy Comm Skills"
81248: ARCO,"Interpersonal Communication"
81249: ARCO,"Intro to Comm"
81250: ARCO,"Introduction to Broadcasting"
81251: ARCO,"Introduction to Media Literacy"
81252: ARCO,"Language Application Workshop"
81253: ARCO,"Literature and Film"
81254: ARCO,"Mass Communication"
81255: ARCO,"Non-Verbal Communication"
81256: ARCO,"Normal Language Development"
81257: ARCO,"Oral Interpretation"
81258: ARCO,"Organizational Communication"
81259: ARCO,"Persuasion"
81260: ARCO,"Phonetics"
81261: ARCO,"Postproduction"
81262: ARCO,"Prin Comm Non-Native"
81263: ARCO,"Professional Communication"
81264: ARCO,"Public Relations"
81265: ARCO,"Public Relations Campaign"
81266: ARCO,"Public Relations Writing"
81267: ARCO,"Public Speaking"
81268: ARCO,"Race and Communication"
81269: ARCO,"Screenwriting"
81270: ARCO,"Small Group Communication"
81271: ARCO,"Spch/Lang/Hear Dsord"
81272: ARCO,"Sports Communication"
81273: ARCO,"The Art of Film"
81274: ARCO,"Theater Profession"
81275: ARCO,"Theatre Production Workshop"
81276: ARCO,"Theatre as Communication"
81277: ARCO,"Video Production Workshop"
81278: ARCO,"Video Production Workshop II"
81279: ARCO,"Voice and Diction"
81280: ART,"2-D Design"
81281: ART,"21st Century Photography"
81282: ART,"Advanced Drawing"
81283: ART,"Alternative Photography"
81284: ART,"Art & Design Wkshp."
81285: ART,"Art Hist Ptr To Goth"
81286: ART,"Art Hist Ren To Mod"
81287: ART,"Art In New York"
81288: ART,"Art and Design Seminar"
81289: ART,"Art of the Twentieth Century"
81290: ART,"Art: Independent Study"
81291: ART,"Beginning Drawing"
81292: ART,"Beginning Painting"
81293: ART,"Beginning Photography"
81294: ART,"Beginning Printmaking"
81295: ART,"Beginning Sculpture"
81296: ART,"CAID"
81297: ART,"Color Darkroom Techniques"
81298: ART,"Color Photography"
81299: ART,"Color Theory"
81300: ART,"Comm Photo Workshop"
81301: ART,"Commercial Photography Seminar"
81302: ART,"Computer Art II"
81303: ART,"Computer Art III"
81304: ART,"Digital Photography I"
81305: ART,"Digital Photography II"
81306: ART,"Digital Prototyping"
81307: ART,"Dominican Arts and Culture"
81308: ART,"Exp Learn FA"
81309: ART,"Exp Learn Photo"
81310: ART,"FYS Fine Arts"
81311: ART,"Form and Structure"
81312: ART,"Graphic Narrative"
81313: ART,"History of Design"
81314: ART,"History of Illustration"
81315: ART,"History of Photography"
81316: ART,"Illustration"
81317: ART,"Independent Study Art"
81318: ART,"Industrial Design Capstone"
81319: ART,"Industrial Design Drawing"
81320: ART,"Industrial Design Studio I"
81321: ART,"Industrial Design Studio II"
81322: ART,"Interm Sculpture"
81323: ART,"Intermediate Drawing"
81324: ART,"Intermediate Painting"
81325: ART,"Intermediate Photography"
81326: ART,"Intermediate Sculpture"
81327: ART,"Introduction to African Art"
81328: ART,"Introduction to Art"
81329: ART,"Introduction to Computer Art"
81330: ART,"Introduction to Design"
81331: ART,"Introduction to Woodworking"
81332: ART,"Introduction to Workshop"
81333: ART,"Latin American Art"
81334: ART,"Life Drawing"
81335: ART,"Manufacturing P & M"
81336: ART,"Modelmaking"
81337: ART,"Photography"
81338: ART,"Renaissance Art"
81339: ART,"Solidworks Essentials"
81340: ART,"Studio Lighting"
81341: ART,"Studio Lighting II"
81342: ART,"The Art of Eastern Asia"
81343: ART,"The View Camera"
81344: ART,"Three Dimensional Design"
81345: ASAP,"ASAP Career Seminar"
81346: ASAP,"ASAP Leadership Seminar"
81347: ASAP,"ASAP Winter Institute"
81348: BENG,"Bengali for Heritage Students"
81349: BENG,"Elementary Bengali 2"
81350: BENG,"Elementary Bengali I"
81351: BENG,"Intermediate Bengali"
81352: BENG,"Modern Bengali Literature"
81353: BILI,"Biling Lang Arts"
81354: BILI,"Bilingual Child"
81355: BILI,"Prin & Prac/Bilng Ed"
81356: BIOL,"Biological Drawing"
81357: BIOL,"Biotechnology I"
81358: BIOL,"Cell Biology"
81359: BIOL,"Ecology"
81360: BIOL,"Food Microbiology"
81361: BIOL,"Fund of Bio 1"
81362: BIOL,"Fund of Bio 2"
81363: BIOL,"Fundamentals of Biotechniques"
81364: BIOL,"Fundamentals of Human Biology"
81365: BIOL,"General Biology Elective"
81366: BIOL,"General Biology I"
81367: BIOL,"General Biology II"
81368: BIOL,"General Microbiology"
81369: BIOL,"Human Anatomy & Physiology 1"
81370: BIOL,"Human Anatomy & Physiology 2"
81371: BIOL,"Human Biology"
81372: BIOL,"Indep Study Physiology"
81373: BIOL,"Introduction to Neuroscience"
81374: BIOL,"Molecular Biology"
81375: BIOL,"Principles of Biology"
81376: BIOL,"Principles of Botany"
81377: BIOL,"Topics in Biological Sciences"
81378: BIOL,"Vert Anat & Phys 1"
81379: BIOL,"Vert Anat & Phys II"
81380: BIOL,"Vertebrate Evolution"
81381: BUAV,"Intro Aviation Bus"
81382: BUAV,"Intro Aviation Mgmt"
81383: BUAV,"Intro Aviation Oper"
81384: BUIN,"B & T Internship Ex"
81385: BUIN,"Business Internship"
81386: BUIN,"Business Internship II"
81387: BUIN,"People81388: BUIN,"S/A Internship"
81389: BUMA,"Admn. Assnt. Elective"
81390: BUMA,"Bus Org & Mngmt"
81391: BUMA,"Business Admin & Mngmt"
81392: BUMA,"ORG Small Business"
81393: BUMA,"Office & Personnel MNGMT"
81394: BUMA,"Principles of Insurance"
81395: BUMA,"Salesmanship"
81396: BUSI,"Afro American Literature"
81397: BUSI,"Basic Income TAX Proc Bus Tax"
81398: BUSI,"Bus Communications"
81399: BUSI,"Business Law"
81400: BUSI,"Business Law II"
81401: BUSI,"Business and Technology"
81402: BUSI,"Childrens Literature"
81403: BUSI,"Ed Pro Scse"
81404: BUSI,"Elem Typing"
81405: BUSI,"FYS Natural Sciences"
81406: BUSI,"First Year Sem NS"
81407: BUSI,"First Yr Seminar Bus"
81408: BUSI,"Fundamental Writing"
81409: BUSI,"Images Of Women In Lit"
81410: BUSI,"Internt 2.0 & Beyond"
81411: BUSI,"Intro to Word Processing"
81412: BUSI,"Introduction to Business"
81413: BUSI,"Int’L Business"
81414: BUSI,"Lce 299"
81415: BUSI,"Legal Stenography I81416: BUSI,"Legal Stenography81417: BUSI,"Legal Vocabulary I"
81418: BUSI,"Literature Of The City"
81419: BUSI,"Personal Selling"
81420: BUSI,"Principles of Accounting I"
81421: BUSI,"Principles of Finance"
81422: BUSI,"Principles of Real Estate"
81423: BUSI,"Short Story"
81424: BUSI,"Stenography 181425: BUSI,"Stenography II81426: BUSI,"Stenography III81427: BUSI,"Stenography III81428: BUSI,"Stenography Ii81429: BUSI,"Stenography Iii81430: BUSI,"The Poetic Experience"
81431: BUSI,"Topics In Media Lab"
81432: BUSI,"Transcription I"
81433: BUSI,"Transcription II"
81434: BUSI,"Typing III"
81435: BUSI,"Voices Women"
81436: BUSI,"Writing & Literature"
81437: BUSI,"Writing For Business"
81438: CADE,"Career Development Seminar"
81439: CADE,"Freshman Seminar"
81440: CFMA,"College Focus Mathematics"
81441: CFRW,"College Focus ELA"
81442: CHEM,"Biological Chemistry"
81443: CHEM,"Chemistry of Photography"
81444: CHEM,"Foundations of Chemistry"
81445: CHEM,"Fundamentals of Chemistry 1"
81446: CHEM,"Fundamentals of Chemistry 2"
81447: CHEM,"General Chemistry I"
81448: CHEM,"General Chemistry II"
81449: CHEM,"Introduction to Chemistry"
81450: CHEM,"Organic Chemistry I"
81451: CHEM,"Organic Chemistry II"
81452: CHEM,"Scc 196"
81453: CHEM,"Topics in Chemistry"
81454: CHIN,"Chinese Hrtg Speak II"
81455: CHIN,"Chinese Lit Trans"
81456: CHIN,"Chinese for Community Wellness"
81457: CHIN,"Chinese for Heritage Students"
81458: CHIN,"Classic Chinese Literature"
81459: CHIN,"Cont Chinese Lit"
81460: CHIN,"Elementary Modern Chinese I"
81461: CHIN,"Elementary Modern Chinese II"
81462: CHIN,"Int Elem Chinese 1&2"
81463: CHIN,"Intermediate Chinese"
81464: CHIN,"Intermediate Chinese 2"
81465: CHIN,"Modern Chinese Literature"
81466: CMIS,"Adv Database"
81467: CMIS,"Advanced Network Sec"
81468: CMIS,"Advanced Unix"
81469: CMIS,"Advanced Unix Sys Ad"
81470: CMIS,"Advanced Window Nt"
81471: CMIS,"Assemb Lang Comp Sci"
81472: CMIS,"Assembler Programing Language"
81473: CMIS,"C/C++ Programming"
81474: CMIS,"Cics With Cobol"
81475: CMIS,"Cis Indepedent Study"
81476: CMIS,"Comp Electronics 2"
81477: CMIS,"Comparative Operating Systems"
81478: CMIS,"Comput Interfacing"
81479: CMIS,"Comput Project Lab"
81480: CMIS,"Computer Architecture"
81481: CMIS,"Computer Electronics I"
81482: CMIS,"Computer Electronics II"
81483: CMIS,"Computer Forensics"
81484: CMIS,"Computer Graphics"
81485: CMIS,"Computer Logic 1"
81486: CMIS,"Computer Logic 2"
81487: CMIS,"Computer Repair"
81488: CMIS,"Computer Topics 2"
81489: CMIS,"Computers and Society"
81490: CMIS,"Data Advanced Topics"
81491: CMIS,"Data Base Applications"
81492: CMIS,"Data Center Oper"
81493: CMIS,"Data Communications"
81494: CMIS,"Data Structures"
81495: CMIS,"Databases"
81496: CMIS,"Dbase Concepts&Prog"
81497: CMIS,"Decision Spport Sys"
81498: CMIS,"Dynamic Web Development"
81499: CMIS,"E-Commerce Technology"
81500: CMIS,"Educational Computing"
81501: CMIS,"Fortran Programming"
81502: CMIS,"Global Info. Systems"
81503: CMIS,"Ind Study D.P."
81504: CMIS,"Independent Sty D.P."
81505: CMIS,"Integrated Software Systems"
81506: CMIS,"Internet Game Design"
81507: CMIS,"Internet Skills"
81508: CMIS,"Internet Telephony"
81509: CMIS,"Internet Video"
81510: CMIS,"Intro Computer Sci"
81511: CMIS,"Intro To Bioinformat"
81512: CMIS,"Intro To Computers"
81513: CMIS,"Intro To Desktop Pub"
81514: CMIS,"Introduction to Media"
81515: CMIS,"Introduction to Teleprocessing"
81516: CMIS,"Msdos Concpts & Prog"
81517: CMIS,"Multimedia/Web Desgn"
81518: CMIS,"Mvs/Os Control Lang"
81519: CMIS,"Network Operations"
81520: CMIS,"Network Security"
81521: CMIS,"Network and Systems Security"
81522: CMIS,"Novell Nos"
81523: CMIS,"Object-Oriented Programming"
81524: CMIS,"Presentation Graphics"
81525: CMIS,"Prin Of Prog/Basic"
81526: CMIS,"Rpg Programming"
81527: CMIS,"Spreadsheet Applications"
81528: CMIS,"Structured Cobol"
81529: CMIS,"Systems Analysis and Design"
81530: CMIS,"Top In Cis: Win Pgm"
81531: CMIS,"Topics In Cis"
81532: CMIS,"Topics In Cis (Tba)"
81533: CMIS,"Topics In Cis:Html"
81534: CMIS,"Topics: Cisco Router"
81535: CMIS,"Unix Network Operating Systems"
81536: CMIS,"Web Animation"
81537: CMIS,"Web Programming I"
81538: CMIS,"Web Programming III"
81539: CMIS,"Windows Nt Nos"
81540: CMSC,"Computer Graphics"
81541: CMSC,"Computers and Society"
81542: CMSC,"Data Advanced Topics"
81543: CMSC,"Data Center Operations"
81544: CMSC,"Database Applications"
81545: CMSC,"Databases"
81546: CMSC,"Educational Computing"
81547: CMSC,"Integrated Software Systems"
81548: CMSC,"Intro Desktop Publsh"
81549: CMSC,"Intro to Comp Apps & Tech"
81550: CMSC,"Intro to Computers and Apps I"
81551: CMSC,"Intro to Inform Syst"
81552: CMSC,"Opt. Stim. Using C++"
81553: CMSC,"Presentation Graphics"
81554: CMSC,"Spreadsheet Applications"
81555: CMSC,"Topics in CIS Oracle"
81556: CMSC,"Visual Basic"
81557: COMM,"Academic Reading Strategies"
81558: COMM,"Advanced Reading and Study"
81559: COMM,"Basic Reading Skills"
81560: COMM,"CUNY Start Reading"
81561: COMM,"Chinese Int 096"
81562: COMM,"ESL I"
81563: COMM,"ESL II"
81564: COMM,"ESL III"
81565: COMM,"ESL IV"
81566: COMM,"Effective Speaking"
81567: COMM,"Eng Second Lang 2"
81568: COMM,"Eng Second Lang 3"
81569: COMM,"Eng Second Lang 4"
81570: COMM,"English as a Second Language I"
81571: COMM,"Essent Math 1"
81572: COMM,"Essent Math 2"
81573: COMM,"Essentials Reading I"
81574: COMM,"Essentials of Reading I"
81575: COMM,"Essentials of Reading II"
81576: COMM,"Evolution of Reading"
81577: COMM,"FYS Comm Studies"
81578: COMM,"Fund Of Reading 1"
81579: COMM,"Fund Of Reading II"
81580: COMM,"Group Discussion"
81581: COMM,"Inten Writing and Reading"
81582: COMM,"Intensive Communicat"
81583: COMM,"Intensive Esl 1&2"
81584: COMM,"Intensive Esl 3&4"
81585: COMM,"Intensive Reading 2"
81586: COMM,"Intensive Reading 3"
81587: COMM,"Intensive Reading III"
81588: COMM,"Intermed ESL Chinese Spkrs II"
81589: COMM,"Intern Read/Writing"
81590: COMM,"Intro To Speech"
81591: COMM,"Lcd_120"
81592: COMM,"Liter & Propaganda Accel"
81593: COMM,"Literacy and Propaganda"
81594: COMM,"Math 1 Express"
81595: COMM,"Math II Express"
81596: COMM,"Math Workshop CN"
81597: COMM,"Pre-Fresh Strategies"
81598: COMM,"Reading"
81599: COMM,"Reading Act Wrkshp"
81600: COMM,"Reading Express"
81601: COMM,"Reading Fundamentals"
81602: COMM,"Reading and Study Skills"
81603: COMM,"Reading the Biography"
81604: COMM,"Science Express"
81605: COMM,"Speed Reading"
81606: COMM,"Speed Reading (Exp)"
81607: COMM,"Strategies/Library"
81608: COMM,"Vocabulary Enhancement"
81609: COMM,"Writing Express"
81610: COUN,"Freshman Seminar/All Majors"
81611: COUN,"NSS/Allied Hlth Acd"
81612: COUN,"NSS/Bus/Tech Academy"
81613: COUN,"NSS/Coll. Discovery"
81614: COUN,"NSS/Lib Arts Academy"
81615: COUN,"New Std Sem Ali Hlt"
81616: COUN,"New Stu Sem Esl096/7"
81617: COUN,"New Stu Sem Mort Sci"
81618: COUN,"New Stu Sem/Acct Bus"
81619: COUN,"New Stu Sem/Anml Hlt"
81620: COUN,"New Stu Sem/Comp Sci"
81621: COUN,"New Stu Sem/Crm Just"
81622: COUN,"New Stu Sem/Esl98/99"
81623: COUN,"New Stu Sem/Hlth Car"
81624: COUN,"New Stu Sem/Hum Svc"
81625: COUN,"New Stu Sem/Ot"
81626: COUN,"New Stu Sem/Pta"
81627: COUN,"New Stu Sem/Sec Sci"
81628: COUN,"New Stu Sem/Soc Sci"
81629: COUN,"New Stud Sem D.T."
81630: COUN,"New Stud Sem Dt Proc"
81631: COUN,"New Stud/Education"
81632: COUN,"New Student Seminar-All Majors"
81633: COUN,"New Student Seminar/Humanities"
81634: COUN,"New Student Seminar/Nursing"
81635: COUN,"New Student Seminar/Psychology"
81636: COUN,"New Student Seminar/STEM"
81637: DANC,"Creating Dances"
81638: DANC,"Creative Dances"
81639: DANC,"Theatrical Dance I"
81640: DANC,"Theatrical Dance II"
81641: DATA,"Adv Cobol"
81642: DATA,"Advance Cobol"
81643: DATA,"Assembler Language"
81644: DATA,"Assembler Language II"
81645: DATA,"Basic Cobol"
81646: DATA,"Basic Computer Operations"
81647: DATA,"Computer Operations 1"
81648: DATA,"Computer Operations 2"
81649: DATA,"Dp Appl Acct"
81650: DATA,"Intro Data Process"
81651: DATA,"Operating Systems"
81652: DATA,"Report Prog Generator"
81653: DATA,"Systems Analysis & Design"
81654: DESK,"Atw (Writing)"
81655: DIET,"Cars in Nutr Cul Mgt"
81656: DIET,"Clinical Nutrition A"
81657: DIET,"Clinical Nutrition B"
81658: DIET,"Coop Prep Diet Tech"
81659: DIET,"Culinary Arts I"
81660: DIET,"Culinary Arts II"
81661: DIET,"Culinary Management"
81662: DIET,"Diet Field Exper 4"
81663: DIET,"Diet Tech Ind Stdy"
81664: DIET,"Dietetic Field Experience I"
81665: DIET,"Dietetic Field Experience II"
81666: DIET,"Dietetic Field Experience III"
81667: DIET,"Dietetic Seminar"
81668: DIET,"Dining Management"
81669: DIET,"Foods"
81670: DIET,"Intent to Dietetic Tech"
81671: DIET,"Introduction to Culinary Arts"
81672: DIET,"Introductory Nutrition"
81673: DIET,"Life Cycle Nutrition"
81674: DIET,"Menu Planning and Production"
81675: DIET,"Nutr Cul Mgmt Intern"
81676: DIET,"Nutrition Counseling"
81677: DIET,"Nutrition and Disease"
81678: DIET,"Principles of Purchasing"
81679: DIET,"Principles of Sanitation"
81680: DIET,"Scd 240"
81681: EDCO,"3rd Pt Internship"
81682: EDCO,"Adv Court Report 1"
81683: EDCO,"Adv Court Report 2"
81684: EDCO,"Animal Research"
81685: EDCO,"Appl of Psy to Wrkpl"
81686: EDCO,"COOP Seminar"
81687: EDCO,"Cex 200"
81688: EDCO,"Co-Op Ed: Gateway"
81689: EDCO,"Co-Op P/T Internship"
81690: EDCO,"Co-Op Prep Eng. Sci."
81691: EDCO,"Co-Op Seminar"
81692: EDCO,"Coop Ed 3"
81693: EDCO,"Coop Ed 4"
81694: EDCO,"Coop Education"
81695: EDCO,"Coop Gateway: Acct"
81696: EDCO,"Coop Gateway: All"
81697: EDCO,"Coop Gateway: Bus/Tr"
81698: EDCO,"Coop Gateway: CIS"
81699: EDCO,"Coop Gateway: La/Las"
81700: EDCO,"Coop Gateway: Office"
81701: EDCO,"Coop Gateway: P/T"
81702: EDCO,"Coop Gateway: Vet"
81703: EDCO,"Coop Gateway:Foodmgt"
81704: EDCO,"Coop Indep Study"
81705: EDCO,"Coop Prep"
81706: EDCO,"Coop Prep  C.I.S."
81707: EDCO,"Coop Preparation"
81708: EDCO,"Coop Seminar"
81709: EDCO,"Coop Seminar 1"
81710: EDCO,"Coop Seminar 2"
81711: EDCO,"Coop Seminar 2 Dt"
81712: EDCO,"Coop Seminar 3"
81713: EDCO,"Coop Seminar Hum Svs"
81714: EDCO,"Coop Seminar P.T."
81715: EDCO,"Coop Seminar Vet Tec"
81716: EDCO,"Coop Seminar-3"
81717: EDCO,"Coop Semniar 3"
81718: EDCO,"Coop: Biled Int I"
81719: EDCO,"Coop: Biled Int II"
81720: EDCO,"Coop: Chldhd Int I"
81721: EDCO,"Coop: Chldhd Int II"
81722: EDCO,"Coop: Sec. Ed Int I"
81723: EDCO,"Coop: Sec. Ed Int II"
81724: EDCO,"Cooperative Education"
81725: EDCO,"Cooperative Education 5"
81726: EDCO,"Court Report 1"
81727: EDCO,"Court Reporting 2"
81728: EDCO,"Courtroom Communic"
81729: EDCO,"Critical Reflection"
81730: EDCO,"Ecap Prep All Majors"
81731: EDCO,"F/T Co-Op Internship"
81732: EDCO,"Fund Prof Advancemnt"
81733: EDCO,"Fund. Of Career Adv."
81734: EDCO,"Ind Study Unr Elect"
81735: EDCO,"Integrated Software"
81736: EDCO,"Intro To Office Sys"
81737: EDCO,"Legal/Med Term"
81738: EDCO,"Offices Practice"
81739: EDCO,"Reflect. Practice II"
81740: EDCO,"Reflective Practice"
81741: EDCO,"Sec SCI Elective"
81742: EDCO,"Span Steno 2"
81743: EDCO,"The Future Of Work"
81744: EDCO,"Veterinary Practice"
81745: EDCO,"Word Proc 1 Exp"
81746: EDCO,"Word Proc 2 Exp"
81747: EDCO,"Word Processing 1"
81748: EDCO,"Word Processing 2"
81749: EDEC,"Integrated Curr A"
81750: EDEC,"Integrated Curr B"
81751: EDEC,"Integrated Curr C"
81752: EDLA,"Elem ML Equiv 1"
81753: EDLA,"Elem ML Equiv 1cr"
81754: EDLA,"Elem Mod Lang Cult Equiv 2"
81755: EDLA,"Elementary Haitian Creole I"
81756: EDLA,"Elementary Haitian Creole II"
81757: EDLA,"English Grammar Syntax"
81758: EDLA,"English Morphology"
81759: EDLA,"FYS Education"
81760: EDLA,"Fundamentals of Writing"
81761: EDLA,"Heritage Haitian"
81762: EDLA,"Intermed Mdrn Lan Cult Equi II"
81763: EDLA,"Intermed Mdrn Language Equiv I"
81764: EDLA,"International Schooling Global"
81765: EDLA,"Intro to Sociolinguistics"
81766: EDLA,"Introduction to Language"
81767: EDLA,"Lang Issues in GW"
81768: EDLA,"Normal Language Development"
81769: EDLA,"Structure of English"
81770: EDUC,"Arts in Education"
81771: EDUC,"Bilingual Intensive"
81772: EDUC,"Class Dynamics"
81773: EDUC,"Developing Creativity"
81774: EDUC,"EDU Psychology Bilingual"
81775: EDUC,"Edu Psychology Hispanic"
81776: EDUC,"Family81777: EDUC,"Fieldwork I Bil. Ed"
81778: EDUC,"Fieldwork I Child Ed"
81779: EDUC,"Fieldwork I Sec. Ed"
81780: EDUC,"Fieldwork II Bil. Ed"
81781: EDUC,"Fieldwork II Child Ed"
81782: EDUC,"Fieldwork II Sec Ed"
81783: EDUC,"Lang & Lit Child Ed"
81784: EDUC,"Lang & Lit Sec Ed"
81785: EDUC,"Lang & Lit in ECE"
81786: EDUC,"Lang Lit Child Ed"
81787: EDUC,"Music Ed In Ece"
81788: EDUC,"Reflective Sem I Sec Ed"
81789: EDUC,"Reflective Sem II Bil & Child"
81790: EDUC,"Reflective Sem II Sec Ed"
81791: EDUC,"Seminar I Child & Bil. Ed"
81792: ENGL,"ACT Writing Prep Wrkshp"
81793: ENGL,"Advanced Digital Journalism"
81794: ENGL,"Advanced Esl"
81795: ENGL,"Afro-American Literature"
81796: ENGL,"American Literature I"
81797: ENGL,"American Literature II"
81798: ENGL,"Art81799: ENGL,"Asian American Literature"
81800: ENGL,"Basic Writing"
81801: ENGL,"Basic Writing 3"
81802: ENGL,"Basic Writing I"
81803: ENGL,"British Literature I"
81804: ENGL,"British Literature II"
81805: ENGL,"Broadcst Journ:Radio"
81806: ENGL,"CUNY Start Writing"
81807: ENGL,"Children’s Literature I"
81808: ENGL,"Classical Literature"
81809: ENGL,"Comp I Accelerated"
81810: ENGL,"Composition I"
81811: ENGL,"Composition I Accelerated"
81812: ENGL,"Contemp Black American Lit"
81813: ENGL,"Creative Nonfiction Workshop"
81814: ENGL,"Cultural Identity Am Lit"
81815: ENGL,"ESL II for Science and Health"
81816: ENGL,"ESL III for Science and Health"
81817: ENGL,"Eng 195"
81818: ENGL,"Eng_172"
