58877: ACCT,"ACC 2203 Lecture"
58977: ANTH,"Hon Sel Top In Ant"
58978: ANTH,"Hon Writers & Their Spiritual"
58979: ANTH,"Honors - Anthropology I"
58980: ANTH,"Honors II"
58981: ANTH,"Honors Reading and Research"
58982: ANTH,"Honors-Intro to Cul Anthro"
58983: ANTH,"Independent Study ANT I"
58984: ANTH,"Independent Study ANT II"
58985: ANTH,"Intro to Cultural Anthropology"
58986: ANTH,"Intro to Human Geography"
58987: ANTH,"Language58988: ANTH,"Magic Witchcraft Rel"
58989: ANTH,"Magic58990: ANTH,"Native Americans"
58991: ANTH,"New York: The Global City"
58992: ANTH,"North Amer Indians"
58993: ANTH,"Passing58994: ANTH,"People and Culture of Haiti"
58995: ANTH,"People/Cult Mediterr"
58996: ANTH,"Power and Conflict"
58997: ANTH,"Race and Ethnic Relation"
58998: ANTH,"Religious Worlds of New York"
58999: ANTH,"Res Mth Socio/Anthro"
59000: ANTH,"Sel Topics Ant/Soc"
59001: ANTH,"Semi On The Ant Of Peace & War"
59002: ANTH,"Social Communication"
59003: ANTH,"Sociological Theory"
59004: ANTH,"Sociology of Health and Illnes"
59005: ANTH,"Sociology of the Family"
59006: ANTH,"South Asian Religion"
59007: ANTH,"The Lives of Hinduism"
59008: ANTH,"The Religion of Everyday Life"
59009: ANTH,"The Remaking Of New York"
59010: ANTH,"The Tradition of Islam"
59011: ANTH,"The U.S. and Mexican Border"
59012: ANTH,"Tran Btwn Worlds: Lit & Ant"
59013: ANTH,"Urban Anthropology"
59014: ANTH,"Women&Culture/Society"
59015: ANTH,"Women59016: ANTH,"World Regional Geography"
59017: ARAB,"Elementary Arabic"
59018: ARAD,"Adv Mgt & Strategy"
59019: ARAD,"Adv Principles"
59020: ARAD,"Advertising Res"
59021: ARAD,"Advt Copy Technqs"
59022: ARAD,"Broadcast Advt Probs"
59023: ARAD,"Campaigns & Media"
59024: ARAD,"Contmpory Issus Advt"
59025: ARAD,"Direct Mail Prob"
59026: ARAD,"Media Plan & Analys"
59027: ARAD,"Publicity & Promotn"
59028: ARAD,"Radio & Tel Advert"
59029: ARAD,"Res Mthd For Thesis"
59030: ARAD,"Res Sem I"
59031: ARAD,"Res Sem II"
59032: ARAD,"Thesis"
59033: ARFP,"Adv Prac in RD for the Arts"
59034: ARFP,"Arts Administration Internship"
59035: ARFP,"Arts59036: ARFP,"Audience Development and Membe"
59037: ARFP,"Capstone: Arts In NYC"
59038: ARFP,"Cultural Policy and the Arts"
59039: ARFP,"Devel & Mgmt of Art Edu Prgms"
59040: ARFP,"FIN/Per Arts Req Met"
59041: ARFP,"FIN/Per Gen Ed Req M"
59042: ARFP,"FPA Honors I"
59043: ARFP,"FPA Honors II"
59044: ARFP,"FPA Honors III"
59045: ARFP,"Fine & Perfor Arts Honors I"
59046: ARFP,"Hon Capstone Arts In NYC"
59047: ARFP,"Honors - Arts in New York City"
59048: ARFP,"Independent Study FPA I"
59049: ARFP,"Independent Study FPA II"
59050: ARFP,"Independent Study FPA III"
59051: ARFP,"Independent Study FPA IV"
59052: ARFP,"Independent Study in AA"
59053: ARFP,"Intro Arts Administ"
59054: ARFP,"Managing in Arts Environments"
59055: ARFP,"Marketing the Arts"
59056: ARFP,"Prof Consultancy/Thesis in AA"
59057: ARFP,"Prof Internship in Arts Admin"
59058: ARFP,"Selected Topics in Arts Admin"
59059: ARFP,"Spc Top In Med & Art"
59060: ARFP,"Spec Topics in Mus & Glry Mgt"
59061: ARFP,"Spec Topics in Theatre Mgt"
59062: ARFP,"Touring & Presentation of Arts"
59063: ARNM,"Animation and Motion Graphics"
59064: ARNM,"Art Games and Virtual Worlds"
59065: ARNM,"Digital Interactivity"
59066: ARNM,"Digital Photography"
59067: ARNM,"Introduction to New Media Arts"
59068: ARNM,"NMA In Theory and Practice"
59069: ARNM,"Performing with New Media"
59070: ARNM,"Special Topic In Media  & Arts"
59071: ARNM,"Video I"
59072: ART,"African Art"
59073: ART,"Animation and Motion Graphics"
59074: ART,"Architecture and the City"
59075: ART,"Art Advanced Elec"
59076: ART,"Art History Survey I"
59077: ART,"Art History Survey II"
59078: ART,"Art Honors III"
59079: ART,"Art Of The 19th Cent"
59080: ART,"Art Survey"
59081: ART,"Art of the United States"
59082: ART,"Asian Art"
59083: ART,"Baroque and Rococo Art"
59084: ART,"Basic Drawing"
59085: ART,"Basic Graphic Commun"
59086: ART,"Basic Painting"
59087: ART,"Basic Photography"
59088: ART,"Basic Sculpture"
59089: ART,"Capstone: Design/Pho"
59090: ART,"Computer Based Image"
59091: ART,"Computer-Based Graphic Design"
59092: ART,"Corporate Design"
59093: ART,"Corporate Design II"
59094: ART,"Digital Photography"
59095: ART,"Graph Comm: Illustra"
59096: ART,"Graphic Comm Int II"
59097: ART,"Graphic Communic Int"
59098: ART,"Greek and Roman Art"
59099: ART,"History of Modern Architecture"
59100: ART,"History of Modern Design"
59101: ART,"History of Photography"
59102: ART,"Honors - Art History Survey I"
59103: ART,"Honors Art History Survey II"
59104: ART,"Honors Art II"
59105: ART,"Honors Digital Photo"
59106: ART,"Honors Special Topics in Art H"
59107: ART,"Honors in Art I"
59108: ART,"Honors- Special Topics in Art"
59109: ART,"Independent Study Art I"
59110: ART,"Independent Study Art II"
59111: ART,"Independent Study Art III"
59112: ART,"Independent Study Art IV"
59113: ART,"Independent Study Art V"
59114: ART,"Intermediate Drawing"
59115: ART,"Intermediate Graphic Communica"
59116: ART,"Intermediate Photography"
59117: ART,"Intro Arts Administ"
59118: ART,"Intro Design Visual"
59119: ART,"Islamic Art"
59120: ART,"Medieval Art"
59121: ART,"Modern Latin American Art"
59122: ART,"Museums and Gallery Studies"
59123: ART,"Native Art of the Americas"
59124: ART,"Photojournalism"
59125: ART,"Principles of Internet Design"
59126: ART,"Principles of Visual Art (2D)"
59127: ART,"Principles of Visual Art (3D)"
59128: ART,"Print Production"
59129: ART,"Renaissance Art"
59130: ART,"Senior Seminar"
59131: ART,"Spec Tops In Art His"
59132: ART,"Special Topics in Art (Studio)"
59133: ART,"The Art Market"
59134: ART,"Twentieth-Century Art"
59135: ART,"Typography:His & App"
59136: ART,"Typogrphy His & Appl"
59137: ART,"Visual Arts On Film"
59138: ARTX,"Arts Administr Intrn"
59139: ASAM,"A Survey of Asian History"
59140: ASAM,"Advanced Japanese: Learning th"
59141: ASAM,"Asian American History"
59142: ASAM,"China in Revolution"
59143: ASAM,"Chineses Immigration"
59144: ASAM,"Classical Buddhism"
59145: ASAM,"Classical Chinese Philosophy"
59146: ASAM,"Critical Approaches to Japanes"
59147: ASAM,"Film and Moving Image Culture"
59148: ASAM,"Herit Of Chinese Civ"
59149: ASAM,"History of Chinese Religion"
59150: ASAM,"History of Modern Southeast As"
59151: ASAM,"Indian Philosophy"
59152: ASAM,"Intro Asian American Studies"
59153: ASAM,"Intro Religions Asia"
59154: ASAM,"Issues Asian Amer St"
59155: ASAM,"Lang59156: ASAM,"Making of Modern India"
59157: ASAM,"Philosophies from India"
59158: ASAM,"South Asian Religion"
59159: ASAM,"The Emergence of Modern Japan"
59160: ASAM,"The Lives of Hinduism"
59161: ASAM,"The Rise Of Asia World Affairs"
59162: ASAM,"The Tradition of Islam"
59163: ASAM,"Top In Asian & Asian Ameri Stu"
59164: ASAM,"Vietnam at War"
59165: BIOL,"Animal Behavior"
59166: BIOL,"BIO 2010L Lecture"
59167: BIOL,"BIO 3001 Lecture"
59168: BIOL,"BIO 3010L Lecture"
59169: BIOL,"BIO 3015 Lecture"
59170: BIOL,"BIO 4004 Lecture"
59171: BIOL,"Biological Applications of Phy"
59172: BIOL,"Biology Advanced Ele"
59173: BIOL,"Biology Honors I"
59174: BIOL,"Biology of Green Plants"
59175: BIOL,"Biology of Invertebrates"
59176: BIOL,"Biostatistics"
59177: BIOL,"Cell Biology"
59178: BIOL,"Comp Vert Anat Lect"
59179: BIOL,"Comparative Vertebrate Anatomy"
59180: BIOL,"Consv Bio & Sust Dev"
59181: BIOL,"Development Biology"
59182: BIOL,"Endocrinology"
59183: BIOL,"Environmental Modeling"
59184: BIOL,"Freshwater Ecology"
59185: BIOL,"Freshwater Ecology Lecture"
59186: BIOL,"Fund Of Bio - Gen59187: BIOL,"Fund Of Bio: Human Bio Lab"
59188: BIOL,"Fund Of Bio: Human Bio Lect"
59189: BIOL,"Fund Of Living Systm"
59190: BIOL,"Fundamentals of Biology"
59191: BIOL,"Gen Bio Structure and Function"
59192: BIOL,"Gen Biol: Hered & Ev"
59193: BIOL,"Hon Consv Bio & Sus"
59194: BIOL,"Hon Independent Study BIO I"
59195: BIOL,"Honors"
59196: BIOL,"Honors - Microbiology"
59197: BIOL,"Honors Biology II"
59198: BIOL,"Honors Biology III"
59199: BIOL,"Honors Comp Vertebrate Anatomy"
59200: BIOL,"Honors Gen Bio Structure"
59201: BIOL,"Honors Living World"
59202: BIOL,"Honors Principles of Biology I"
59203: BIOL,"Human Physiology"
59204: BIOL,"Independent Study Biology I"
59205: BIOL,"Independent Study Biology II"
59206: BIOL,"Independent Study Biology III"
59207: BIOL,"Independent Study Biology IV"
59208: BIOL,"Independent Study Biology V"
59209: BIOL,"Intro Molecular Bio"
59210: BIOL,"Lect Gen Bio Struc"
59211: BIOL,"Lect Surv Living Wld"
59212: BIOL,"Microbiology"
59213: BIOL,"Mind59214: BIOL,"Molecular and Cellular Biology"
59215: BIOL,"Organic Evolution"
59216: BIOL,"Plants in Action"
59217: BIOL,"Plants in Action Lecture"
59218: BIOL,"Population Biology"
59219: BIOL,"Principles of Biology I"
59220: BIOL,"Principles of Biology II"
59221: BIOL,"Principles of Evolution: Proce"
59222: BIOL,"Principles of Genetics"
59223: BIOL,"Reading Science"
59224: BIOL,"Special Problems"
59225: BIOL,"Survey of the Living World"
59226: BIOL,"Survey of the Living World Lec"
59227: BIOL,"The Biology of Cells"
59228: BIOL,"The Biology of Cells Lecture"
59229: BIOL,"Vertebrate Histology"
59230: BUAD,"3 Faces Of Negotiati"
59231: BUAD,"Adv Independent Study BUS II"
59232: BUAD,"Bus Comm II:Bus Prof"
59233: BUAD,"Bus Comm II:Leadrshp"
59234: BUAD,"Bus Comm II:Qnt&Tech"
59235: BUAD,"Bus Research Seminar"
59236: BUAD,"Business & Economic Dev"
59237: BUAD,"Business & Society"
59238: BUAD,"Business Analytic Project Mgmt"
59239: BUAD,"Business Communication I"
59240: BUAD,"Business Consulting"
59241: BUAD,"Business Fundamentals"
59242: BUAD,"Business Fundamentals: The Con"
59243: BUAD,"Business Internship"
59244: BUAD,"Business Internship IV"
59245: BUAD,"Business Internship V"
59246: BUAD,"Business Internship VI"
59247: BUAD,"Business Policy"
59248: BUAD,"Business and Society"
59249: BUAD,"Case Studies in Business"
59250: BUAD,"Comm for Acct Managers"
59251: BUAD,"Communications and Ethics for"
59252: BUAD,"Competition Anlysis & Regulatn"
59253: BUAD,"Current Topics in Business"
59254: BUAD,"Digital Marketing Bootcamp"
59255: BUAD,"Dissertation Research - Final"
59256: BUAD,"Dissertation Research - Propos"
59257: BUAD,"Econometric Meth for Bus Resea"
59258: BUAD,"Econometric Methods"
59259: BUAD,"Elective Credit 1.0cr"
59260: BUAD,"Elective Credit 2.0cr"
59261: BUAD,"Elective Credit 3.0cr"
59262: BUAD,"Elective Credit 4.0cr"
59263: BUAD,"Emerging Trends Bus"
59264: BUAD,"Ethics in Business Analytics"
59265: BUAD,"Field Experience (optional)"
59266: BUAD,"Graduate Internship"
59267: BUAD,"Graduate Internship I"
59268: BUAD,"Graduate Internship II"
59269: BUAD,"Graduate Internship III"
59270: BUAD,"Graduate Internship IV"
59271: BUAD,"Graduate Internship Module I"
59272: BUAD,"Graduate Internship Module II"
59273: BUAD,"Graduate Internship Module III"
59274: BUAD,"Graduate Internships Module IV"
59275: BUAD,"Hnrs Bus Fundament: Contem Bus"
59276: BUAD,"Hon Case Studies in Business"
59277: BUAD,"Hon Entre Ventures"
59278: BUAD,"Hon Financial Rep & Analysis I"
59279: BUAD,"Hon Intr To Business"
59280: BUAD,"Honors - Business Consulting"
59281: BUAD,"Honors Advanced Organizational"
59282: BUAD,"Honors Bus Fund: The Con"
59283: BUAD,"Honors Special Topics in Bus"
59284: BUAD,"Honors Thesis in Business I"
59285: BUAD,"Honors Thesis in Business II"
59286: BUAD,"Human Capital & the Triple BL"
59287: BUAD,"Ideation59288: BUAD,"Imp Indiv and Org Performance"
59289: BUAD,"Independent Study BUS  I"
59290: BUAD,"Industry & Compet Analysis"
59291: BUAD,"Information-Based Strategies"
59292: BUAD,"International Corporate Financ"
59293: BUAD,"Internship I"
59294: BUAD,"Internship II"
59295: BUAD,"Internship III"
59296: BUAD,"Internship IV"
59297: BUAD,"Internship V"
59298: BUAD,"Internship VI"
59299: BUAD,"Intro Bus For Nonbus"
59300: BUAD,"Introduction to Business - Rec"
59301: BUAD,"Leadership Assess & Develop"
59302: BUAD,"Leadership Theory"
59303: BUAD,"Management Communication"
59304: BUAD,"Management of Innovation"
59305: BUAD,"Managerial Communication"
59306: BUAD,"Managerial Skills Acc Prof"
59307: BUAD,"Marketing Communications Strat"
59308: BUAD,"Organizational Theory II"
59309: BUAD,"Philosophy of Science"
59310: BUAD,"Position Paper Defense"
59311: BUAD,"Position Paper Research"
59312: BUAD,"Qualitative Mthds in Bus Rsrch"
59313: BUAD,"Rsrch Design & Methodology"
59314: BUAD,"Sem Cont Bus Researc"
59315: BUAD,"Spe Top In Sustainable Busines"
59316: BUAD,"Spe Top in Sustainable Busines"
59317: BUAD,"Special Topics"
59318: BUAD,"Special Topics in Business"
59319: BUAD,"Strategic Business Comm"
59320: BUAD,"Sust Bus: Pers59321: BUAD,"Technology-Driven Org Chng"
59322: BUAD,"Total Quality Management"
59323: BUAD,"Understnding the Consumer Jrny"
59324: BUAD,"Undrstnd Employee & Cust Users"
59325: BUIT,"Adv Top in International Bus"
59326: BUIT,"Developing a Global Mindset"
59327: BUIT,"Emrgng Mkts & Ib Env"
59328: BUIT,"Global Compet U.S."
59329: BUIT,"Global Firms59330: BUIT,"Global Perspectives"
59331: BUIT,"Hon Inter Comp Cap"
59332: BUIT,"Hon International Business II"
59333: BUIT,"Honors-International Business"
59334: BUIT,"Independent Study IBS I"
59335: BUIT,"Int Mar59336: BUIT,"Inter Comp Capstone"
59337: BUIT,"International Business Comm"
59338: BUIT,"Intl Bus Analysis"
59339: BUIT,"Intl Bus Fundamntals"
59340: BUIT,"Intro to International Businss"
59341: BUIT,"Res Mthd For Thesis"
59342: BUIT,"Res Sem II IBS"
59343: BUIT,"Research Seminar I IBS"
59344: BUIT,"Spc Tpcs in International Bus"
59345: BUIT,"Spe Top In Inter Bus"
59346: BUIT,"Spec Topic Intl Busn"
59347: BUIT,"Spec Topics In Ib"
59348: BUIT,"Special Topics In Int Business"
59349: BUIT,"Special Topics In Intl Bus"
59350: BUIT,"Special Topics: Intl Business"
59351: BUIT,"Tech59352: BUIT,"Thesis"
59353: BUMA,"Res Method For Sem"
59354: BUMA,"Res Mthd For Thesis"
59355: BUMA,"Research Seminar"
59356: BUMA,"Thesis"
59357: BUPO,"Business Policy"
59358: BUPO,"Honors -  Business Policy"
59359: CHEM,"Biochemistry"
59360: CHEM,"Chemistry 3001 Lecture"
59361: CHEM,"Chemistry 3003 Lecture"
59362: CHEM,"Chemistry 3006 Lecture"
59363: CHEM,"Chemistry Honors III"
59364: CHEM,"Chemistry and the Environment"
59365: CHEM,"Fund Of Chemical Lab Techq"
59366: CHEM,"Fundamentals of Chemistry"
59367: CHEM,"General Chemistry I"
59368: CHEM,"General Chemistry II"
59369: CHEM,"General Chemistry Lecture"
59370: CHEM,"HON Independent Study CHM II"
59371: CHEM,"Honors - Chemistry Honors III"
59372: CHEM,"Honors Chemistry I"
59373: CHEM,"Honors Chemistry II"
59374: CHEM,"Honors General Chemistry I"
59375: CHEM,"Honors-Chem & the Environ"
59376: CHEM,"Independent Study CHM III"
59377: CHEM,"Independent Study Chemistry"
59378: CHEM,"Independent Study Chemistry I"
59379: CHEM,"Independent Study Chemistry II"
59380: CHEM,"Independent Study Chemistry IV"
59381: CHEM,"Independent Study Chemistry V"
59382: CHEM,"Lect Chem & Environm"
59383: CHEM,"Medicinal Chemistry"
59384: CHEM,"Medicinal Chemistry Lecture"
59385: CHEM,"Prin Organic Chem I"
59386: CHEM,"Prin Organic Chem II"
59387: CHEM,"Quantitative Analysis"
59388: CHEM,"Select Topics in Chemistry"
59389: CHIN,"Business Chinese I"
59390: CHIN,"Business Chinese II"
59391: CHIN,"Chi Gram Nativ Sp II"
59392: CHIN,"Chinese Cinema"
59393: CHIN,"Chinese Heritage I"
59394: CHIN,"Chinese Heritage II"
59395: CHIN,"Classical CHI Lit II"
59396: CHIN,"Classical Chinese Literature I"
59397: CHIN,"Elementary Chinese I"
59398: CHIN,"Elementary Chinese II"
59399: CHIN,"Independent Study Chinese I"
59400: CHIN,"Independent Study Chinese II"
59401: CHIN,"Lower Intermediate Chinese"
59402: CHIN,"Special Studies in Chinese"
59403: CHIN,"The Contemporary Chinese Short"
59404: CHIN,"Upper Elementary Chinese I"
59405: CHIN,"Upper Elementary Chinese II"
59406: CHIN,"Upper Intermediate Chinese"
59407: CMBA,"CIS 9000 + ECO 9705"
59408: CMBA,"Exec MBA"
59409: CMBA,"Exec MBA Module G"
59410: CMBA,"Exec MBA Module H"
59411: CMBA,"Executive MBA Mod A"
59412: CMBA,"Executive MBA Mod B"
59413: CMBA,"Executive MBA Mod C"
59414: CMBA,"Executive MBA Mod D"
59415: CMBA,"Executive MBA Mod E"
59416: CMBA,"Executive MBA Mod F"
59417: CMBA,"MBA Honors Cohort A"
59418: CMBA,"MGT 9300 + MKT 9703"
59419: CMBA,"PSY 9788 + MKT 9703"
59420: CMIS,"Adv Comp Tech For Qa"
59421: CMIS,"Adv Program Bus Appl"
59422: CMIS,"Advanced Business Programming"
59423: CMIS,"Analysis and Design of Busines"
59424: CMIS,"Applied Natural Language Proce"
59425: CMIS,"Assem Lang Pro&Conc"
59426: CMIS,"Assembly Language Concepts and"
59427: CMIS,"Assmb Lang & Assmbs"
59428: CMIS,"Big Data Technologies"
59429: CMIS,"Blockchain Technologies and Ap"
59430: CMIS,"Blockchain Techs and Apps"
59431: CMIS,"Bus Appl Expert Syst"
59432: CMIS,"Bus Apps Prgrmmng I"
59433: CMIS,"Business Analytics"
59434: CMIS,"Business App Prog II"
59435: CMIS,"Business Data Processing I"
59436: CMIS,"Business Data Processing II"
59437: CMIS,"Business Modeling with Spreads"
59438: CMIS,"CIS - Honors III"
59439: CMIS,"CIS Internship"
59440: CMIS,"Cis 2200 Lecture"
59441: CMIS,"Comparatve Prog Lang"
59442: CMIS,"Compt Tech Quan Anal"
59443: CMIS,"Computer Ethics"
59444: CMIS,"Computer Graphics in Business"
59445: CMIS,"Computer Hardware Concepts"
59446: CMIS,"Computer Info Systems Training"
59447: CMIS,"Computer Networking"
59448: CMIS,"Computer Programming for Busin"
59449: CMIS,"Cybersecurity"
59450: CMIS,"Data Mining for Bus Analytics"
59451: CMIS,"Data Mining for Business Analy"
59452: CMIS,"Data Structre & Manip"
59453: CMIS,"Data Visualization"
59454: CMIS,"Data Warehousing and Analytics"
59455: CMIS,"Data Warehousing for Analytics"
59456: CMIS,"Database Management Systems"
59457: CMIS,"Design Thinking for Usability59458: CMIS,"Digital Media Management"
59459: CMIS,"Dis Proc App Sys"
59460: CMIS,"E-Busines Pri & Tech"
59461: CMIS,"E-Business Strategy and Tech"
59462: CMIS,"Ethical Hacking"
59463: CMIS,"Expert Sys & Rel Tec"
59464: CMIS,"FinTech: Principles and Applic"
59465: CMIS,"Fndtns of Business Analytics"
59466: CMIS,"Globalization and Technology"
59467: CMIS,"Green IT"
59468: CMIS,"Hon CIS II"
59469: CMIS,"Hon Info Systems"
59470: CMIS,"Hon Sprdsht App Bus"
59471: CMIS,"Honors-Network Communication"
59472: CMIS,"Honors: CIS I"
59473: CMIS,"Ind Study In CIS I"
59474: CMIS,"Independent Study CIS I"
59475: CMIS,"Independent Study CIS II"
59476: CMIS,"Independent Study CIS III"
59477: CMIS,"Info Sys For Man I"
59478: CMIS,"Info Sys For Man II"
59479: CMIS,"Info Systems Dev Pro"
59480: CMIS,"Info Tech & Soc Resp"
59481: CMIS,"Info Tech Devlpmnt Proj Mgmt"
59482: CMIS,"Info Tech Project Management"
59483: CMIS,"Info Tech&Small Bus"
59484: CMIS,"Info Technology Strategy"
59485: CMIS,"Information Systems Developmen"
59486: CMIS,"Information Technology Audit"
59487: CMIS,"Integrated Info Tech"
59488: CMIS,"Internet App Develop"
59489: CMIS,"Intr Telecommunicati"
59490: CMIS,"Intro Computer Concp"
59491: CMIS,"Intro Info Systems"
59492: CMIS,"Intro Micro & Applic"
59493: CMIS,"Intro to Database Mgmt Syst"
59494: CMIS,"Intro to Semantic Technologies"
59495: CMIS,"Introduction to Computers and"
59496: CMIS,"Mainframe Computer Apps in Bus"
59497: CMIS,"Micro Applic BUS II"
59498: CMIS,"Microcomputers"
59499: CMIS,"Microcomputers Applications"
59500: CMIS,"Network & Telecom II"
59501: CMIS,"Networks & Telecomm"
59502: CMIS,"Object-Oriented Program w/Java"
59503: CMIS,"Object-Oriented Programming I"
59504: CMIS,"Object-Oriented Programming II"
59505: CMIS,"Operating System Principles"
59506: CMIS,"Operating Systems Concepts"
59507: CMIS,"Operations Systems Concepts an"
59508: CMIS,"Prin Of Database Mgt"
59509: CMIS,"Principles of FinTech"
59510: CMIS,"Principles of New Media"
59511: CMIS,"Principles of Web Design"
59512: CMIS,"Prog Data & File Struc"
59513: CMIS,"Programming and Computational"
59514: CMIS,"Programming and Problem Solvin"
59515: CMIS,"Programming for Analytics"
59516: CMIS,"Res Methods for Sem"
59517: CMIS,"Research Methods for Thesis"
59518: CMIS,"Research Seminar"
59519: CMIS,"Risk Management and Informati"
59520: CMIS,"Soc Media Tech In Organization"
59521: CMIS,"Social Technology and Business"
59522: CMIS,"Sorting Data Base Principles"
59523: CMIS,"Spec Top in Info Syst Strategy"
59524: CMIS,"Spec Topic Info Tech"
59525: CMIS,"Spec Topics In CIS"
59526: CMIS,"Spec Topics-Information Tech"
59527: CMIS,"Special Topics - CIS"
59528: CMIS,"Special Topics in CIS"
59529: CMIS,"Special Topics in Computer Met"
59530: CMIS,"Special Topics in Information"
59531: CMIS,"Sprdsht Form & Func"
59532: CMIS,"Sprdsht Techniques"
59533: CMIS,"Spreadsht App In Bus"
59534: CMIS,"Sur Com Org & Sys Sftw"
59535: CMIS,"Sustainability and IT"
59536: CMIS,"Systems Analysis and Design"
59537: CMIS,"Thesis"
59538: CMIS,"Tpcs-Info Sys Strtg"
59539: CMIS,"Trends Info Technolo"
59540: CMIS,"Usability59541: CMIS,"Web applications Development"
59542: CMIS,"e-Business Technologies"
59543: CMSC,"Science Info Retriev"
59544: COLI,"Afr Dias: Us59545: COLI,"Archaeology and the Bible"
59546: COLI,"Capstone:Hispan Writers"
59547: COLI,"Contemp Latin Amer Fict"
59548: COLI,"Critical Approaches to Japanes"
59549: COLI,"Film & Mving Image Cult Japan"
59550: COLI,"Great Works of Literature I"
59551: COLI,"Great Works of Literature II"
59552: COLI,"Heb Lit In Transltn"
59553: COLI,"History of French Cinema"
59554: COLI,"Hon Grt Works Lit II"
59555: COLI,"Honors- Great Works of Lit I"
59556: COLI,"Immigration Cinema"
59557: COLI,"Independent Study CMP I"
59558: COLI,"Independent Study CMP II"
59559: COLI,"Independent Study LTG I"
59560: COLI,"Italian Amer. Exprnce In U.S."
