62689: ACCT,"Advanced Federal Taxation"
62755: ANTH,"Sexuality and Culture"
62756: ARAB,"Elementary Arabic 1"
62757: ARAB,"Elementary Arabic 2"
62758: ARAB,"Elementary Arabic I"
62759: ARAB,"Elementary Arabic II"
62760: ARAB,"Intermediate Arabic I"
62761: ARAB,"Intermediate Arabic II"
62762: ARCU,"Artisan Bread Baking"
62763: ARCU,"Baking and Pastry"
62764: ARCU,"Beverage Management"
62765: ARCU,"CA Integrative Studies Seminar"
62766: ARCU,"Chocolate & Sugar Confections"
62767: ARCU,"Contemporary Dessert Plating"
62768: ARCU,"Culinary Arts I: Skills"
62769: ARCU,"Culinary Arts II"
62770: ARCU,"Culinary Concepts"
62771: ARCU,"Food Safety & Sanitation Cert"
62772: ARCU,"Food and Beverage Cost Control"
62773: ARCU,"Garde Manger and Charcuterie"
62774: ARCU,"Global Culinary Improvisation"
62775: ARCU,"Ind Explore & Entrepreneurship"
62776: ARCU,"Internship in Culinary Arts"
62777: ARCU,"Menu & Dining Room Mgmnt"
62778: ARCU,"Patisserie"
62779: ARCU,"Professional Cake Decorating"
62780: ARCU,"Restaurant/Food Service Oper"
62781: ARPE,"IS Performing Arts"
62782: ARPE,"Indep Study: Performing Arts"
62783: ART,"3-Dimenstional Design"
62784: ART,"Art Hist Ancient"
62785: ART,"Art Hist Renaissance"
62786: ART,"Art and Activism"
62787: ART,"Art in England"
62788: ART,"Art in Italy"
62789: ART,"Art in the Pacific"
62790: ART,"Art of Greece"
62791: ART,"Asian Art thru Relig Phi & Pol"
62792: ART,"Ceramic Design"
62793: ART,"Ceramic Sculpture"
62794: ART,"Ceramics I"
62795: ART,"Ceramics II"
62796: ART,"Coding for Designers"
62797: ART,"Computer Art"
62798: ART,"Computer Art II"
62799: ART,"Design Foundations"
62800: ART,"Designing With Type"
62801: ART,"Digital Illustration"
62802: ART,"Digital Publication Design"
62803: ART,"Drawing I"
62804: ART,"Drawing II"
62805: ART,"Figure Modeling"
62806: ART,"Figure Modeling 2"
62807: ART,"Figure Modeling and Carving"
62808: ART,"Figure Painting"
62809: ART,"Glbl Contemp: Art Dvrs & Expr"
62810: ART,"Graphic Design Portfolio"
62811: ART,"Graphic Design and Advertising"
62812: ART,"History of American Art"
62813: ART,"History of Modern Sculpture"
62814: ART,"History of Women In Art"
62815: ART,"Human Centered Design"
62816: ART,"I.S. In Public Art"
62817: ART,"I.S. Studio Arts"
62818: ART,"IS Experimental Typography"
62819: ART,"IS Illustration"
62820: ART,"IS Sculpture II"
62821: ART,"IS Survey of Art History"
62822: ART,"Illustration"
62823: ART,"Illustration Style"
62824: ART,"Ind Study - Studio Arts"
62825: ART,"Indep Study: Graphic Design"
62826: ART,"Independent Study - Ceramics"
62827: ART,"Independent Study - Drawing"
62828: ART,"Independent Study - Painting"
62829: ART,"Independent Study - Sculpture"
62830: ART,"Independent Study-Photography"
62831: ART,"Int Figure Modeling"
62832: ART,"Int Watercolor Ptg"
62833: ART,"Intermediate Landscape Paint"
62834: ART,"Intro Welded Sculp"
62835: ART,"Is Gr. D. Internship"
62836: ART,"Is Honors Design Stu"
62837: ART,"Is Prntmkg & Design"
62838: ART,"Is Prob Studio Arts"
62839: ART,"Landscape Painting"
62840: ART,"Landscape Painting 1"
62841: ART,"Latin American Art"
62842: ART,"Medieval Art"
62843: ART,"Mixed Media"
62844: ART,"Modern Architecture"
62845: ART,"Nineteenth-Century Art"
62846: ART,"Painting & Mixed Med"
62847: ART,"Painting I"
62848: ART,"Painting II"
62849: ART,"Photography I"
62850: ART,"Photography II"
62851: ART,"Photojournalism I"
62852: ART,"Photojournalism II"
62853: ART,"Photoshop as a Design Tool"
62854: ART,"Renaissance Art"
62855: ART,"Sculpture I"
62856: ART,"Sculpture II"
62857: ART,"Still Life Painting"
62858: ART,"Survey of Art History"
62859: ART,"Survey of Latin American Art"
62860: ART,"Survey of Non-Western Art"
62861: ART,"The Art of 3D Animation"
62862: ART,"The Art of Animation"
62863: ART,"The Art of Digital Photography"
62864: ART,"The Art of Storyboarding"
62865: ART,"Transparant Water Color"
62866: ART,"Twentieth-Century Art"
62867: ART,"Typography"
62868: ART,"Virtual Design Studio"
62869: ART,"Watercolor Painting"
62870: ART,"Web Page Design"
62871: BESC,"BEH Integ Studies Seminar"
62872: BESC,"Beh Career Seminar"
62873: BESC,"Conducting Research"
62874: BESC,"Human Services Seminar"
62875: BESC,"Introduction to Research"
62876: BESS,"Indiv His/Her World"
62877: BIOL,"Apps Bioinformatics"
62878: BIOL,"BIO Integ Studies Seminar"
62879: BIOL,"Bio Of Nutrition-Culinary Arts"
62880: BIOL,"Biological Instrumentation"
62881: BIOL,"Biology of Women"
62882: BIOL,"Biology of the Human Body"
62883: BIOL,"Biomed Engin/Virtual Enterpr"
62884: BIOL,"Biostatistics"
62885: BIOL,"Botany"
62886: BIOL,"Cell Culture&Cloning"
62887: BIOL,"Comparative Anatomy"
62888: BIOL,"Developmental Biology"
62889: BIOL,"Ecology"
62890: BIOL,"General Biology I"
62891: BIOL,"General Biology II"
62892: BIOL,"General Microbiology"
62893: BIOL,"Genetics"
62894: BIOL,"His & Phi Of Bio Science"
62895: BIOL,"Human Anatomy & Physiology II"
62896: BIOL,"Human Anatomy and Physiology I"
62897: BIOL,"Human Genetics"
62898: BIOL,"Human Physiology"
62899: BIOL,"I.S. Biology"
62900: BIOL,"I.S. Human Genetics"
62901: BIOL,"I.S. Intro Marine Bio"
62902: BIOL,"IS In/Vert Ecosystem"
62903: BIOL,"Ind Study: Nutritional Biology"
62904: BIOL,"Indep Stdy-Adv Bio"
62905: BIOL,"Independent Study - Biology"
62906: BIOL,"Independent Study-Horticulture"
62907: BIOL,"Interdisc Envir Stud"
62908: BIOL,"Intro to Mdrn Concepts of Bio"
62909: BIOL,"Introduction to Horticulture"
62910: BIOL,"Is Bio Instrumentatn"
62911: BIOL,"Is Marine Ecosystem"
62912: BIOL,"Is Marine Ecosystems"
62913: BIOL,"Marine Biology"
62914: BIOL,"Microbiology-Health & Disease"
62915: BIOL,"Modern Concerns/ Biology"
62916: BIOL,"Molecular and Cellular Biology"
62917: BIOL,"People&Environment"
62918: BIOL,"Preparatory Biology"
62919: BIOL,"Recombinant DNA Technology"
62920: BIOL,"Research I"
62921: BIOL,"Research II"
62922: BIOL,"Research III"
62923: BIOL,"Research IV"
62924: BIOL,"Research In Biology"
62925: BIOL,"Research Methods"
62926: BIOL,"Research-Nutr Science"
62927: BIOL,"Terrestrial Biology"
62928: BIOL,"Terrestrial Ecosys"
62929: BIOL,"The Biology of Aging"
62930: BIOL,"The Biology of Nutrition"
62931: BIOL,"The Biotech Virt Ent"
62932: BIOL,"Topics in Biology: CUNY Core"
62933: BUAD,"Adver Theory & Prac"
62934: BUAD,"App to Management"
62935: BUAD,"BA Integrative Studies Seminar"
62936: BUAD,"Business Communications"
62937: BUAD,"Business Images in Media"
62938: BUAD,"Business Law I"
62939: BUAD,"Business Law II"
62940: BUAD,"Business Statistics"
62941: BUAD,"Cont Iss Health Care"
62942: BUAD,"Field Exp. Bus Admin"
62943: BUAD,"Fundamentals of Business"
62944: BUAD,"I.S. In Bus Admin"
62945: BUAD,"IS: Business Administration"
62946: BUAD,"Indep Stdy Spredsheet App Bus"
62947: BUAD,"Intro Comp Concepts"
62948: BUAD,"Intro to Business"
62949: BUAD,"Is Organ Beh & Manag"
62950: BUAD,"Management Information Systems"
62951: BUAD,"Managerial Decision"
62952: BUAD,"Non-Violent Crime"
62953: BUAD,"Org Behavior & Mananagement"
62954: BUAD,"Principles of Marketing"
62955: BUAD,"Spreadsheet App/Bus"
62956: BUFA,"Elements of Retail Management"
62957: BUFA,"Fashion Forecasting"
62958: BUFA,"Fashion Sales Promotion"
62959: BUFA,"Field Exp - Bus of Fashion"
62960: BUFA,"IS Field Exp - Bus of Fashion"
62961: BUFA,"IS Merch Plan & Control"
62962: BUFA,"Merch Plan & Control"
62963: BUFA,"Product Development"
62964: BUFA,"Salesmanship"
62965: BUFA,"Textile/Non-Tex Analysis"
62966: BUMA,"Supermarket Sales Promotion"
62967: BUMA,"Supmkts Pers Per Mgt"
62968: BUSI,"Cases Entpreneurial Strategy"
62969: BUSI,"Consumer Behavior"
62970: BUSI,"Elements of Retail Management"
62971: BUSI,"Entrepreneurial Planning"
62972: BUSI,"Fashion Merchandising"
62973: BUSI,"Fashion Sales Promotion"
62974: BUSI,"Field Exp - Retail"
62975: BUSI,"IS Field Exp-Retail"
62976: BUSI,"IS Retail Merchandising"
62977: BUSI,"IS Salesmanship"
62978: BUSI,"IS Textile/NonTextile Analysis"
62979: BUSI,"Legal Issues Small Firms"
62980: BUSI,"Merch Plan & Control"
62981: BUSI,"Product Development"
62982: BUSI,"Salesmanship"
62983: BUSI,"Sm Bus Entpr Perspective"
62984: BUSI,"Textile/Non-Tex Anal"
62985: BUSI,"Visual Merch and Display"
62986: CFMA,"College Focus Mathematics"
62987: CFRW,"College Focus ELA"
62988: CHEM,"Chm-Nutritn Sciences"
62989: CHEM,"General Chemistry I"
62990: CHEM,"General Chemistry II"
62991: CHEM,"I.S.  Research Chemistry"
62992: CHEM,"I.S. Org Chem Lect"
62993: CHEM,"Independent Study - Chemistry"
62994: CHEM,"Independent Study In Chemistry"
62995: CHEM,"Independent Study in Chemistry"
62996: CHEM,"Intro Green Chemistry"
62997: CHEM,"Is Organic Chem 2"
62998: CHEM,"Organic Chemistry I"
62999: CHEM,"Organic Chemistry II"
63000: CHEM,"Preview of General Chemistry"
63001: CHEM,"Research I"
63002: CHEM,"Research II"
63003: CHEM,"Research III"
63004: CHEM,"Research IV"
63005: CHIN,"Chinese Culture and Tradition"
63006: CHIN,"Elementary Chinese I"
63007: CHIN,"Elementary Chinese II"
63008: CHIN,"IS Elementary Chinese 2"
63009: CHIN,"Intro to Chinese Cult"
63010: CHIN,"Mandarin Chinese"
63011: CIEN,"Civic Engagement Opt 1"
63012: CIEN,"Civic Engagement Opt 2"
63013: CIEN,"Civic Engagement Opt 3"
63014: CIEN,"Civic Engagement Service Corps"
63015: CMIS,"Adv Netwrk Srv Admin"
63016: CMIS,"Advanced Database Programming"
63017: CMIS,"Applied Computer Architecture"
63018: CMIS,"HTML Authoring and JavaScript"
63019: CMIS,"Intro Web Page Dev"
63020: CMIS,"Intro to Operating Systems"
63021: CMIS,"Introduction to Database"
63022: CMIS,"Is Appl Comp Archtct"
63023: CMIS,"Is Intro Database"
63024: CMIS,"Is Intro Op Systems"
63025: CMIS,"Is-Html Author/Java"
63026: CMIS,"Network Server Administration"
63027: CMIS,"Novell I"
63028: CMIS,"Novell II"
63029: CMIS,"Systems Analysis"
63030: CMPR,"Algorithmic Prb Solv"
63031: CMPR,"C Programming I"
63032: CMPR,"C Programming II"
63033: CMPR,"Cobol Programming"
63034: CMPR,"Comp Sci Concpts/Tools/Methods"
63035: CMPR,"Computer Graphics and Design"
63036: CMPR,"Computers and Society"
63037: CMPR,"Intro - Computer Prgrmming"
63038: CMPR,"Intro To Computers"
63039: CMPR,"Intro To Dp For Sec"
63040: CMPR,"Intro To Ibm Linkway"
63041: CMPR,"Introduction to Basic"
63042: CMPR,"Introduction to Pascal"
63043: CMPR,"Is-Java Programming 2"
63044: CMPR,"Is-Visual Basic II"
63045: CMPR,"Java Programming I"
63046: CMPR,"Java Programming II"
63047: CMPR,"Multimedia Programming"
63048: CMPR,"Programming in Fortran"
63049: CMPR,"Programming in Unix/Linux"
63050: CMPR,"Visual Basic I"
63051: CMPR,"Visual Basic II"
63052: CMSC,"Adv Prgrmmng Techniques"
63053: CMSC,"Computers & Assembly Language"
63054: CMSC,"Data Struct & Pl1"
63055: CMSC,"Data Structures"
63056: CMSC,"Discrete Structures"
63057: CMSC,"Introduction to Computing"
63058: CMSC,"Is Comp/Assmbly Lang"
63059: COHE,"Community Health Interventions"
63060: COHE,"Critical Issues Community Hlth"
63061: COHE,"Epidemiology"
63062: COHE,"Field Experience In Comm Hlth"
63063: COHE,"Healthcare Coordination"
63064: COHE,"I.S. Critical Issues"
63065: COHE,"I.S. Epidemiology"
63066: COHE,"I.S. Field Comm Hlth"
63067: COHE,"I.S. Help Skills Coh"
63068: COHE,"I.S. In Community Health"
63069: COHE,"I.S.Holistic Nutrition"
63070: COHE,"Intro Community Hlth Services"
63071: COHE,"Introductory Foods"
63072: COHE,"Principles of Comm Hlth Edu"
63073: COHE,"Ptnt Engmnt & Tech Comm Hlth"
63074: COMM,"Advanced Media Prod & Editing"
63075: COMM,"Advanced TV Studio Production"
63076: COMM,"Announcing Radio&TV"
63077: COMM,"Com Caveman Cronkite"
63078: COMM,"IS Broadcasting"
63079: COMM,"IS Media Prod & Editing"
63080: COMM,"IS Radio Station Ops"
63081: COMM,"Independent Study: Media"
63082: COMM,"Internship in Broadcasting"
63083: COMM,"Intrnshp Broadcastng"
63084: COMM,"Introduction to Broadcasting"
63085: COMM,"Introduction to Pro Tools"
63086: COMM,"Mass Communications"
63087: COMM,"Media Production and Editing"
63088: COMM,"Media Technology"
63089: COMM,"Producing for a TV Series"
63090: COMM,"Radio Station Operations II"
63091: COMM,"Radio Station Ops I"
63092: COMM,"Radio Station Ops III"
63093: COMM,"Radio Studio Operations"
63094: COMM,"Sports Writing and Producing"
63095: COMM,"TV News & Intermed Talk"
63096: COMM,"Television Studio Production"
63097: COMM,"The Golden Ages-Radio & TV"
63098: COMM,"Video Editing w/Media Composer"
63099: COMM,"Writing for Electronic Media"
63100: COUN,"Addiction and the Family"
63101: COUN,"Basic Techniques-Sub Abuse I"
63102: COUN,"Basic Techniques-Sub Abuse II"
63103: COUN,"Beh Hlth Care Trtmnt Approach"
63104: COUN,"Compulsive Gambling"
63105: COUN,"Counslr/Client Relatnshp SAC"
63106: COUN,"IS Addiction and the Family"
63107: COUN,"IS Approaches to Treatment"
63108: COUN,"IS Compulsive Gambling"
63109: COUN,"IS Counseil Techq-Sub Abu II"
63110: COUN,"IS SAC Field Internship A"
63111: COUN,"Intro Alc & Sub Abuse Counsel"
63112: COUN,"Sac Field Intrnshp A"
63113: COUN,"Sac Field Intrnshp B"
63114: CRIM,"Corrections and Sentencing"
63115: CRIM,"Independent Study of Policing"
63116: CRIM,"Policing"
63117: DATA,"Adv Internet Appl"
63118: DATA,"Advanced Cobol Programming"
63119: DATA,"Data Processing"
63120: DATA,"Intro Data Process"
63121: DATA,"Micro-Computer Appli"
63122: DATA,"Rpg Programming"
63123: EASC,"Earth and Planetary Sciences"
63124: EASC,"IS Intro To Astronomy"
63125: EASC,"IS Intro to Earth Science"
63126: EASC,"IS Physical Geology"
63127: EASC,"IS Solar Systems"
63128: EASC,"Independent Study in EPS"
63129: EASC,"Intro Earth Sci/ Lab"
63130: EASC,"Introduction to Astronomy"
63131: EASC,"Introduction to Earth Science"
63132: EASC,"Meteorology"
63133: EASC,"Physical Geology"
63134: EASC,"Physical Oceanography"
63135: EASC,"Research I"
63136: EASC,"Research II"
63137: EASC,"Research III"
63138: EASC,"Research IV"
63139: EASC,"Solar System"
63140: ECON,"Interntl Trade: Beyond Borders"
63141: ECON,"Macroeconomics"
63142: ECON,"Microeconomics"
63143: ECON,"Money and Banking"
63144: ECON,"Principles of Financial Mngmt"
63145: ECWD,"Lead/Comm Develop"
63146: ECWD,"Virtual Enterprise: IT Careers"
63147: EDEC,"Art Workshop in Education"
63148: EDEC,"EDC Integ Studies Seminar"
63149: EDEC,"Edu Pract for Early Lang & Lit"
63150: EDEC,"Foundation of Education"
63151: EDEC,"IS Instructional Exp EDC 2"
63152: EDEC,"IS Music/Movement Wrkshp-Ed"
63153: EDEC,"Indep Study: Early Childhood"
63154: EDEC,"Infant/Toddler Development"
63155: EDEC,"Instr Exp in Infant/Tod Edu"
63156: EDEC,"Instructional Experience EDC 1"
63157: EDEC,"Instructional Experience EDC 2"
63158: EDEC,"Intro to Afterschool"
63159: EDEC,"Is Early Childhood"
63160: EDEC,"Is/Tech Mat/Sci/Tech"
63161: EDEC,"Music & Mvmnt Wrkshp in Edu"
63162: EDEC,"Practicum In Teacher Dev 1"
63163: EDEC,"Seminar/Practicum ECE Curric"
63164: EDEC,"Social Foundation-Ed"
63165: EDEC,"Social Science In Child Ed"
63166: EDEC,"Social Science in Education"
63167: EDEC,"Teaching Emergent Bilinguals"
63168: EDEC,"Teaching the Gifted Individual"
63169: EDEC,"Techniques In Mat/Sci/Tech-ECE"
63170: EDHE,"Community CPR"
63171: EDHE,"Crit Is/Holistic H.C"
63172: EDHE,"Crit Iss Stds/Des"
63173: EDHE,"Critical Issues in Per Health"
63174: EDHE,"Critical Issues of Health Educ"
63175: EDHE,"Drugs:The Individual & Society"
63176: EDHE,"Emergency Cardiac Care"
63177: EDHE,"First Aid and Personal Safety"
63178: EDHE,"Health Professions and Careers"
63179: EDHE,"Health and Nutrition"
63180: EDHE,"Human Sexuality"
63181: EDHE,"Independent Study: CPR"
63182: EDHE,"Marine Safety and First Aid"
63183: EDHE,"Men’s Health Issues"
63184: EDHE,"Stress Management"
63185: EDHE,"Survey of Holistic Health Care"
63186: EDHE,"Weight Management"
63187: EDHE,"Women’s Health Issues"
63188: EDHP,"Cardio Fitness"
63189: EDHP,"Concepts of Wellness"
63190: EDHP,"Fitness Assmnt/Persc"
63191: EDHP,"Fitness Assmnt/Presc"
63192: EDHP,"Fitness/Assess/Presc"
63193: EDHP,"IS Fit Assess/Prescr"
63194: EDOC,"Life63195: EDPH,"1st Responders Physl Fit Trng"
63196: EDPH,"Advanced Swimming"
63197: EDPH,"Aerobic Dance"
63198: EDPH,"Aqua Exercise"
63199: EDPH,"Baseball"
63200: EDPH,"Basic Volleyball"
63201: EDPH,"Basics Modern Square Dancing"
63202: EDPH,"Basketball"
63203: EDPH,"Basketball Techniques"
63204: EDPH,"Begin Karate and Self-Defense"
63205: EDPH,"Beginner’s Ballet"
63206: EDPH,"Beginning Tennis"
63207: EDPH,"Body Building"
63208: EDPH,"Body Weight Resistance Train"
63209: EDPH,"Competitive Swimming"
63210: EDPH,"Cross Country Skiing"
63211: EDPH,"Dance Workshop"
63212: EDPH,"Deep Water Exercise"
63213: EDPH,"Elem Phys Ed: Program Design"
63214: EDPH,"Golf"
63215: EDPH,"Greek Folkloric Dance"
63216: EDPH,"High Intensity Fitness Trng"
63217: EDPH,"IS Adv Basketball"
63218: EDPH,"IS Adv Lifesaving"
63219: EDPH,"IS Advanced Baseball"
63220: EDPH,"IS Aqua Exercise"
63221: EDPH,"IS Body Building"
63222: EDPH,"IS Deep Wtr Exercise"
63223: EDPH,"IS Fld Exp Rec Ldrsh"
63224: EDPH,"IS Intermdte Tennis"
63225: EDPH,"IS Martial Arts"
63226: EDPH,"IS Modern Dance"
63227: EDPH,"IS Phys Ed Mat Adult"
63228: EDPH,"IS Power Volleyball"
63229: EDPH,"IS Soccer Techniques"
63230: EDPH,"IS Square Dance"
63231: EDPH,"IS Training w/Weight"
63232: EDPH,"IS: Compete Tennis"
63233: EDPH,"Indep Stdy Dance Production"
63234: EDPH,"Indep Stdy: Adv Baseball"
63235: EDPH,"Indep Study: Women’s Softball"
63236: EDPH,"Independent Study: Baseball"
63237: EDPH,"Independent Study: Basketball"
63238: EDPH,"Independent Study: Dance"
63239: EDPH,"Independent Study: Folkdance"
63240: EDPH,"Independent Study: Golf"
63241: EDPH,"Independent Study: Gymnastics"
63242: EDPH,"Independent Study: Skiing"
63243: EDPH,"Independent Study: Softball"
63244: EDPH,"Independent Study: Swimming"
63245: EDPH,"Independent Study: Tennis"
63246: EDPH,"Independent Study: Volleyball"
63247: EDPH,"Inter Aerobic Dance"
63248: EDPH,"Intermediate Greek-Roumanian"
63249: EDPH,"Intermediate Swimming"
63250: EDPH,"Intermediate Yoga"
63251: EDPH,"Intmdt Int Folk Dance"
63252: EDPH,"Introduction to Hatha Yoga"
63253: EDPH,"Life Guarding"
63254: EDPH,"Med Insur/ Code&Bill"
63255: EDPH,"Medical Office Administration"
63256: EDPH,"Mod Phys Act All Ages/Abilitie"
63257: EDPH,"Modern Dance Composition"
63258: EDPH,"Modern Dance Techniques"
63259: EDPH,"PE MODIFIED"
63260: EDPH,"Phys Fit Dev: Train w Weights"
63261: EDPH,"Phys Fit/Dev T/W/W"
63262: EDPH,"Pilates System of Exercise"
63263: EDPH,"Power Volleyball"
63264: EDPH,"Self-Defense Women"
63265: EDPH,"Sem and On-Site Supv"
63266: EDPH,"Soccer Techniques"
63267: EDPH,"Softball"
63268: EDPH,"Swim for Non Swimmer"
63269: EDPH,"Tai Chi Ch’uan"
63270: EDPH,"Tennis II"
63271: EDPH,"Tennis III"
63272: EDPH,"Tennis IV"
63273: EDPH,"Training with Weights"
63274: EDPH,"W/J/R Mature Adults"
63275: EDPH,"Walk Jog Run"
63276: EDPH,"Water Safety Instructor"
63277: EDPH,"Women’s Self Defense"
63278: EDPH,"Yoga and Meditation"
63279: EDRP,"Advanced Arts and Crafts"
63280: EDRP,"Assessment-Thera Rec"
63281: EDRP,"Camping and Outdoor Recreation"
63282: EDRP,"Expl Leisure Promote Wellness"
63283: EDRP,"F/Sq Dance Teach Tec"
63284: EDRP,"Facilities Planning in Sports"
63285: EDRP,"Field Exp PE/Rec/Rec Ther/Spt"
63286: EDRP,"Fld Ex PE/Rec/Rec Ther/Spt Mgt"
63287: EDRP,"IS Facilities Planning/Sports"
63288: EDRP,"IS Fld Exp Rec Therapy"
63289: EDRP,"IS Org/Adm Rec Program"
63290: EDRP,"Intro to Rec & Physical Ed"
63291: EDRP,"Intro to Sports Mgmnt"
63292: EDRP,"Intro to Tchg Meth Fit in PE"
63293: EDRP,"Leadership in Recreation & PE"
63294: EDRP,"Methds & Materials Arts/Crafts"
63295: EDRP,"Org/Adm Rec/Phys Ed/Spt Mgmt"
63296: EDRP,"Skills in Arts and Crafts"
63297: EDRP,"Social Recreation"
63298: EDRP,"Sport and American Society"
63299: EDRP,"Summer Camp Leadership"
63300: EDRP,"Thrptc Rec Dis I"
63301: EDRP,"Thrptc Rec/Dis II"
63302: EDUC,"Art Wkshp Students-Educ"
63303: EDUC,"Collaboration in the Classroom"
63304: EDUC,"Curriculum in Education"
63305: EDUC,"Ed & Art Forms"
63306: EDUC,"Ed & Comm Skills"
63307: EDUC,"Ed in Beh Science"
63308: EDUC,"Edu Techno Para Prof"
63309: EDUC,"Education Science Literacy"
63310: EDUC,"Education in Modern Society"
63311: EDUC,"Emot Disturbed&Neur"
63312: EDUC,"Hist of Ed in the US"
63313: EDUC,"IS Workshop in Peer Grp Tut"
63314: EDUC,"IS in Paraprofession"
63315: EDUC,"Inclusive Classrooms"
63316: EDUC,"Inclusive Instructn"
63317: EDUC,"L.A. Elem Standards"
63318: EDUC,"Meth Teach Emot Dist"
63319: EDUC,"Multicultural Instr Strategy"
63320: EDUC,"Music/Mvmt Shp Stds-Educ"
63321: EDUC,"NYS Standards: SS"
63322: EDUC,"Nys Stndrd-Vis Arts"
63323: EDUC,"Sem Special Ed Prog"
63324: EDUC,"Sign Language I"
63325: EDUC,"Sign Language II"
63326: EDUC,"Sign Language III"
63327: EDUC,"Sup Inst Exp In E Ch Ed"
63328: EDUC,"Sup Inst Exp In Ece-2"
63329: EDUC,"Sup Instr Exp Erl Chld Edc III"
63330: EDUC,"Supervised Instr Exp"
63331: EDUC,"Tchng Erly Chldhd Ed Mth63332: EGSC,"Engineering Design"
63333: EGSC,"IS Egr Thermodynam"
63334: EGSC,"IS Engineer Design"
63335: EGSC,"IS Engineering Desgn"
63336: EGSC,"IS Intro Elec Eng"
63337: EGSC,"Intro to Electrical Engr"
63338: EGSC,"Intro to Engrg Thermodynamics"
63339: EGSC,"Research I"
63340: EGSC,"Research II"
63341: EGSC,"Research III"
63342: EGSC,"Research IV"
63343: ENGL,"Accelerated Learning Program"
63344: ENGL,"Adv Research in Lit"
63345: ENGL,"Advanced Composition"
63346: ENGL,"American Environmental Lit"
63347: ENGL,"Analytical Reading"
63348: ENGL,"Basic Reading Skills"
63349: ENGL,"Basic Reading and Writing"
63350: ENGL,"Bridge Crs - Intensive Writing"
63351: ENGL,"CLIP Reading"
63352: ENGL,"CLIP Writing"
63353: ENGL,"CUNY Start Writing"
63354: ENGL,"CUNYStart English"
63355: ENGL,"Classical/Bible Literature"
63356: ENGL,"Classicism & Romanti"
63357: ENGL,"Cltrl& Lnguistc Asp-Teach Lang"
63358: ENGL,"Competence Read/Writ"
63359: ENGL,"Composition I"
63360: ENGL,"Composition I ALP"
63361: ENGL,"Composition II"
63362: ENGL,"Contemp Afr/Amer Lit"
63363: ENGL,"Creative Writing: Fiction"
63364: ENGL,"Creative Writing: Nonfiction"
63365: ENGL,"Creative Writing: Poetry"
63366: ENGL,"CreativeWriting: Screenwriting"
63367: ENGL,"Developing Competence in Wrtg"
