10740: ACCT,"Accounting for the S.E.C"
10961: ARAB,"Advanced Arabic II"
10962: ARAB,"Elementary Arabic I"
10963: ARAB,"Elementary Arabic II"
10964: ARAB,"Elementary Arabic III"
10965: ARAB,"Int.Foreignlang Stud"
10966: ARAB,"Intermediate Arabic I"
10967: ARAB,"Intermediate Arabic II"
10968: ART,"2D Design for Digital Media"
10969: ART,"Adv 2d Des-Digtl Med"
10970: ART,"Adv Ceramics III"
10971: ART,"Adv Digital Media 1"
10972: ART,"Adv Digital Media 2"
10973: ART,"Adv Digital Media 4"
10974: ART,"Adv Digital Media III"
10975: ART,"Advanced 2-Dimensional Design"
10976: ART,"Advanced Black-and-White Photo"
10977: ART,"Advanced Ceramic Techniques"
10978: ART,"Advanced Ceramics 1"
10979: ART,"Advanced Ceramics 2"
10980: ART,"Advanced Design"
10981: ART,"Advanced Drawing"
10982: ART,"Advanced Drawing for Animation"
10983: ART,"Advanced Life Drawing"
10984: ART,"Advanced Painting"
10985: ART,"Advanced Painting I"
10986: ART,"Advanced Painting II"
10987: ART,"Advanced Painting III"
10988: ART,"Advanced Painting IV"
10989: ART,"Advanced Photography I"
10990: ART,"Advanced Photography II"
10991: ART,"Advanced Printmaking I"
10992: ART,"Advanced Printmaking II"
10993: ART,"Advanced Printmaking III"
10994: ART,"Advanced Printmaking IV"
10995: ART,"Advanced Printmaking Workshop"
10996: ART,"Advanced Problems in Design I"
10997: ART,"Advanced Problems in Design II"
10998: ART,"Advanced Sculpture"
10999: ART,"Advanced Sculpture I"
11000: ART,"Advanced Sculpture II"
11001: ART,"Advanced Sculpture III"
11002: ART,"Advanced Sculpture IV"
11003: ART,"Advanced Stop Motion Animation"
11004: ART,"Advanced Watercolor"
11005: ART,"App.Imag&Applic-Wwwi"
11006: ART,"Applied Imaging&App to WWW II"
11007: ART,"Bachelor of Fine Arts Thesis I"
11008: ART,"Bachelorof Fine Arts Thesis II"
11009: ART,"Basic Drawing"
11010: ART,"Broadcast Design"
11011: ART,"Ceramic Sculpture"
11012: ART,"Ceramics I"
11013: ART,"Ceramics II"
11014: ART,"Ceramics III"
11015: ART,"Comp Model & Design II"
11016: ART,"Computer Animation I"
11017: ART,"Computer Animation II"
11018: ART,"Computer Modeling & Design II"
11019: ART,"Computer Modeling and Design"
11020: ART,"Computer Modeling and Design I"
11021: ART,"Design"
11022: ART,"Digital Media Prod:Advc-Narrtv"
11023: ART,"Digital Media Prod:TheoryPract"
11024: ART,"Digital Multimedia"
11025: ART,"Drawing"
11026: ART,"Drawing for Animation"
11027: ART,"Elmnts Of Visual Com"
11028: ART,"Field Methods in Photography"
11029: ART,"First-Year Graduate Seminar"
11030: ART,"Fund Wheel Thrown Ceramics"
11031: ART,"Fund.Ceram.Hand Bldg"
11032: ART,"Imaging/Appl To Www1"
11033: ART,"Ind Std Comp Imaging"
11034: ART,"Independent Research"
11035: ART,"Independent Study"
11036: ART,"Intro Digital Imaging"
11037: ART,"Intro to 2-Dimensional Design"
11038: ART,"Intro to Digital Imaging"
11039: ART,"Intro-3 Dimensional Design"
11040: ART,"Introduction to Animation"
11041: ART,"Introduction to Painting"
11042: ART,"Introduction to Photography"
11043: ART,"Introduction to Printmaking"
11044: ART,"Introduction to Sculpture"
11045: ART,"Life Drawing"
11046: ART,"Masters Project"
11047: ART,"Master’S Studio/Sem."
11048: ART,"Master’s Thesis I"
11049: ART,"Master’s Thesis II"
11050: ART,"Mechanical Drawing"
11051: ART,"Observation & the Visual Exp"
11052: ART,"Painting"
11053: ART,"Photography"
11054: ART,"Portraiture in Painting"
11055: ART,"Printmaking Workshop"
11056: ART,"Profess Exp in the Fine Arts"
11057: ART,"Professional Pract-Visual Arts"
11058: ART,"Relativity of Color"
11059: ART,"Sculpture"
11060: ART,"Sem In Contempy Art"
11061: ART,"Seminar In Contemporary Art"
11062: ART,"Senior Project"
11063: ART,"Special Topics in Studio Art"
11064: ART,"Studio Photography"
11065: ART,"The Artist’s Multiple"
11066: ART,"The Fine Print"
11067: ART,"Topics in Computer Imaging"
11068: ART,"Variable Topics in Studio Art"
11069: ART,"Watercolor"
11070: ARTH,"Art Rev West; Neo-Clas11071: ARTH,"Art US Colonial Time Civil War"
11072: ARTH,"Art as a Human Value"
11073: ARTH,"Art of Africa"
11074: ARTH,"Art of China"
11075: ARTH,"Art of India & Southeast Asia"
11076: ARTH,"Art of Japan"
11077: ARTH,"Art of Medieval Europe"
11078: ARTH,"Art of the Early Renaissance"
11079: ARTH,"Art of the South Pacific"
11080: ARTH,"Art-High Renaissance"
11081: ARTH,"Baroque Art"
11082: ARTH,"Contemporary Art"
11083: ARTH,"Egyptian and Near Eastern Art"
11084: ARTH,"Greek and Roman Art"
11085: ARTH,"Impressionism & Post-Impress"
11086: ARTH,"Impressnsm &Post Imp"
11087: ARTH,"Independent Research"
11088: ARTH,"Int His Arts-Afr11089: ARTH,"Int His Non-West Art"
11090: ARTH,"Intership in Art History"
11091: ARTH,"Intro His Modern Art"
11092: ARTH,"Intro His Modern Art 19&20 Cen"
11093: ARTH,"Intro to Hist European Art"
11094: ARTH,"Intro-Hstry Latin American Art"
11095: ARTH,"Introduction to Hist Asian Art"
11096: ARTH,"Islamic Art"
11097: ARTH,"Modern Architecture"
11098: ARTH,"Modern Art"
11099: ARTH,"Modern Painting"
11100: ARTH,"Modern Sculpture"
11101: ARTH,"Non-West Impct W Art"
11102: ARTH,"North American Indian Art"
11103: ARTH,"Pre-Columbian Art"
11104: ARTH,"Primitive Art"
11105: ARTH,"Renaissance Art"
11106: ARTH,"Research in Art History"
11107: ARTH,"Semin-Art Of Pacific"
11108: ARTH,"Seminar"
11109: ARTH,"Seminar in Contemporary Art"
11110: ARTH,"Seminar- The Art of Africa"
11111: ARTH,"Spec Prob In His Art"
11112: ARTH,"Special Topics in Art History"
11113: ARTH,"The History of Photography"
11114: ARTH,"The Splendor of Persia"
11115: ARTH,"Theory and Criticism of Art"
11116: ARTH,"Trad&Innovation in Art of West"
11117: ARTH,"Trad&Innovatn-W Art"
11118: ARTH,"US Art from Civil War-Present"
11119: ASTR,"Astronomy of Solar Systems"
11120: ASTR,"Astronomy of Stellar Systems"
11121: ASTR,"Astronomy of the Solar System"
11122: ASTR,"Astrophysics"
11123: ASTR,"General Astronomy I"
11124: ASTR,"General Astronomy II"
11125: ASTR,"Introduction to Astronomy"
11126: ASTR,"Introduction to the Universe"
11127: ASTR,"Solar Astronomy"
11128: ASTR,"Stellar Astronomy"
11129: BIOL,"Advanced Oceanography"
11130: BIOL,"Advanced Study"
11131: BIOL,"Anatomy and Physiology I"
11132: BIOL,"Anatomy and Physiology II"
11133: BIOL,"Bio Data Analysis&Intrprtation"
11134: BIOL,"Biochem Of Diffrentn"
11135: BIOL,"Biogeography"
11136: BIOL,"Bioinformatics"
11137: BIOL,"Biological Chemistry"
11138: BIOL,"Biological Data Analysis/Inte"
11139: BIOL,"Biological Fine Structure"
11140: BIOL,"Biological Systematics"
11141: BIOL,"Biology Journal Review"
11142: BIOL,"Biology Seminar"
11143: BIOL,"Biology of Aquatic Organisms"
11144: BIOL,"Biostatistics."
11145: BIOL,"Cell Bio & Electron Microscopy"
11146: BIOL,"Cell Biology"
11147: BIOL,"Cell Phys & Biochem"
11148: BIOL,"Cell Physiology"
11149: BIOL,"Colloquium"
11150: BIOL,"Com Morp Vas Pl-Lec"
11151: BIOL,"Comp Anat Of Verteb"
11152: BIOL,"Comp Physio & Biochem"
11153: BIOL,"Comparative Animal Physiology"
11154: BIOL,"Comparative Morphology-Lab"
11155: BIOL,"Cytology: Lecture"
11156: BIOL,"Drugs11157: BIOL,"Ecology"
11158: BIOL,"Endocrine Physiology"
11159: BIOL,"Evol of Fem/Male Behavior Pref"
11160: BIOL,"Evoltn11161: BIOL,"Exper. Parasit:Lab"
11162: BIOL,"Exper. Parasit:Lec."
11163: BIOL,"Experimental Microbiology"
11164: BIOL,"Explorations in Biology Media"
11165: BIOL,"Fish & Fisheries Bio: Lecture"
11166: BIOL,"Fish&Fishres Bio-Lab"
11167: BIOL,"Flowering Plants"
11168: BIOL,"Genetics"
11169: BIOL,"Genetics of Man"
11170: BIOL,"Genomics and Human Health"
11171: BIOL,"Grntsmnshp-art dev rsrch prpsl"
11172: BIOL,"Growth & Dev High Plants"
11173: BIOL,"Growth&Dev of Lower Plants"
11174: BIOL,"Honors in Biological Sciences"
11175: BIOL,"Human Biology"
11176: BIOL,"Human Biology of Systems"
11177: BIOL,"Human Body & Brain Laboratory"
11178: BIOL,"Human Body and Brain"
11179: BIOL,"Human Physiology"
11180: BIOL,"Ichthyology"
11181: BIOL,"Ichthyology Laboratory"
11182: BIOL,"Independent Doctoral Research"
11183: BIOL,"Intro Experimntl Bio"
11184: BIOL,"Intro-Ecologicl Environmenalsm"
11185: BIOL,"Introduction to Ethnobotany"
11186: BIOL,"Introduction to Experiment"
11187: BIOL,"Introduction to Immunology"
11188: BIOL,"Invertebrate Zoology"
11189: BIOL,"Invertebrate Zoology Lab"
11190: BIOL,"Lab: Electron11191: BIOL,"Laboratory in Endocrinology"
11192: BIOL,"Mammalian Histology"
11193: BIOL,"Mammalian Physiology"
11194: BIOL,"Marine Biology Laboratory"
11195: BIOL,"Marine Biology Lectures"
11196: BIOL,"Marine Ecology: Laboratory"
11197: BIOL,"Marine Ecology: Lecture"
11198: BIOL,"Masters Comprehensive"
11199: BIOL,"Mathematical Bio-Lab"
11200: BIOL,"Mathematical Biology: Lecture"
11201: BIOL,"Medical Microbiology"
11202: BIOL,"Microbial Phys/Gene."
11203: BIOL,"Microbial Physiology"
11204: BIOL,"Microbiology"
11205: BIOL,"Modeling Cellular Networks"
11206: BIOL,"Molecular Biology"
11207: BIOL,"Molecular Genetics"
11208: BIOL,"Neural Dev:Genes&Cellsto Brain"
11209: BIOL,"Neural Development Laboratory"
11210: BIOL,"Neurophysiology"
11211: BIOL,"Neurophysiology Laboratory"
11212: BIOL,"Paleobotany: Laboratory"
11213: BIOL,"Paleobotany: Lecture"
11214: BIOL,"Parasitology"
11215: BIOL,"Parasitology Laboratory"
11216: BIOL,"Phys&Biochem-Differn"
11217: BIOL,"Phys&Taxonomy of Fungi"
11218: BIOL,"Physiological Ecology: Lab"
11219: BIOL,"Physiological Ecology: Lecture"
11220: BIOL,"Phytochemistry: Laboratory"
11221: BIOL,"Phytochemistry: Lecture"
11222: BIOL,"Plant Biochemistry"
11223: BIOL,"Plant Ecology: Laboratory"
11224: BIOL,"Plant Ecology: Lecture"
11225: BIOL,"Plant Growth and Development"
11226: BIOL,"Plant Molec Bio Lec"
11227: BIOL,"Plant Molecular Biology: Lab"
11228: BIOL,"Plant Morphogen Lecture"
11229: BIOL,"Plant Morphogenesis: Lecture"
11230: BIOL,"Plant Morphogens-Lab"
11231: BIOL,"Plant Physiology"
11232: BIOL,"Plant Physiology: Laboratory"
11233: BIOL,"Plant Physiology: Lecture"
11234: BIOL,"Plant Systematics: Laboratory"
11235: BIOL,"Plant Systematics: Lecture"
11236: BIOL,"Plants and People"
11237: BIOL,"Princip of Biology:Cells&Genes"
11238: BIOL,"Principles of Biol: Organisms"
11239: BIOL,"Principles of Virology"
11240: BIOL,"Problems in Ecology"
11241: BIOL,"Problems in Microbiology"
11242: BIOL,"Protozoology"
11243: BIOL,"Seminar in Biochemistry"
11244: BIOL,"Seminar in Biology"
11245: BIOL,"Seminar in Special Topics"
11246: BIOL,"Spec Topics Bio Chem"
11247: BIOL,"Special Topics in Physiology"
11248: BIOL,"Statistics for Bio Research"
11249: BIOL,"Studies in Biology"
11250: BIOL,"Taxon Vasc Plant Lab"
11251: BIOL,"Taxonomy of Vasc Plants-Lec"
11252: BIOL,"The Biology of Insects"
11253: BIOL,"Thesis Research"
11254: BIOL,"Topics in Economic Botany"
11255: BIOL,"Topics in Genetics"
11256: BIOL,"Topics in Urban Ecology"
11257: BIOL,"Tutorial"
11258: BIOL,"Vertebrate Embryology"
11259: BIOL,"Vertebrate Endocrinology"
11260: BIOL,"Virology"
11261: BLST,"Afr Protest&Soc Chng"
11262: BLST,"African Family Systems"
11263: BLST,"Afro-Am Theatre &Dnc"
11264: BLST,"Afro-Caribbean Heritage"
11265: BLST,"Anc Egypt & Africa"
11266: BLST,"Contemp Afr-Wrld Pol"
11267: BLST,"Gov-Pol Afr S Of Sah"
11268: BLST,"History of African-Americans"
11269: BLST,"History of East Africa"
11270: BLST,"History of West Africa"
11271: BLST,"Intro-African Stdies"
11272: BLST,"Meth Tchng Blk Study"
11273: BLST,"Modern Africa"
11274: BLST,"Music In Afric Socty"
11275: BLST,"Musical Trad Afro-Am"
11276: BLST,"Perspectives on Central Africa"
11277: BLST,"Social Pathology"
11278: BLST,"Theory&Prac Soc Acct"
11279: BOTA,"Basic Botany"
11280: BOTA,"Ecology"
11281: BOTA,"Evolutionary Biology"
11282: BOTA,"Field Botany"
11283: BOTA,"General Genetics"
11284: BOTA,"Morphology of Flowering Plants"
11285: BOTA,"Paleobotany"
11286: BOTA,"Physiology of Plants"
11287: BOTA,"Plant Form and Function"
11288: BOTA,"Systematic Botany"
11289: BUAD,"Business Consulting"
11290: BUAD,"Business Law I"
11291: BUAD,"Business Law II"
11292: BUAD,"Business Leadership in Action"
11293: BUAD,"Business Presentation"
11294: BUAD,"Business Statistics I"
11295: BUAD,"Commercial Transactions"
11296: BUAD,"Consumer Behavior"
11297: BUAD,"Consumer Economics"
11298: BUAD,"Corporation Finance"
11299: BUAD,"Data Presentation"
11300: BUAD,"E-Business"
11301: BUAD,"Finances-Hea Car Adm"
11302: BUAD,"Foundations of Business Leader"
11303: BUAD,"Global Marketing"
11304: BUAD,"Honors Proj Bus Adm"
11305: BUAD,"Hospitality Management Fieldwk"
11306: BUAD,"Hum Resrc Mgt-Hlth Srvs"
11307: BUAD,"Human Resource Management"
11308: BUAD,"Ind Study Bus Admin"
11309: BUAD,"Intermediate Bus. Stats II"
11310: BUAD,"Internatnl Economics"
11311: BUAD,"Internet Law"
11312: BUAD,"Internship in Business"
11313: BUAD,"Intl Bus Mgmnt"
11314: BUAD,"Intro - Social Media Marketing"
11315: BUAD,"Intro to Hospitality Managemnt"
11316: BUAD,"Labor Economics"
11317: BUAD,"Labor Relations"
11318: BUAD,"Legal Issues in Health Care"
11319: BUAD,"Macro Foundation Bus"
11320: BUAD,"Managed Health Care"
11321: BUAD,"Management Decision Making"
11322: BUAD,"Management-HealthOrganizations"
11323: BUAD,"Managerial Economics"
11324: BUAD,"Marketing App - Digital World"
11325: BUAD,"Marketing Management"
11326: BUAD,"Marketing Research"
11327: BUAD,"Micro Foundation Bus"
11328: BUAD,"Org Behavior and Development"
11329: BUAD,"Practical Applctn: aPHR Theory"
11330: BUAD,"Principles of Finance"
11331: BUAD,"Principles of Management"
11332: BUAD,"Real Estate Financial Modeling"
11333: BUAD,"Real Estate Investment & Mgmt"
11334: BUAD,"Rescrh&Prg Eval Health Serv Ad"
11335: BUAD,"Security & Investment Analysis"
11336: BUAD,"Strategic Hospitality Mngmnt"
11337: BUAD,"Strategic Management"
11338: BUAD,"Strgc Mgmt: Hlth Plan Comp Env"
11339: BUAD,"U.S Residential Mortgage Mrkts"
11340: BUAD,"Using Social Media Marketing"
11341: BUAD,"Working with Data"
11342: BUSI,"Applied Marketing Research"
11343: BUSI,"Capital Budgeting"
11344: BUSI,"Comp Info Systems Managers"
11345: BUSI,"Contemp Issues in Mrktng"
11346: BUSI,"E-Business in a Global Setting"
11347: BUSI,"Economic Analysis for Managers"
11348: BUSI,"Employee Train & Develop"
11349: BUSI,"Financial Management"
11350: BUSI,"Financial Statements Analysis"
11351: BUSI,"Graduate Research Project in B"
11352: BUSI,"Human Resource Management"
11353: BUSI,"Indep Grad Study in Business"
11354: BUSI,"International HR Management"
11355: BUSI,"International Marketing Mgmt"
11356: BUSI,"Internationalfin.Mgt"
11357: BUSI,"Internet Law in a Global Setti"
11358: BUSI,"Investment Analysis"
11359: BUSI,"Labor Economics"
11360: BUSI,"Labor Management Relations"
11361: BUSI,"Mgt Global Enviorn."
11362: BUSI,"Mng.Group&Inter.Dyna"
11363: BUSI,"Money and Banking"
11364: BUSI,"Organizational Behavior"
11365: BUSI,"Quantitative Analysis Managers"
11366: BUSI,"Sem. Ethical Iss Mgt"
11367: BUSI,"Sem. Strategic Mgmt"
11368: CHEM,"Adv Organic Chem Lec"
11369: CHEM,"Advanced Inorganic Chemistry"
11370: CHEM,"Advanced Laboratory Techniques"
11371: CHEM,"Biochemistry"
11372: CHEM,"Biochemistry I"
11373: CHEM,"Biochemistry II"
11374: CHEM,"Biochemistry Laboratory"
11375: CHEM,"Chemical Investigations"
11376: CHEM,"Chemical Research"
11377: CHEM,"Chemistry Seminar"
11378: CHEM,"Clinical Chemistry"
11379: CHEM,"Elements of Chemistry"
11380: CHEM,"Elements of Chemistry I"
11381: CHEM,"Elements of Chemistry II"
11382: CHEM,"Essntls Organic Chemistry Lec1"
11383: CHEM,"Essntls of Gen Chemistry-Lab"
11384: CHEM,"Essntls of Gen Chemistry-Lec"
11385: CHEM,"Essntls of Orgnc ChemistryLBII"
11386: CHEM,"General Chemistry 2"
11387: CHEM,"General Chemistry I"
11388: CHEM,"General Chemistry Lab ll"
11389: CHEM,"General Chemistry Laboratory I"
11390: CHEM,"Inorganic Chemistry"
11391: CHEM,"Instrumental Analysis"
11392: CHEM,"Instrumental Methods Analysis"
11393: CHEM,"Intr Physical Chem 2"
11394: CHEM,"Intradisciplinary Studies"
11395: CHEM,"Intro Che Lab 2"
11396: CHEM,"Intro Chem Lab 1"
11397: CHEM,"Intro Forensic Sci"
11398: CHEM,"Intro Phys Chem Lab"
11399: CHEM,"Intro Physical Chem I"
11400: CHEM,"Intro to Inorganic Chem Lab"
11401: CHEM,"Introduction to Biochemistry"
11402: CHEM,"Introductory Chemistry I"
11403: CHEM,"Introductory Chemistry II"
11404: CHEM,"Medicinal Chemistry"
11405: CHEM,"Organic Analysis"
11406: CHEM,"Organic Chem Lab II"
11407: CHEM,"Organic Chemistry Laboratory I"
11408: CHEM,"Organic Chemistry Lecture I"
11409: CHEM,"Organic Chemistry Lecture II"
11410: CHEM,"Phys Chem Course: Quantum Chem"
11411: CHEM,"Phys Chem Lab Kinetic & Thermo"
11412: CHEM,"PhysChem:Kinetic&Thermodynamic"
11413: CHEM,"Physical Chem Lab-Quantum Chem"
11414: CHEM,"Prep General Chemist"
11415: CHEM,"Quantitative Analysis"
11416: CHEM,"Quantum Chemistry"
11417: CHEM,"Selected Topics in Chemistry"
11418: CHEM,"Stds Analytical Chem"
11419: CHEM,"Studies in Biochemistry"
