65077: ACCT,"Accounting 100-Level Elective"
65217: AMST,"The American Civil War"
65218: AMST,"The American Dream"
65219: AMST,"The City in American Culture"
65220: AMST,"The Geography of Drugs"
65221: AMST,"Twentieth-Century America"
65222: AMST,"U.S. Fiction"
65223: AMST,"U.S. Lit In Comparative Contxt"
65224: AMST,"Us Fict. Early North Amer Lit"
65225: AMST,"Vietnam and America: 1945-1975"
65226: ANTH,"Anthro Ind Study"
65227: ANTH,"Anthro Internshp"
65228: ANTH,"Anthro Linguistics"
65229: ANTH,"Anthropology Credit"
65230: ANTH,"Anthropology Independent Study"
65231: ANTH,"Anthropology Internship"
65232: ANTH,"Anthropology Methods"
65233: ANTH,"Anthropology of Human Rights"
65234: ANTH,"Archaeology"
65235: ANTH,"Art/Myth/Folklore"
65236: ANTH,"Caribbean Societies"
65237: ANTH,"Comparative Psy"
65238: ANTH,"Complex Societies"
65239: ANTH,"Cultural Anthropology"
65240: ANTH,"Early Civilizations"
65241: ANTH,"Food65242: ANTH,"Foraging Societies"
65243: ANTH,"Freshman Anthropolgy"
65244: ANTH,"Globilizatn&Wrld Sys"
65245: ANTH,"Human Evolution"
65246: ANTH,"Latin America"
65247: ANTH,"Latinas/Os in the US"
65248: ANTH,"Law Anthropology"
65249: ANTH,"Mediterranean World"
65250: ANTH,"Modern Korean Culture"
65251: ANTH,"Multicultural Literacy"
65252: ANTH,"Native American Societies"
65253: ANTH,"North Amer Natives"
65254: ANTH,"Peasant Society"
65255: ANTH,"Personality and Culture"
65256: ANTH,"Phil/Religion Anthro"
65257: ANTH,"Physical Anthropology"
65258: ANTH,"Policing & Mass Incarceration"
65259: ANTH,"Political Anthropology"
65260: ANTH,"Power&Soc Latin Am"
65261: ANTH,"Primitive Aesthetics"
65262: ANTH,"Psychological Anthropology"
65263: ANTH,"Research Seminar In Soc/Ant"
65264: ANTH,"Senior Seminar"
65265: ANTH,"Sex and Society"
65266: ANTH,"Social Analysis"
65267: ANTH,"Social Move & Social Justice"
65268: ANTH,"Social Organization"
65269: ANTH,"South-East Asia"
65270: ANTH,"The High Cost of Cheap Food"
65271: ANTH,"The Rise Of Cities"
65272: ANTH,"U S Cultures"
65273: ANTH,"Understanding Our Worlds"
65274: ANTH,"Urban Anthropology"
65275: ANTH,"Women and Work"
65276: ARAB,"Adv Communication"
65277: ARAB,"Advanced Communication Skills"
65278: ARAB,"Arabic - 200 Level Reviewed"
65279: ARAB,"Arabic 300-Level Elective"
65280: ARAB,"Arabic 400-Level Elective"
65281: ARAB,"Arabic Civilization & Culture"
65282: ARAB,"Arabic Independent Study"
65283: ARAB,"Arabic Literature"
65284: ARAB,"Basic Arabic I"
65285: ARAB,"Basic Arabic II"
65286: ARAB,"Continuing Arabic I"
65287: ARAB,"Continuing Arabic II"
65288: ARDR,"20 Cent Span Theatre"
65289: ARDR,"Acting I"
65290: ARDR,"Acting II"
65291: ARDR,"Acting III"
65292: ARDR,"Acting IV"
65293: ARDR,"Adv Voice/Diction"
65294: ARDR,"Advanced Movement"
65295: ARDR,"African American Drama"
65296: ARDR,"Afro-Amer Musical Theater"
65297: ARDR,"Amer Music Theatre"
65298: ARDR,"American Drama"
65299: ARDR,"Classical French Drama"
65300: ARDR,"Comic Theatre"
65301: ARDR,"Contemporary Drama"
65302: ARDR,"Design History"
65303: ARDR,"Design Seminar"
65304: ARDR,"Design for the Theater"
65305: ARDR,"Directing"
65306: ARDR,"Directing II"
65307: ARDR,"Directing Seminar"
65308: ARDR,"Drama Grad Credit"
65309: ARDR,"Drama Graduate Credit"
65310: ARDR,"Drama Ind Study"
65311: ARDR,"Drama Independent Study"
65312: ARDR,"Drama Internship"
65313: ARDR,"Drama in the Schools"
65314: ARDR,"English Drama to 1800"
65315: ARDR,"Fusions: Thea & ID in XXI Cent"
65316: ARDR,"Intro to Stage Management"
65317: ARDR,"Introduction to Theatre"
65318: ARDR,"Junior Project"
65319: ARDR,"Lighting Design"
65320: ARDR,"Media Wksp Actors/Di"
65321: ARDR,"Mod Eur Theatre II"
65322: ARDR,"Modern European Drama"
65323: ARDR,"Modes of Drama"
65324: ARDR,"Movement for Theatre and Perf"
65325: ARDR,"New Performance"
65326: ARDR,"Perf Hst 1600-1900"
65327: ARDR,"Perf Hst 1901-Presnt"
65328: ARDR,"Perform Hist (Anc-Early Mdrn)"
65329: ARDR,"Performance II"
65330: ARDR,"Performance Industry Structure"
65331: ARDR,"Senior Project"
65332: ARDR,"Senior Seminar"
65333: ARDR,"Spanish Drama the Golden Age"
65334: ARDR,"Spanish Theater"
65335: ARDR,"Text/Performance/Adaptation"
65336: ARDR,"The Early Shakespeare"
65337: ARDR,"The Later Shakespeare"
65338: ARDR,"Theater Production"
65339: ARDR,"Theater Production Lab"
65340: ARDR,"Theater Studies"
65341: ARDR,"Theater and Education"
65342: ARDR,"Theater and Therapy"
65343: ARDR,"Theater for Social Action"
65344: ARDR,"Theatre Learning Lab"
65345: ARDR,"Theatrical Imagination"
65346: ARDR,"Topics on Production"
65347: ARDR,"Tragic Theatre"
65348: ARDR,"Voice&Dict Perf"
65349: ARDR,"Women in Performance"
65350: ARDR,"World Drama since 1800"
65351: ARDR,"World Drama to 1800"
65352: ARPE,"13  Ooo"
65353: ARPE,"Instrumental Ensemb"
65354: ART,"11  Ooo"
65355: ART,"Advanced Ceramics"
65356: ART,"Advanced Drawing"
65357: ART,"Advanced Painting"
65358: ART,"Advanced Printmaking"
65359: ART,"Advanced Sculpture"
65360: ART,"Advanced Studio Art"
65361: ART,"American Art Since 1945"
65362: ART,"Anatomy and Portraiture"
65363: ART,"Art 100-Level Elective"
65364: ART,"Art 200-Level Elective"
65365: ART,"Art 300-Level Elective"
65366: ART,"Art 400-Level Elective"
65367: ART,"Art Grad Credit"
65368: ART,"Art Graduate Credit"
65369: ART,"Art Ind Study"
65370: ART,"Art Indep Study"
65371: ART,"Art Independent Study"
65372: ART,"Art Independnt Study"
65373: ART,"Art Internship"
65374: ART,"Art and Society in America"
65375: ART,"Art in Rome"
65376: ART,"Art of the Ancient World"
65377: ART,"Aspects of Renaissance Art"
65378: ART,"Baroque Art"
65379: ART,"Baroque Art and Architecture"
65380: ART,"Ceramics"
65381: ART,"Cont Art: Idea & Practc"
65382: ART,"Cont Iss Photogrphy"
65383: ART,"Contemp Painting I"
65384: ART,"Contemporary Art Theory I"
65385: ART,"Contemporary Art Theory II"
65386: ART,"Contemporary Painting II"
65387: ART,"Contemporary Painting III"
65388: ART,"Design Workshop I"
65389: ART,"Design Workshop II"
65390: ART,"Design Workshp III"
65391: ART,"Freshman Seminar:Art"
65392: ART,"Garden Architecture in Italy"
65393: ART,"Hist Art To Renaissa"
65394: ART,"History of Photography"
65395: ART,"History of Printmaking"
65396: ART,"Hst Art After Renais"
65397: ART,"Indep Study Cont Painting"
65398: ART,"Intermed Studio Art"
65399: ART,"Intermediate Drawing"
65400: ART,"Intermediate Painting"
65401: ART,"Intermediate Printmaking"
65402: ART,"Intermediate Sculpture"
65403: ART,"Introduction to Visual Arts"
65404: ART,"Introductory Drawing"
65405: ART,"Introductory Painting"
65406: ART,"Introductory Sculpture"
65407: ART,"Issues Contemporary Art"
65408: ART,"Issues of Contemporary Art"
65409: ART,"Major Artist I"
65410: ART,"Major Artist II"
65411: ART,"Medieval and Renaissance Art"
65412: ART,"Metalsmithing"
65413: ART,"Modern Art in Latin America"
65414: ART,"Museum and Gallery Training"
65415: ART,"Nineteenth-Century Art"
65416: ART,"Portrait Drawing I"
65417: ART,"Portrait Drawing II"
65418: ART,"Printmaking"
65419: ART,"Role of Art in the Mod World"
65420: ART,"Seminar In Art"
65421: ART,"Senior Project I Art & Photog"
65422: ART,"Senior Project II Art & Photo"
65423: ART,"Studio Art Theory and Practice"
65424: ART,"The Architect and Society"
65425: ART,"The Ny Art Scene"
65426: ART,"Twentieth-Century Art"
65427: ART,"Visiting Artist Projects"
65428: ART,"Visiting Artist Workshop"
65429: ART,"Women and the Fine Arts"
65430: ASTR,"Astronomy"
65431: ASTR,"Astronomy 100-Level Elective"
65432: ASTR,"Astronomy 300-Level Elective"
65433: ASTR,"Astronomy 400-Level Elective"
65434: ASTR,"Astronomy Ind Study"
65435: ASTR,"Astronomy Independent Study"
65436: ASTR,"Astronomy Internship"
65437: ASTR,"Galactic Laboratory"
65438: ASTR,"General Astronomy"
65439: ASTR,"Introduction to Astrophysics"
65440: ASTR,"Life In The Univ Lab"
65441: ASTR,"Life in the Universe"
65442: ASTR,"Observational Astronomy"
65443: ASTR,"Planetary Geology"
65444: ASTR,"Planetary Laboratory"
65445: ASTR,"Solar System Theories"
65446: ASTR,"Space Science I"
65447: ASTR,"Space Science II"
65448: ASTR,"Survey of the Universe"
65449: ASTR,"Universe Theories"
65450: AUSD,"ASD Speech65451: AUSD,"Autism Spec Disorder"
65452: AUSD,"TRMNT ASD Part 1"
65453: AUSD,"Trtmnt Asd Part 2"
65454: BESC,"Behav Sci 400-Level Reviewed"
65455: BIOL,"31  Ooo"
65456: BIOL,"Adv Meth Cell Bio"
65457: BIOL,"Adv Microbiology"
65458: BIOL,"Adv Topics in Gene Reg Systems"
65459: BIOL,"Advanced Human Anatomy"
65460: BIOL,"Advanced Microscopy"
65461: BIOL,"Advanced Pharmacology"
65462: BIOL,"Advanced Physiology"
65463: BIOL,"Advanced Statistics"
65464: BIOL,"Advanced Tropical Ecology"
65465: BIOL,"Animal Behavior"
65466: BIOL,"Animal Physl-Tchrs"
65467: BIOL,"Animals in Captivity"
65468: BIOL,"Applied Microbio and Biotech"
65469: BIOL,"Bio Principles I Lab"
65470: BIOL,"Biochemistry I"
65471: BIOL,"Biochemistry II"
65472: BIOL,"Biogeography"
65473: BIOL,"Bioinformatics"
65474: BIOL,"Biology 100-Level Elective"
65475: BIOL,"Biology 200-Level Elective"
65476: BIOL,"Biology 300-Level Elective"
65477: BIOL,"Biology 400-Level Elective"
65478: BIOL,"Biology Grad Credit"
65479: BIOL,"Biology Ind Study"
65480: BIOL,"Biology Independent Study"
65481: BIOL,"Biology Internship"
65482: BIOL,"Biology of Cancer"
65483: BIOL,"Biophys/Drug Abuse"
65484: BIOL,"Botany"
65485: BIOL,"Cancer Biology"
65486: BIOL,"Cell Biochemistry"
65487: BIOL,"Cell Biology"
65488: BIOL,"Cell Culture Techniques"
65489: BIOL,"Cell Physiology"
65490: BIOL,"Cell Signaling"
65491: BIOL,"Cell Struct-Tchers"
65492: BIOL,"Cellular Toxicology"
65493: BIOL,"Clinical Microbiology"
65494: BIOL,"Clinical Pathology"
65495: BIOL,"Comparative Endocrinology"
65496: BIOL,"Comparative Physiology"
65497: BIOL,"Computational Molecular Bio"
65498: BIOL,"Conservation Biology"
65499: BIOL,"Developmental Biology"
65500: BIOL,"Develpmntl Bio-Tchrs"
65501: BIOL,"Diagnostic Molecular Biology"
65502: BIOL,"Drug Therapy"
65503: BIOL,"Ecology"
65504: BIOL,"Ecology And Man"
65505: BIOL,"Ecology Exper Mthds"
65506: BIOL,"Ecology-Teachers"
65507: BIOL,"Elect Micros & Xray Micranalys"
65508: BIOL,"Entomology"
65509: BIOL,"Env&Evol Physiology"
65510: BIOL,"Evolution"
65511: BIOL,"Evolution And Man"
65512: BIOL,"Evolution of Development"
65513: BIOL,"Evolution of Gene Regulation"
65514: BIOL,"Evolution of Primates"
65515: BIOL,"Evoluton-Secndry Sch"
65516: BIOL,"Exp Animal Physiolgy"
65517: BIOL,"Exp Meth Adv Genetcs"
65518: BIOL,"Exp Methods in Behavioral Bio"
65519: BIOL,"Exper Cell Biochem"
65520: BIOL,"Field Biology"
65521: BIOL,"Gene Regulatory Systems"
65522: BIOL,"General Biology I"
65523: BIOL,"General Biology I Laboratory"
65524: BIOL,"General Biology II"
65525: BIOL,"General Biology II Laboratory"
65526: BIOL,"General Microbiology"
65527: BIOL,"General Physiology"
65528: BIOL,"General Virology"
65529: BIOL,"Genetics"
65530: BIOL,"Genetics-Teachers"
65531: BIOL,"Genetics/Evolution"
65532: BIOL,"Graduate Bio Independent Study"
65533: BIOL,"Healthcare Law and Ethics"
65534: BIOL,"Healthcare and Law Ethics"
65535: BIOL,"Histology"
65536: BIOL,"History of Biology"
65537: BIOL,"Hosp Internship I"
65538: BIOL,"Hosp Internship II"
65539: BIOL,"Human Anat & Phys II"
65540: BIOL,"Human Anatomy I"
65541: BIOL,"Human Anatomy I Lab"
65542: BIOL,"Human Anatomy and Physiology I"
65543: BIOL,"Human Body"
65544: BIOL,"Human Sexuality"
65545: BIOL,"Immunology"
65546: BIOL,"Intro Bioinformat & Genomics"
65547: BIOL,"Intro to Tropical Ecology"
65548: BIOL,"Introduction to Biology"
65549: BIOL,"Introduction to Biotechnology"
65550: BIOL,"Introduction to Tropical Ecolo"
65551: BIOL,"Invertebrate Zoology"
65552: BIOL,"Lab Meth Cell Bio"
65553: BIOL,"Lab Meth Molec Genet"
65554: BIOL,"Lab Meth Physiology"
65555: BIOL,"Life Science in Taiwan"
65556: BIOL,"Marine Bio&Oceanogph"
65557: BIOL,"Marine Ecology"
65558: BIOL,"Mathematical Biology"
65559: BIOL,"Mathematical Models in Biology"
65560: BIOL,"Methodologies in Biotechnology"
65561: BIOL,"Micrb & Cell Path Lab"
65562: BIOL,"Microbiology & Cell Pathology"
65563: BIOL,"Mol Bio & Biotech Lab"
65564: BIOL,"Mol Bio for Sec Schl Tchrs"
65565: BIOL,"Mol Fdns Cell Functn"
65566: BIOL,"Mole Bio & Biotec Laboratory"
65567: BIOL,"Molecular Biology"
65568: BIOL,"Molecular Development"
65569: BIOL,"Molecular Genetics"
65570: BIOL,"Nat Sci For Teachers"
65571: BIOL,"Neuroscience"
65572: BIOL,"Nutrition"
65573: BIOL,"Ornithology"
65574: BIOL,"Pathophys Conc Hlth"
65575: BIOL,"Pharmacotherapeutics"
65576: BIOL,"Plant Evolutionary Ecology"
65577: BIOL,"Plant Physiology"
65578: BIOL,"Plant Population Biology"
65579: BIOL,"Prin&Meth Sys65580: BIOL,"Principles of Bio II Lab"
65581: BIOL,"Principles of Biology I"
65582: BIOL,"Principles of Biology II"
65583: BIOL,"Principles of Epidemiology"
65584: BIOL,"Principles of Neurobiology"
65585: BIOL,"Public Health Nutrition"
65586: BIOL,"Radiation Biology"
65587: BIOL,"Sci Tech Environ Bio"
65588: BIOL,"Scientific Communication"
65589: BIOL,"Scientific Communication II"
65590: BIOL,"Social Problems in Biology"
65591: BIOL,"Spec Tpcs Stat Anal"
65592: BIOL,"Statistical Analysis"
65593: BIOL,"Stats for Bio Sciences"
65594: BIOL,"The Biology of Disease"
65595: BIOL,"The Mammals"
65596: BIOL,"Thesis Research"
65597: BIOL,"Tpcs Marine Bio&Ocea"
65598: BIOL,"Urban Ecology"
65599: BIOL,"Vertebrate Endocrinology"
65600: BIOL,"Vertebrate Zoology"
65601: BUDA,"Analy Tech for Lrg Scal Data"
65602: BUDA,"BDA Independent Study"
65603: BUDA,"Big Data Mgmt- Supercomputing"
65604: BUDA,"Business Data"
65605: BUDA,"Business Data Analytics INDP"
65606: BUDA,"Comp & Stat Mthds For Bus & Ec"
65607: BUDA,"Forcastng for Mgrs & Rschrs"
65608: BUDA,"Intro Bus Data Analy Lrg Scale"
65609: BUDA,"Intro to Bus Data Anal of Lrg"
65610: BUDA,"Intro to Bus Data Analytics"
65611: BUDA,"Res. Proj In Large-Scale Data"
65612: BUDA,"Semi In Big Data-Curr Topics"
65613: BUSI,"Adv Word Processing"
65614: BUSI,"App Conc In Info Sys"
65615: BUSI,"Bus Software Tools"
65616: BUSI,"Bus/Eco Problems"
65617: BUSI,"Business 100-Level Elective"
65618: BUSI,"Business 200-Level Elective"
65619: BUSI,"Business 300-Level Elective"
65620: BUSI,"Business 400-Level Elective"
65621: BUSI,"Business Communications"
65622: BUSI,"Business Credit"
65623: BUSI,"Business Edp I"
65624: BUSI,"Business Edp II"
65625: BUSI,"Business Grad Credit"
65626: BUSI,"Business Ind Study"
65627: BUSI,"Business Independent Study"
65628: BUSI,"Business Internship"
65629: BUSI,"Business Law I"
65630: BUSI,"Business Law II"
65631: BUSI,"Business Law III"
65632: BUSI,"Comm In Corp Setting"
65633: BUSI,"Computers in Inform Processing"
65634: BUSI,"Entrepreneurship"
65635: BUSI,"Ethical Iss Bus&Soc"
65636: BUSI,"Glob Bus Strategy & Decision"
65637: BUSI,"Glob Strat&Dec Makin"
65638: BUSI,"Global Bus Seminar"
65639: BUSI,"Global Strat Abroad"
65640: BUSI,"Independent Study"
65641: BUSI,"Information Management"
65642: BUSI,"Insurance Principals I"
65643: BUSI,"Insurance Principals II"
65644: BUSI,"International Trade"
65645: BUSI,"Internatl Bus Intro"
65646: BUSI,"Intro To Info System"
65647: BUSI,"Introduction to Business"
65648: BUSI,"Labor Relations & Conflict Mgt"
65649: BUSI,"Media Administration"
65650: BUSI,"Multinatnl Enterpris"
65651: BUSI,"Practical New York Law"
65652: BUSI,"Real Estate Brokerge"
65653: BUSI,"Real Estate Practice"
65654: BUSI,"Seminar In Business"
65655: BUSI,"Services Marketing and Managem"
65656: BUSI,"Sustainable Business & Society"
65657: BUSI,"The Business of Healthcare"
65658: CERT,"Certified Full Time"
65659: CHEM,"32  Ooo"
65660: CHEM,"Adv Org Chem-Tchrs"
65661: CHEM,"Advanced Organic Chemistry"
65662: CHEM,"Analytical Chemistry"
65663: CHEM,"Applied Polymer Chemistry"
65664: CHEM,"Biochem I-Teachers"
65665: CHEM,"Biochem II-Teachers"
65666: CHEM,"Biochemistry I"
65667: CHEM,"Biochemistry II"
65668: CHEM,"Chem For Today II lab"
65669: CHEM,"Chem Grad Blanket Credit"
65670: CHEM,"Chem Grad Credit"
65671: CHEM,"Chem Ind Study"
65672: CHEM,"Chem Principls I Lab"
65673: CHEM,"Chem Princpls II Lab"
65674: CHEM,"Chem for Today I Lab"
65675: CHEM,"Chemical Analysis"
65676: CHEM,"Chemical Systems"
65677: CHEM,"Chemistry 100 -Level Elective"
65678: CHEM,"Chemistry 200-Level Elective"
65679: CHEM,"Chemistry 300-Level Elective"
65680: CHEM,"Chemistry 400-Level Elective"
65681: CHEM,"Chemistry Grad Blanket Credit"
65682: CHEM,"Chemistry Ind Study"
65683: CHEM,"Chemistry Independent Study"
65684: CHEM,"Chemistry Internship"
65685: CHEM,"Chemistry for Teachers"
65686: CHEM,"Chemistry for Today I"
65687: CHEM,"Chemistry for Today II"
65688: CHEM,"Chemistry in a Nutshell"
65689: CHEM,"Chm Lab Intro"
65690: CHEM,"Computational Physics"
65691: CHEM,"Elect Micro&Xray Mcr"
65692: CHEM,"Exp Methods in Physical Chem"
65693: CHEM,"Experimental Biochemistry"
65694: CHEM,"Gen Chemistry II Lab"
65695: CHEM,"General Chemistry I"
65696: CHEM,"General Chemistry I Laboratory"
65697: CHEM,"General Chemistry II"
65698: CHEM,"Hosp Internship I"
65699: CHEM,"Hosp Internship II"
65700: CHEM,"Independent Study for Research"
65701: CHEM,"Inorganic Chemistry"
65702: CHEM,"Intro Research Chem"
65703: CHEM,"Introduction to Chemistry"
65704: CHEM,"Modeling in CHM and BioCHM"
65705: CHEM,"Modeling in Chm and Biochm"
65706: CHEM,"Organc Chm I-Tchrs"
65707: CHEM,"Organic Chemistry I"
65708: CHEM,"Organic Chemistry II"
65709: CHEM,"Orgnc Chm II-Tchrs"
65710: CHEM,"Phys Chem I-Tchers"
65711: CHEM,"Phys Chm Ii-Tchers"
65712: CHEM,"Physical Chemistry: Equilibria"
65713: CHEM,"Physical Chemistry: Processes"
65714: CHEM,"Polymer Chem Semnr"
65715: CHEM,"Polymer Chemistry"
65716: CHEM,"Polymer Chemistry Topics"
65717: CHEM,"Principles of Chemistry I"
65718: CHEM,"Principles of Chemistry II"
65719: CHEM,"Quantum Chemistry"
65720: CHEM,"Reaction Processes"
65721: CHEM,"Research"
65722: CHEM,"Spectroscopy"
65723: CHIN,"Adv Comm Skl Mandarin Chn"
65724: CHIN,"Basic Mandarin Chinese I"
65725: CHIN,"Basic Mandarin II"
65726: CHIN,"Beginning Mandarin Chinese I"
65727: CHIN,"Chinese 100-Level Elective"
65728: CHIN,"Chinese Independent Study"
65729: CHIN,"Chinese Literature"
65730: CHIN,"Contemporary Expression"
65731: CHIN,"Continuing Mandarin Chinese I"
65732: CHIN,"Continuing Mandarin Chinese II"
65733: CHIN,"Conv Mandarin Chn I"
65734: CHIN,"Conv Mandarin Chn II"
65735: CHIN,"Gender & Sexu in China & Japan"
65736: CHIN,"Intensive Mandarin Chinese I"
65737: CHIN,"Intensive Mandarin Chinese II"
65738: CHIN,"Lang Contrast Eng&Chinese"
65739: CHIN,"Ling Aspects of Mand Chinese"
65740: CHIN,"Mod Chinese and Sinophone Lit"
65741: CIMS,"Cin/Media Grad Credt"
65742: CIMS,"Cinema Independent Study"
65743: CIMS,"Cinema Indepndt Stdy"
65744: CIMS,"Cinema Indepnt Stdy"
65745: CIMS,"Cinema Indepnt Study"
65746: CIMS,"Cinema and Gender"
65747: CIMS,"Contemporary Media Practices"
65748: CIMS,"Digital Media and Cult; A Crit"
65749: CIMS,"Digital Media&Cultre"
65750: CIMS,"Experimental Film and Video"
65751: CIMS,"Film and Video Workshop"
65752: CIMS,"Film&Media Res Analy"
65753: CIMS,"Film&Media Theory"
65754: CIMS,"Global Media"
65755: CIMS,"History of Media"
65756: CIMS,"Interdisciplinary Media Arts"
65757: CIMS,"Media and Ideology"
65758: CIMS,"Nonfiction Media"
65759: CIMS,"Nonlinear&Multime Pd"
65760: CIMS,"Race65761: CIMS,"Stdy Intl Cinema"
65762: CIMS,"Studies in Authorship"
65763: CIMS,"Studies in Media Genres"
65764: CIMS,"Thesis Research"
65765: CIST,"Adv Cinema Workshop"
65766: CIST,"Advanced TV Studio Production"
65767: CIST,"African American Media"
65768: CIST,"African Americans in the Media"
65769: CIST,"Amer Film And Myth"
65770: CIST,"American Directors After 1960"
65771: CIST,"American Directors Before 1960"
65772: CIST,"Bergman/Bunuel"
65773: CIST,"Chinese Cinema"
65774: CIST,"Cin And Media Intern"
65775: CIST,"Cinema Ind Study"
65776: CIST,"Cinema Independent Study"
65777: CIST,"Cinema Internship"
65778: CIST,"Cinematography"
65779: CIST,"Crafts Of Film"
65780: CIST,"Documentary Video"
