64317: ACCT,"Accounting I"
64693: ENGL,"Women in Literature"
64694: ENGL,"Women in Literature (HONORS)"
64695: ENGL,"Writing About Music"
64696: ENGL,"Writing Skills and Composition"
64697: ENSL,"Basic Academic Writing in ESL"
64698: ENSL,"Basic Composition"
64699: ENSL,"Basic Composition II"
64700: ENSL,"Ci For Esl II"
64701: ENSL,"Contemporary Issues III"
64702: ENSL,"Creative Writing For Esl"
64703: ENSL,"ESL Reading Workshop"
64704: ENSL,"ESL Summer Bridge I"
64705: ENSL,"ESL Summer Bridge II"
64706: ENSL,"ESL Writing Workshop"
64707: ENSL,"ESL in Content Areas II"
64708: ENSL,"ESL in Content Areas III"
64709: ENSL,"Fdns Of Critical Rdg"
64710: ENSL,"In Content Areas"
64711: ENSL,"Int Esl I & Lang Wks"
64712: ENSL,"Int Esl Rdg & Conver"
64713: ENSL,"Int Esl Reading & Conversat I"
64714: ENSL,"Int Esl Wri & Lang W"
64715: ENSL,"Lit & Ci For Esl I"
64716: ENSL,"Lit For ESL III"
64717: ENSL,"Literature for ESL Students II"
64718: ENSL,"Readings in the Natural Scienc"
64719: ENSL,"Readings in the Social Science"
64720: ENWO,"Core English Workshop"
64721: ENWO,"Core Reading & Writing (WKSP)"
64722: ENWO,"Core Reading Workshop"
64723: ENWO,"Reading & Composit. (SGI-WKSP)"
64724: ENWO,"Reading & Composition (WKSP)"
64725: ENWO,"Reading & Writing (WKSP)"
64726: ENWO,"Writing & Composit. (SGI-WKSP)"
64727: ENWO,"Writing & Composition (WKSP)"
64728: EVSC,"Environ Sci I (HONORS)"
64729: EVSC,"Environmental Issues"
64730: EVSC,"Environmental Sci I (Lab)"
64731: EVSC,"Environmental Sci II (Lab)"
64732: EVSC,"Environmental Science I"
64733: EVSC,"Environmental Science II"
64734: EXPE,"Bsc Esl 1 Workshop"
64735: EXPE,"Bsc Esl 2 Wkshop"
64736: EXPE,"Bsc Mat Skills Wksho"
64737: EXPE,"Bsc Spacomp 1 Wkshop"
64738: EXPE,"Bsc Sppdg Workshop"
64739: EXPE,"Elem Algebra Wkshop"
64740: EXPE,"Enter & Sports Mark"
64741: EXPE,"Fund. Eng. For Esl S"
64742: EXPE,"Interm Esl Wkshop"
64743: EXPE,"People & Society"
64744: EXPE,"Science Forward"
64745: FOST,"Food Studies Capstone"
64746: FOST,"Food Studies Career Practices"
64747: FOST,"Food Studies I: Intro Food Sys"
64748: FOST,"Food Studies II: Food Env Just"
64749: FOST,"Food64750: FOST,"Food64751: FOST,"Food64752: FOST,"Urban Agricultural Systems"
64753: FREN,"African Literature in French"
64754: FREN,"Elementary French I"
64755: FREN,"Elementary French I (HONORS)"
64756: FREN,"Elementary French II"
64757: FREN,"Elementary French II (HONORS)"
64758: FREN,"Extensive Readings in French"
64759: FREN,"French Culture and Science"
64760: FREN,"Intermediate French I"
64761: FREN,"Intermediate French II"
64762: FROR,"College Orientation"
64763: GADE,"Beyond Games"
64764: GADE,"Code for Art & Design"
64765: GADE,"Code for Games"
64766: GADE,"Digital Games"
64767: GADE,"Game Studio"
64768: GADE,"History of Games & Play"
64769: GADE,"Independent Study I"
64770: GADE,"Independent Study II"
64771: GADE,"Introduction to Games"
64772: GADE,"Narrative & Writing for Games"
64773: GADE,"Special Topics: Game Art & Des"
64774: GADE,"Visual Design for Games"
64775: GERM,"Elementary German I"
64776: GERO,"Fieldwork - Older Population"
64777: GERO,"Health and Aging"
64778: GERO,"Introduction to Gerontology"
64779: GERO,"Thera Rec In Long Term Care"
64780: GEST,"A New York State of Mind"
64781: HIST,"Afro-American History I"
64782: HIST,"Ancient64783: HIST,"Major Themes-US Women History"
64784: HIST,"Modern African Amer. History"
64785: HIST,"Modern European History"
64786: HIST,"Modern Hist Of Latin America"
64787: HIST,"Modern World History"
64788: HIST,"U.S. Immigration History"
64789: HIST,"US His Through Civil"
64790: HIST,"US His Through Civil (HONORS)"
64791: HIST,"US His: Reconstruct-Present (H"
64792: HIST,"Us His Reconst To Pr"
64793: HIST,"World History to 1500"
64794: HIST,"World History to 1500 (HONORS)"
64795: HUMA,"Black: Color and Concept64796: HUMA,"Intro to Global Humanities"
64797: HUMA,"Introduction to Global Film"
64798: HUMA,"Outlaw(ed): Progressive women"
64799: HUMA,"Race64800: HUMA,"Race-ing the Center: Thinking"
64801: HUMA,"Special Topics in Humanities"
64802: ITAL,"Elementary Italian 2 (HONORS)"
64803: ITAL,"Elementary Italian I"
64804: ITAL,"Elementary Italian II"
64805: ITAL,"Intermediate Italian I"
64806: ITAL,"Intermediate Italian II"
64807: JAPN,"Elementary Japanese I"
64808: JAPN,"Elementary Japanese II"
64809: JAPN,"Japanese Elective"
64810: JORM,"Fundamental Mass Media Writing"
64811: JORM,"Intermed Writng Mass Media"
64812: JORM,"Intro Multilin Media"
64813: JORM,"Print & Broadcast Media"
64814: LACS,"African Presence In"
64815: LACS,"Caribbean Society & Culture (H"
64816: LACS,"Caribbean Society and Culture"
64817: LACS,"Hispanic Migration"
64818: LACS,"Hispanic Migration (HONORS)"
64819: LACS,"Hist Latin Amer & Carib Music"
64820: LACS,"Hist of Carib & Latin Amer Art"
64821: LACS,"History Of Latin America I"
64822: LACS,"History of Caribbean (HONORS)"
64823: LACS,"History of Dominican Republic"
64824: LACS,"History of Latin America I"
64825: LACS,"History of Latin America II"
64826: LACS,"History of Puerto Rico"
64827: LACS,"History of Race in LAC"
64828: LACS,"History of the Caribbean"
64829: LACS,"Hostos & Marti (HONORS)"
64830: LACS,"Hostos Life & Works"
64831: LACS,"Latin Amer. Film & Literature"
64832: LACS,"Latina/o Lit In The US"
64833: LACS,"Latino Experience US"
64834: LACS,"Seminar & Fldwk Carib Society"
64835: LACS,"Special Topics In Lac"
64836: LACS,"US Latina Women?s Literature"
64837: LACS,"Women Carib/Lat Lit"
64838: LAW,"Constitutional Law"
64839: LAW,"Criminal Law"
64840: LAW,"Family Law"
64841: LAW,"Immigration Law"
64842: LAW,"Law and Evidence"
64843: LAW,"Law and Social Change"
64844: LAW,"Penal Law of New York State"
64845: LAW,"Pub Employ Ben Law"
64846: LING,"Bilingualism"
64847: LING,"Comparative Linguistics"
64848: LING,"Introduction to Linguistics"
64849: LING,"Language Acquisition"
64850: LING,"Language and Power"
64851: MATH,"Algebra - Quantitative Reason"
64852: MATH,"Algebra - Statistics-Non-STEM"
64853: MATH,"Basic Math Skills (WKSP)"
64854: MATH,"Basic Mathematics Skills"
64855: MATH,"Bridge to STEM"
64856: MATH,"CLIP"
64857: MATH,"Calculus I"
64858: MATH,"Calculus I (HONORS)"
64859: MATH,"Calculus II"
64860: MATH,"Calculus III"
64861: MATH,"Calculus III (HONORS)"
64862: MATH,"College Algebra-Trig (SI)"
64863: MATH,"College Algebra-Trigonometric"
64864: MATH,"Computer Literacy"
64865: MATH,"Computer Programming-Cobol"
64866: MATH,"Differential Equatio"
64867: MATH,"Elementary Algebra"
64868: MATH,"Elementary Algebra (WKSP)"
64869: MATH,"Elementary Algebra Workshop"
64870: MATH,"Elementary Algebra for STEM"
64871: MATH,"Integrated Arithm/Alg (WKSP)"
64872: MATH,"Integrated Arithmetic/Algebra"
64873: MATH,"Intro College Math"
64874: MATH,"Intro College Math (SI)"
64875: MATH,"Intro To Prob & Stat"
64876: MATH,"Intro to Prob & Stats"
64877: MATH,"Intro to Prob & Stats (SI)"
64878: MATH,"Linear Alg & Vector"
64879: MATH,"Linear Alg&Vec (HONORS)"
64880: MATH,"Linear Algebra"
64881: MATH,"Math For Allied Health"
64882: MATH,"Number Theory"
64883: MATH,"Precalculus"
64884: MATH,"Quantitative Reasoning"
64885: MESG,"For CLIP Placement"
64886: MESG,"Pending Pass/Reading"
64887: MESG,"Permit Out"
64888: MUDI,"History of Electronic Music"
64889: MUDI,"Independent Study"
64890: MUDI,"Intro to Recording Techniques"
64891: MUDI,"Production 1"
64892: MUDI,"Production 2"
64893: MUDI,"Sound As Story"
64894: MUDI,"Sound Design"
64895: MUDI,"Sound Design In Context"
64896: MUDI,"Sound Lab 2"
64897: MUDI,"Sound Lab I"
64898: MUDI,"Synth64899: MUSI,"History Western Music Styles"
64900: MUSI,"History of the Film Score"
64901: MUSI,"Music Theory & Ear Training I"
64902: MUSI,"Music Theory at the Keyboard"
64903: MUSI,"Theory & Ear Training II"
64904: MUSI,"World Music"
64905: NURS,"Clinical Nursing II"
64906: NURS,"Fund Nursing Practice"
64907: NURS,"LPN Clinical Nursing I"
64908: NURS,"Maternal/Child"
64909: NURS,"Nur Care Childrearing Fam II"
64910: NURS,"Nur Care Mental Ill"
64911: NURS,"Nursing Care Chldbrng Fam I"
64912: NURS,"Nursing Care of the Adult I"
64913: NURS,"Nursing Care of the Adult II"
64914: NURS,"Nursing Trends and Issues"
64915: NURS,"Pharmacology"
64916: NURS,"Transition into Nursing"
64917: OFTC,"Adv Comp Key & Doc"
64918: OFTC,"Comp Keyboard & Doc Format I"
64919: OFTC,"Comp Keyboard & Doc Format II"
64920: OFTC,"Electronic Health Records"
64921: OFTC,"Intro To Comp Soft P"
64922: OFTC,"Legal Term Transcript"
64923: OFTC,"Medical Billing and Insurance"
64924: OFTC,"Medical Coding/Billing and Ins"
64925: OFTC,"Medical Office Procedures"
64926: OFTC,"Medical Terms & Transcription"
64927: OFTC,"Office Systems and Procedures"
64928: OFTC,"Office Technology Internship"
64929: OFTC,"Professional Office Management"
64930: OFTC,"Transcription"
64931: ONLI,"Student Online Learn Readiness"
64932: PAST,"Field Work"
64933: PAST,"Hearing and Trial Advocacy"
64934: PAST,"Intro Legal System"
64935: PAST,"Law Office Organization"
64936: PAST,"Legal Practicum I"
64937: PAST,"Legal Practicum II"
64938: PAST,"Legal Research"
64939: PAST,"Legal Research & Writing I"
64940: PAST,"Legal Writing"
64941: PERM,"Permit Out"
64942: PERM,"Permit Out Variable"
64943: PHIL,"Intro To World Philosophies"
64944: PHIL,"Intro to Philosophy- Honors"
64945: PHIL,"Thinking and Reasoning"
64946: PHYS,"General Physics 1 (HONORS)"
64947: PHYS,"General Physics I"
64948: PHYS,"General Physics II"
64949: PHYS,"General Physics II (HONORS)"
64950: PHYS,"Independent Studies in Physics"
64951: PHYS,"Physics I"
64952: PHYS,"Physics II"
64953: PHYS,"Physics of Sound"
64954: POSC,"American Government"
64955: POSC,"American Government (HONORS)"
64956: POSC,"Comparative Politics"
64957: POSC,"Introduction to Police Studies"
64958: POSC,"Pol Sys Latin Am (HONORS)"
64959: POSC,"Pol Sys Of Latin Am"
64960: POSC,"Police Organization"
64961: PSYC,"Abnormal Psychology"
64962: PSYC,"Abnormal Psychology (HONORS)"
64963: PSYC,"Cultural Psychology"
64964: PSYC,"Devel Psych (Adult)"
64965: PSYC,"Devel Psych (Child)"
64966: PSYC,"Educational Psychology"
64967: PSYC,"General Psychology"
64968: PSYC,"Industrial/Organizational Psyc"
64969: PSYC,"Intro to Research Methods"
64970: PSYC,"Life Span Dev. Of Be"
64971: PSYC,"Personality"
64972: PSYC,"Psychology of Aging"
64973: PSYC,"Psychology of Women"
64974: PSYC,"Small Group Dynamics"
64975: PSYC,"Social Psychology"
64976: PUAD,"Bureaucracy"
64977: PUAD,"Careers in Criminal Justice"
64978: PUAD,"Federal Administration"
64979: PUAD,"Fund Of Pub Adm"
64980: PUAD,"Health Care Finance"
64981: PUAD,"Health Care HR Management"
64982: PUAD,"Health and Welfare Admin I"
64983: PUAD,"Health and Welfare Admin II"
64984: PUAD,"Law & Social Change (HONORS)"
64985: PUAD,"Personnel Resources"
64986: PUAD,"Practicum"
64987: PUAD,"Social Services Administration"
64988: PUAD,"State and Local Government"
64989: PUAD,"Unions and Labor"
64990: PUAD,"Women in Management"
64991: RATE,"Advanced Procedures I"
64992: RATE,"Advanced Procedures II"
64993: RATE,"Applied Quality Assurance"
64994: RATE,"Clincial Radiography IV"
64995: RATE,"Clinical Radiography I"
64996: RATE,"Clinical Radiography II"
64997: RATE,"Clinical Radiography III"
64998: RATE,"Clinical Radiography V"
64999: RATE,"Contrast Media"
65000: RATE,"Pathology"
65001: RATE,"Prof Practice Issues"
65002: RATE,"Radiation Biology"
65003: RATE,"Radiation Protection"
65004: RATE,"Radiographic Anatomy I"
65005: RATE,"Radiographic Anatomy II"
65006: RATE,"Radiography I & Lab"
65007: RATE,"Radiography I (LAB)"
65008: RATE,"Radiography II & Lab"
65009: RATE,"Radiography II (LAB)"
65010: RATE,"Radiologic Physics"
65011: RATE,"Radiologic Science I & Lab"
65012: RATE,"Radiologic Science II & Lab"
65013: RATE,"Radioologic Science (LAB)"
65014: RATE,"Senior Seminar"
65015: REAW,"Reading Workshop"
65016: SCIE,"Concepts In Science"
65017: SCIE,"Concepts Of Sci 2"
65018: SCIE,"Introduction to Science"
65019: SOCI,"Criminology"
65020: SOCI,"Intro to Soc (HONORS)"
65021: SOCI,"Introduction to Sociology"
65022: SOCI,"Race And Ethnicity"
65023: SOCI,"Sociology"
65024: SOCI,"Sociology of Social Problems"
65025: SOSC,"Introduction to Social Science"
65026: SOWO,"Introduction to Social Work"
65027: SOWO,"Social Work Practice"
65028: SPAN,"Advanced Spanish Composition"
