17084: ACCT,"Acc Applications On Microcomp"
17464: CHEM,"Chemistry Directed Study"
17465: CHEM,"Chemistry I"
17466: CHEM,"College Chemistry II"
17467: CHEM,"Concepts In Chemistry Lab"
17468: CHEM,"Concepts in Chemistry"
17469: CHEM,"Fund of Organic Chemistry"
17470: CHEM,"Fundamentals of Biochemistry"
17471: CHEM,"Fundamentals of Chemistry"
17472: CHEM,"Gen Org Bio Chem I"
17473: CHEM,"Gen Org Bio Chem II"
17474: CHEM,"General Chemistry"
17475: CHEM,"Organic Chemistry I"
17476: CHEM,"Organic Chemistry II"
17477: CHEM,"Quantitative Analysis"
17478: CHIN,"20th Cent Chinese Literature"
17479: CHIN,"Chinese Cultural Heritage"
17480: CHIN,"Chinese Culture & Civilization"
17481: CHIN,"Chinese I"
17482: CHIN,"Chinese II"
17483: CHIN,"Chinese III"
17484: CHIN,"Chinese IV"
17485: CHIN,"Chinese IV (Honors)"
17486: CHIN,"Elem Chinese for Herit Speaker"
17487: CHIN,"Introductory Chinese I"
17488: CHIN,"Introductory Chinese II"
17489: CHIN,"Lit17490: CHIN,"Modern Chinese Film"
17491: CMIS,"Adv.Health Inf Comp"
17492: CMIS,"Advanced Internet Applications"
17493: CMIS,"Business Systems I"
17494: CMIS,"Cloud Computing"
17495: CMIS,"Computer Hardware"
17496: CMIS,"Computer Operations I"
17497: CMIS,"Computer Operations II/JCL"
17498: CMIS,"Computer Software"
17499: CMIS,"Database Driven Web"
17500: CMIS,"Database Systems I"
17501: CMIS,"Database Systems I (Honors)"
17502: CMIS,"Database Systems Il"
17503: CMIS,"Desktop Publishing Packages"
17504: CMIS,"Ethical Hacking and System Def"
17505: CMIS,"Healthcare Info Tech And Mgmt"
17506: CMIS,"Information Assurance"
17507: CMIS,"Intro Comp & Info Security"
17508: CMIS,"Intro Comp Med Rec"
17509: CMIS,"Intro Data Base App"
17510: CMIS,"Intro to Comp Apps"
17511: CMIS,"Intro to Health Info Systems"
17512: CMIS,"Intro to Health Info Tech"
17513: CMIS,"Intro to Operating Systems"
17514: CMIS,"Intro.Info System"
17515: CMIS,"Introduction Data Science"
17516: CMIS,"Introduction Digital Forensics"
17517: CMIS,"Introduction to the Internet"
17518: CMIS,"Mobile Device Programming"
17519: CMIS,"Network Security"
17520: CMIS,"Operating Systems Concepts"
17521: CMIS,"RPG Programming"
17522: CMIS,"System Analysis"
17523: CMIS,"Systems Analysis"
17524: CMIS,"Systems Implementation"
17525: CMIS,"Tele. Networks II"
17526: CMIS,"Telecommunication Networks I"
17527: CMIS,"Unix"
17528: CMIS,"Visual Basic"
17529: CMIS,"Web Programming I"
17530: CMIS,"Web Programming Il"
17531: CMIS,"Wireless Information Networks"
17532: CMIS,"Wireless Programming"
17533: CMIS,"intro Spreadsheet Applications"
17534: CMSC,"Adv Programming Tech (Honors)"
17535: CMSC,"Adv. Programming Techniques"
17536: CMSC,"Assem Lang & Arc II"
17537: CMSC,"Assembler Lang and Architect I"
17538: CMSC,"Computer Graphics"
17539: CMSC,"Computer Programming I"
17540: CMSC,"Computer Programming II"
17541: CMSC,"Data Structures"
17542: CMSC,"Data Structures (Honors)"
17543: CMSC,"Data Structures I"
17544: CMSC,"Data Structures I (Honors)"
17545: CMSC,"Data Structures II"
17546: CMSC,"Data Structures II (Honors)"
17547: CMSC,"Disc Struc & Applic Comp Sci"
17548: CMSC,"DiscStruc&AppCompSci (Honors)"
17549: CMSC,"Discrete Structures"
17550: CMSC,"Fund. of Computer Systems"
17551: CMSC,"Introduction to Data Analytics"
17552: CMSC,"Introduction to Programming"
17553: CMSC,"Math Fndtns of Comp Networking"
17554: CMSC,"Principles In Info Tech & Comp"
17555: CMSC,"Software Development"
17556: CMSC,"Software Development (Honors)"
17557: CODI,"College Discovery Workshop"
17558: COMM,"Communication Study Internship"
17559: COMM,"Conflict Resolution"
17560: COMM,"Conflict Resolution (Honors)"
17561: COMM,"Gender and Communication"
17562: COMM,"Intercultural Comm (Honors)"
17563: COMM,"Intercultural Communication"
17564: COMM,"Interpersonal Communication"
17565: COMM,"Intr Rhetoric & Public Address"
17566: COMM,"Intro Digital Comm & Culture"
17567: COMM,"Intro to Communication Studies"
17568: COMM,"Small Group Communication"
17569: COMM,"The Mass Media"
17570: CORP,"Budgtg Aud-Vis Prod"
17571: CORP,"Corp Media Applic"
17572: CORP,"Introduction to Video Graphics"
17573: CORP,"Lighting for Television"
17574: CORP,"Non-Broadcast Television"
17575: CORP,"Non-Broadcast Tv"
17576: CORP,"Remte Prod/Vid Ed 1"
17577: CORP,"Remte Prod/Vid Ed 2"
17578: CORP,"Remte Prod/Vte 2"
17579: CORP,"Script to Screen"
17580: CORP,"Sound The & Tel II"
17581: CORP,"Sound for The and Tel I"
17582: CORP,"TV Studio Prod Business II"
17583: CORP,"TV Studio Prod for Bus I"
17584: CORP,"Teleconferencing"
17585: CRIM,"Constitutional Law"
17586: CRIM,"Corrections"
17587: CRIM,"Crim Just Urb Commu"
17588: CRIM,"Crim Just Urb Commu (Honors)"
17589: CRIM,"Criminal Law"
17590: CRIM,"Criminology"
17591: CRIM,"Criminology (Honors)"
17592: CRIM,"Intr Criminal Justice (Honors)"
17593: CRIM,"Intro Criminal Justice"
17594: CRIM,"Policing"
17595: CRIM,"Policing (Honors)"
17596: CRIM,"Selected Topics in Crim Just"
17597: CRIM,"Selected Topics in Criminology"
17598: CTTN,"Crit Thinking & Media Literacy"
17599: CTTN,"Critical Thinking"
17600: CTTN,"Critical Thinking (Honors)"
17601: CTTN,"Critical Thinking Read & Writ"
17602: CTTN,"Critical Thinking for ESL 95"
17603: CTTN,"Critical Thnkng & Sci Inquiry"
17604: CTTN,"Critical Thnkng & Social Just"
17605: CTTN,"Crtcl Thnk: Inq Queer Theories"
17606: DANC,"African Amer and Caribb Dance"
17607: DANC,"American Dance Techniques I"
17608: DANC,"American Dance Techniques II"
17609: DANC,"American Dance Techniques III"
17610: DANC,"American Dance Techniques IV"
17611: DANC,"Dance Composition"
17612: DANC,"Dance Performance"
17613: DANC,"Performing Arts Management"
17614: DANC,"Survey of 20th Century Dance"
17615: DATA,"A L P For Ibm 360"
17616: DATA,"Accelerated D P"
17617: DATA,"Adv Cobol Program"
17618: DATA,"Adv Comp Operations"
17619: DATA,"Adv Computer Ops"
17620: DATA,"Adv Medical Comp Record"
17621: DATA,"Adv Rpg Programming"
17622: DATA,"Advanced COBOL"
17623: DATA,"Assemb Lang & Arch"
17624: DATA,"Assembler Lang Prog"
17625: DATA,"Basic"
17626: DATA,"Basic COBOL Programming"
17627: DATA,"Basic Cobol"
17628: DATA,"Basic Computer Ops"
17629: DATA,"Basic Ibm 360 Ops"
17630: DATA,"Basic Report Program Generator"
17631: DATA,"Basic Rpg Program"
17632: DATA,"C"
17633: DATA,"Cics On Line Sys Pg"
17634: DATA,"Cobol"
17635: DATA,"Cobol II"
17636: DATA,"Cobol Programming"
17637: DATA,"Comp/ In Society"
17638: DATA,"Computer & Society"
17639: DATA,"Computer Concepts"
17640: DATA,"Computer Operations"
17641: DATA,"Computers & Prog"
17642: DATA,"D P Systems And App"
17643: DATA,"DAT Directed Study"
17644: DATA,"Dat Directed Study"
17645: DATA,"Data Base Applicat"
17646: DATA,"Data Structrues"
17647: DATA,"Database"
17648: DATA,"File Handling"
17649: DATA,"Fortran"
17650: DATA,"Fortran IV"
17651: DATA,"Gen Cobol Program"
17652: DATA,"Intro Comp Applicat"
17653: DATA,"Intro Comp Graphics"
17654: DATA,"Intro To D P"
17655: DATA,"Intro To Data Proc"
17656: DATA,"Intro To Ibm Comp"
17657: DATA,"Intro to Common Med Recurr"
17658: DATA,"Intro to Computer Science"
17659: DATA,"Job Control Lang"
17660: DATA,"Management Systems"
17661: DATA,"Med Recrd Appl D P"
17662: DATA,"On-Line Operations"
17663: DATA,"Operating Systems"
17664: DATA,"Operating Systems Concepts"
17665: DATA,"Operations For IBM 360 Comp"
17666: DATA,"Operations Implemnt"
17667: DATA,"Operations Mgt."
17668: DATA,"Pl/1 Prog Lang/One"
17669: DATA,"Programm Language I"
17670: DATA,"R.P.G. & D.O.S Conc IBM 360"
17671: DATA,"Rpg Programming"
17672: DATA,"Spreadsheet Pkges"
17673: DATA,"Survey Data Proc"
17674: DATA,"Systems Analysis"
17675: DATA,"Systems Development"
17676: DATA,"Systems Development/Procedures"
17677: DATA,"Systems Implement"
17678: DATA,"Time Share Systems"
17679: DATA,"Unix"
17680: DESK,"Acad Criti Read II MR Tutorial"
17681: DESK,"Acad Criti Read II Tutorial"
17682: DESK,"Acad Critical Read I-Cd Wrkshp"
17683: DESK,"Academic & Critical Reading I"
17684: DESK,"Academic & Critical Reading II"
17685: DESK,"Academic Critical Reading I"
17686: DESK,"Academic Critical Reading II"
17687: DESK,"Academic Reading Workshop"
17688: DESK,"Accelerated Acad & Crit Read"
17689: DESK,"BLIIS Reading"
17690: DESK,"CLIP Reading I"
17691: DESK,"CLIP Reading II"
17692: DESK,"CLIP Reading III"
17693: DESK,"CUNY Start Reading"
17694: DESK,"Issues Literacy & Lang Develop"
17695: DESK,"Literacy Practices:Birth-Adole"
17696: DESK,"Literacy in American Society"
17697: DESK,"Literacy17698: DESK,"Rdng & Stdy Skills II-Cd Wkshp"
17699: ECON,"Afr Devel.20 Centur"
17700: ECON,"Behavioral Economics"
17701: ECON,"Behavioral Economics (Honors)"
17702: ECON,"Competition and Strategy"
17703: ECON,"Development Economics"
17704: ECON,"Eco Devel Dominican"
17705: ECON,"Eco Directed Study"
17706: ECON,"Eco. of Antitrust & Regulation"
17707: ECON,"Economic History"
17708: ECON,"Economic History (Honors)"
17709: ECON,"Economics Directed Study"
17710: ECON,"Economics of Urban Communities"
17711: ECON,"Environmental Economics"
17712: ECON,"Environmental Economics (Honor"
17713: ECON,"Feminist Economics"
17714: ECON,"Feminist Economics (Honors)"
17715: ECON,"International Economics"
17716: ECON,"Introduction to Economics"
17717: ECON,"Labor Economics"
17718: ECON,"Macroeconomics"
17719: ECON,"Macroeconomics (Honors)"
17720: ECON,"Microeconomics"
17721: ECON,"Microeconomics (Honors)"
17722: ECON,"Money & Banking"
17723: ECON,"PR Econ Devlpmnt since 1898"
17724: ECON,"Political Eco Carib"
17725: ECON,"Public Economics"
17726: ECON,"Public Economics (Honors)"
17727: EDBL,"Bilingual Edu In Urban School"
17728: EDCO,"ACCT Internship II"
17729: EDCO,"Accounting Internship I"
17730: EDCO,"Adv Internship I"
17731: EDCO,"Adv Internship Ii"
17732: EDCO,"Banking Internship II"
17733: EDCO,"Bkg Internship I"
17734: EDCO,"Bus Mgt Intern II"
17735: EDCO,"Business Mgmt Internship I"
17736: EDCO,"CIS Internship II"
17737: EDCO,"Career Planning"
17738: EDCO,"Cis Internship I"
17739: EDCO,"Co-Op Edu Small Bus Intern I"
17740: EDCO,"Co-op Ed Intrnshp II-Small Bus"
17741: EDCO,"Co-op Edu Internship III-Acct"
17742: EDCO,"D P Internship I"
17743: EDCO,"D P Internship Ii"
17744: EDCO,"Data Processing Internship III"
17745: EDCO,"Liberal Arts Internship I"
17746: EDCO,"Liberal Arts Internship II"
17747: EDCO,"Mar Internship I"
17748: EDCO,"Mar Internship III"
17749: EDCO,"Mar Internship Ii"
17750: EDCO,"Multimedia Internship I"
17751: EDCO,"Off Admin Intship I"
17752: EDCO,"Sec Sci Internship II"
17753: EDCO,"Secretarial Sci Internship III"
17754: EDCO,"Secritarial Sci Internship I"
17755: EDCO,"Small Bus Enteprshp Inrnshp I"
17756: EDCO,"Small Business Internship III"
17757: EDCO,"Vat Internship I"
17758: EDCO,"Vat Internship II"
17759: EDEC,"Curr For Young Children I"
17760: EDEC,"Curr for Young Children II"
17761: EDEC,"ECE Practicum II"
17762: EDEC,"Early Childhood Practicum I"
17763: EDEC,"Early Childhood Practicum II"
17764: EDEC,"Ed Found & Ped Exception Child"
17765: EDEC,"Inf & Tod Pract I Obs & Assmnt"
17766: EDEC,"Inf/Tod Pract: Curr & Teaching"
17767: EDEC,"Infant Care and Curriculum"
17768: EDEC,"Infants & Toddler Practicum II"
17769: EDEC,"Infants & Toddlers Practicum I"
17770: EDEC,"Intro To Early Childhood Edu"
17771: EDEC,"Psy Foundation Early Dev & Edu"
17772: EDEC,"Social Found Early Care & Edu"
17773: EDEC,"Toddler Care and Curriculum"
17774: EDHE,"Aging17775: EDHE,"Biostatistics in Public Health"
17776: EDHE,"Comm Strategy- Health Literacy"
17777: EDHE,"Comprehensive Health Education"
17778: EDHE,"Consumer Health Survey"
17779: EDHE,"Contemporary Health Issues"
17780: EDHE,"Critical Health Topics & Issue"
17781: EDHE,"Cross Cult Hlth Edu Peru & U.S"
17782: EDHE,"Drug Use in American Society"
17783: EDHE,"Environ & Occupational Health"
17784: EDHE,"Epidemiology Public Hlth Prac"
17785: EDHE,"First Aid Safety"
17786: EDHE,"Food17787: EDHE,"Food17788: EDHE,"Global Nutrition and Disease"
17789: EDHE,"HIV/AIDS: Public Hlth Implicat"
17790: EDHE,"Hab & Addict & Prev"
17791: EDHE,"Health Concerns of Women"
17792: EDHE,"Health Counseling"
17793: EDHE,"Health Educ Directed Study"
17794: EDHE,"Health Education"
17795: EDHE,"Health Education & Wellness"
17796: EDHE,"Health Education Directed Stu"
17797: EDHE,"Health Education Directed Stud"
