80156: ANTH,"Crit Issues Internatl Studies"
80213: JOUR,"Entreprenurial Skills"
80214: JOUR,"Environmental Reporting"
80215: JOUR,"Ethical & Legal Consider in SJ"
80216: JOUR,"Ethical&Legal Considr Soc Jour"
80217: JOUR,"Feature Writing"
80218: JOUR,"Fndmntls Multimedia Storytllng"
80219: JOUR,"Fund Intrctive Jour/Brdcst Mjr"
80220: JOUR,"Fund Multimedia Audio & Video"
80221: JOUR,"Fundamentals of Media Business"
80222: JOUR,"HTML & CSS for Journalism"
80223: JOUR,"Hlth Care Sys:People’s Stories"
80224: JOUR,"Independent Study"
80225: JOUR,"Information Design"
80226: JOUR,"Information Gathering & Report"
80227: JOUR,"Interactive Journalism II"
80228: JOUR,"Interactive: Hyperlocal"
80229: JOUR,"International Reporting"
80230: JOUR,"Internship"
80231: JOUR,"Intro to Documentary Film"
80232: JOUR,"Intro to Health Journalism"
80233: JOUR,"Intro to Internat’l Reporting"
80234: JOUR,"Investigative Health Reporting"
80235: JOUR,"Investigative Reporting"
80236: JOUR,"Issues in Internati Reporting"
80237: JOUR,"JavaScript/JQuery: Journalists"
80238: JOUR,"Journalistic Judgment"
80239: JOUR,"Lab Covering Medical Advances"
80240: JOUR,"Legal & Ethical Issues"
80241: JOUR,"Legal and Ethical Issues"
80242: JOUR,"Media Innovation Fieldwork"
80243: JOUR,"Metrics and Outcomes"
80244: JOUR,"Mobile & Tablet Journalism"
80245: JOUR,"Modern Graphics for Journalism"
80246: JOUR,"Motion Graphics Storytelling"
80247: JOUR,"Motion Graphics for Journalism"
80248: JOUR,"Multimedia - Interactive"
80249: JOUR,"Narrative Journalism"
80250: JOUR,"Narrtv Strytelling/Dcmntries"
80251: JOUR,"National Political Reporting"
80252: JOUR,"New Business Models for News"
80253: JOUR,"News Games & Quizzes"
80254: JOUR,"News Service Workshop"
80255: JOUR,"Opinion Writing"
80256: JOUR,"Photography for Reporters"
80257: JOUR,"Photojournalism"
80258: JOUR,"Podcast Pitching & Development"
80259: JOUR,"Presentation & Design"
80260: JOUR,"Radio News Magazine:Audio File"
80261: JOUR,"Radio News Writing & Reporting"
80262: JOUR,"Radio Voice Workshop"
80263: JOUR,"Reporting for Soc Journalism"
80264: JOUR,"Research Methods"
80265: JOUR,"Science Journalism"
80266: JOUR,"Scraping for Journalists"
80267: JOUR,"Sem:Interactive Journalism Iss"
80268: JOUR,"Social Media Newsroom"
80269: JOUR,"Social Media Tools"
80270: JOUR,"Social Video"
80271: JOUR,"Sports Reporting"
80272: JOUR,"Sports and Society"
80273: JOUR,"Summer Internship"
80274: JOUR,"TV News Magazine Production"
80275: JOUR,"TV for non-Broadcast Majors"
80276: JOUR,"Television News Magazine Prod"
80277: JOUR,"The Art of the Interview"
80278: JOUR,"The Broadcast Newscast"
80279: JOUR,"The Business of Freelancing"
80280: JOUR,"Topics Business/Econ Reporting"
80281: JOUR,"Topics Interactive Journalism"
80282: JOUR,"Topics International Reporting"
80283: JOUR,"Topics in Art/Culture Reprting"
80284: JOUR,"Topics in Audio Journalism"
80285: JOUR,"Topics in Health/Sci Reporting"
80286: JOUR,"Topics in Journalism"
80287: JOUR,"Topics in Journalistic Writing"
80288: JOUR,"Topics in Social Journalism"
80289: JOUR,"Topics in Urban Reporting"
80290: JOUR,"Topics in Visual Journalism"
80291: JOUR,"Urban Environmental Reporting"
80292: JOUR,"Urban Investigative"
80293: JOUR,"Urban Reporting I:City Gvrnmnt"
80294: JOUR,"Urban Reporting II:NYC Economy"
80295: JOUR,"Urban Rprtng III:NYC Soc Issue"
80296: JOUR,"User Experi&Interaction Design"
80297: JOUR,"Video Storytelling for the Web"
80298: JOUR,"Video for Web"
80299: JOUR,"Videolab"
80300: JOUR,"Voices & Perspect in Conflict"
80301: JOUR,"WordPress Customization"
80302: JOUR,"Workshop in Arts Journalism"
80303: JOUR,"Writ Crit About Food&Restauran"
80304: JOUR,"Writing for Social Media"
80305: MESG,"Brooklyn College"
80306: MESG,"City College"
80307: MESG,"Hunter College"
80308: MESG,"Maintenance of Matriculation"
80309: PSYC,"The Visual in Field Research"
80310: PUAF,"Maternal & Child Health"
80311: STAB,"Study Abroad"
80312: WMST,"Global Feminisms"
