15157: ACCT,"Accounting Independent Study 2"
15498: CHEM,"Biochemistry"
15499: CHEM,"Biochemistry I"
15500: CHEM,"Biochemistry II"
15501: CHEM,"Chemical Calculations"
15502: CHEM,"Chemical Principles 1 - Lab"
15503: CHEM,"Chemical Principles I"
15504: CHEM,"Chemical Principles II"
15505: CHEM,"Chemical Principles II - Lab"
15506: CHEM,"Chemistry in Our Time"
15507: CHEM,"Environmental Chemistry"
15508: CHEM,"Essentials Coll Chem Lab"
15509: CHEM,"Essentials Coll Chemistry"
15510: CHEM,"Esstl Coll Chem Lab"
15511: CHEM,"Esstls Coll Chem"
15512: CHEM,"Esstls Organ Chem"
15513: CHEM,"Experiments Bio Chem"
15514: CHEM,"Heterocyclic Chem"
15515: CHEM,"Independent Study"
15516: CHEM,"Inorganic Chemistry"
15517: CHEM,"Instmtl Mthd Analys"
15518: CHEM,"Instrumental Analysis I"
15519: CHEM,"Instrumental Analysis II"
15520: CHEM,"Lab in Org Chemistry"
15521: CHEM,"Medicinal Chemistry"
15522: CHEM,"Organic Chemistry I"
15523: CHEM,"Organic Chemistry II"
15524: CHEM,"Physical Chem: Drug Proceses"
15525: CHEM,"Physical Chem: Quantum Chem"
15526: CHEM,"Physical Chem: Thermodynamics"
15527: CHEM,"Physical-Inorg Lab"
15528: CHEM,"Principles Of Chem I Lab"
15529: CHEM,"Principles Of Chem II Lab"
15530: CHEM,"Principles of Chemistry I"
15531: CHEM,"Principles of Chemistry II"
15532: CHEM,"Special Topics in Chemistry"
15533: CHEM,"Struct&Mech Biochem"
15534: CHEM,"Techniques of Organic Chem I"
15535: CHEM,"Techniques of Organic Chem II"
15536: CHEM,"Toxicology"
15537: CHIN,"Elementary Chinese I"
15538: CHIN,"Elementary Chinese II"
15539: CHIN,"Intermediate Chinese I"
15540: CHIN,"Intermediate Chinese II"
15541: CLLS,"Advanced Hematology"
15542: CLLS,"Anat & Phys"
15543: CLLS,"Clinical Bacteriology"
15544: CLLS,"Clinical Chemistry"
15545: CLLS,"Clinical Immunoserology"
15546: CLLS,"Clinical Internshp 1"
15547: CLLS,"Clinical Lab Internship II"
15548: CLLS,"Coagulation"
15549: CLLS,"Diagnostic Technique"
15550: CLLS,"Immuno-Hematology"
15551: CLLS,"Intro Hematology/Phlebotomy"
15552: CLLS,"Mycology&Parasitolgy"
15553: CLLS,"Seminar Prof Issues"
15554: CLLS,"Tissue Techniques"
15555: CLLS,"Urinalysis and Body Fluids"
15556: CLTM,"Clinical Epidemology"
15557: CLTM,"Clinical Trial Data Management"
15558: CLTM,"Clinical Trial Implementation"
15559: CLTM,"Clinical Trial Mgmt Capstone"
15560: CLTM,"Clinical Trial Project Mgmt"
15561: CLTM,"Clinical Trial Quality"
15562: CLTM,"Drug Safety and Pharmacovigila"
15563: CLTM,"Ethical Consideration Clinical"
15564: CLTM,"Foundation Regulatory Affairs"
15565: CLTM,"Global Regulatory Affairs"
15566: CLTM,"Intro to Medical Writing"
15567: CLTM,"Introduction to Clinical Trial"
15568: CLTM,"Medical Writing"
15569: CLTM,"Medical Writing: Drugs"
15570: CLTM,"Medical Writing: Investigation"
15571: CLTM,"SAS Programming"
15572: CMSC,"Advanced Topics"
15573: CMSC,"Algorithm Design and Analysis"
15574: CMSC,"Algorithms and Data Structures"
15575: CMSC,"Artificial Intelligence"
15576: CMSC,"Assembly Language Programming"
15577: CMSC,"Automata&Computablty"
15578: CMSC,"Business Programming"
15579: CMSC,"Computer Architecture"
15580: CMSC,"Computer Graphics"
15581: CMSC,"Computer Science I"
15582: CMSC,"Computer Science II"
15583: CMSC,"Computer Science Lib Art Elec"
15584: CMSC,"Cryptography"
15585: CMSC,"Data Communications I"
15586: CMSC,"Data Communications II"
15587: CMSC,"Database Systems"
15588: CMSC,"Guided Study In CS"
15589: CMSC,"Independent Study"
15590: CMSC,"Independent Study in CS"
15591: CMSC,"Intro Computational Thinking"
15592: CMSC,"Intro Data Base Mngt"
15593: CMSC,"Network Computing"
15594: CMSC,"Object-Oriented Programming"
15595: CMSC,"Operating Systems"
15596: CMSC,"Princ Of Pgrm Langs"
15597: CMSC,"Software & Web Applications"
15598: CMSC,"Software Development"
15599: CMSC,"Software Engineering"
15600: CMSC,"Topic Computing/Info Syst Mgmt"
15601: CMSC,"Unix Operating System"
15602: CMSC,"Windows Programming"
15603: COMT,"Cinematography"
15604: COMT,"Communications Tech NLA Elec"
15605: COMT,"Digital Storytelling"
15606: COMT,"Final Project-Senior Seminar"
15607: COMT,"Foundations In Comms Tech"
15608: COMT,"Hacking and Building"
15609: COMT,"Internship"
15610: COMT,"Intro Motion Graphic"
15611: COMT,"Multimedia Sound Production"
15612: COMT,"Online Communities"
15613: COMT,"Portfolio Design"
15614: COMT,"Portrait Documentary"
15615: COMT,"Principles of the Moving Image"
15616: COMT,"Special Topics - Production"
15617: COMT,"Special Topics - Seminar"
15618: COMT,"Studio Television Production"
15619: COMT,"Telecommunications"
15620: COMT,"User Experience Design"
15621: COMT,"Web Design I"
15622: COMT,"Web Design II"
15623: COMT,"Web Development I"
15624: COMT,"Web Development II"
15625: COMT,"Webcasting"
15626: CREO,"Creole Writing and Composition"
15627: CREO,"Elementary Creole I"
15628: CREO,"Elementary Creole II"
15629: CREO,"Haitian Novel"
15630: CREO,"Haitian Poetry"
15631: CREO,"Haitian Theater"
15632: CREO,"Intermediate Creole I"
15633: CREO,"Intermediate Creole II"
15634: CREO,"Masterpiece Haitian Creole Lit"
15635: CREO,"Seminar on Creole"
15636: CREO,"Themes"
15637: CREO,"Translation I"
15638: CREO,"Translation II"
15639: CUDI,"Africa15640: CUDI,"C&S:Asia15641: CUDI,"Cul & Soc Far East & S.E. Asia"
15642: CUDI,"Intro Multicultural Studies"
15643: CUDI,"Understand Cult Diversity"
15644: CUDI,"Western Civilization"
15645: DESK,"Anat & Phys 1 Booster"
15646: DESK,"BIO Principles 1 Booster"
15647: DESK,"Basic Arithmetic Skills"
15648: DESK,"Basic Reading Skills Workshop"
15649: DESK,"Basic Writing Skills Workshop"
15650: DESK,"Calculus Booster Skill Workshp"
15651: DESK,"Coll Algeb & Trig Skls Wrkshp"
15652: DESK,"Coll Algebra Booster Workshop"
15653: DESK,"College Algebra Skills Workshp"
15654: DESK,"Computer Application"
15655: DESK,"Computer Literacy"
15656: DESK,"Elementary Algebra Skills"
15657: DESK,"Intro A&P Workshop"
15658: DESK,"Intro College Algebra Workshop"
15659: DESK,"Intro College Biology Workshop"
15660: DESK,"Intro College Chem Workshop"
15661: DESK,"Intro College English Workshop"
15662: DESK,"Intro College Math Workshop"
15663: DESK,"Intro College Physics Workshop"
15664: DESK,"Intro College Psych Workshop"
15665: DESK,"Intro College Writing Booster"
15666: DESK,"Intro Essentials Chem Wrkshp"
15667: DESK,"Intro Microcomp II"
15668: DESK,"Intro Pre-Calc Workshop"
15669: DESK,"Intro Principles Chem Wrkshp"
15670: DESK,"Intro Quant Methods Workshop"
15671: DESK,"Intro Stat & Prob Workshop"
15672: DESK,"Microcomp App In Ed"
15673: DESK,"Organic Chem Booster"
15674: DESK,"Organic Chem Workshop"
15675: DESK,"PreCalc Booster Workshop"
15676: DESK,"Quant Methods Booster Workshop"
15677: DESK,"Stat & Prob Booster Workshop"
15678: DESK,"Teaching with Technology"
15679: DESK,"Trigonometry Skills Workshop"
15680: ECON,"Advanced Economic Statistics"
15681: ECON,"Eco Trade Union & Coll Barg US"
15682: ECON,"Eco of Travel and Tourism"
15683: ECON,"Econometrics"
15684: ECON,"Economics NLA Elective"
15685: ECON,"Economics of Forestry"
15686: ECON,"Environ and Gov’t Regulations"
15687: ECON,"Global Environmental Issues"
15688: ECON,"History of Economic Thought"
15689: ECON,"Independent Research"
15690: ECON,"Industrial Organization"
15691: ECON,"Intermediate Macroeconomics"
15692: ECON,"Intermediate Microeconomics"
15693: ECON,"International Economics"
15694: ECON,"Intro to Economic Statistics"
15695: ECON,"Introduction to Macroeconomics"
15696: ECON,"Introduction to Microeconomics"
15697: ECON,"Labor Economics"
15698: ECON,"Money and Banking"
15699: ECON,"Natural Res Eco and Policy"
15700: ECON,"Public Finance"
15701: ECON,"Sustainable Development"
15702: ECON,"Underdevelopd Areas"
15703: ECON,"Urban Economics"
15704: EDCO,"Co-op Orientation"
15705: EDCO,"Work Exp&Seminar 3"
15706: EDCO,"Work Experience and Seminar I"
15707: EDCO,"Work Experience and Seminar II"
15708: EDCO,"Work Experience and Seminar IV"
15709: EDHE,"Adult Fitness Program"
15710: EDHE,"Alcohol & Substance Counseling"
15711: EDHE,"Alcohol Use Disorder"
15712: EDHE,"Basic Cardiac Life Support"
15713: EDHE,"Cardiovascular Fitness"
15714: EDHE,"Comp&Alternative Med"
15715: EDHE,"Family Health"
15716: EDHE,"Field Work in Health Education"
15717: EDHE,"First Aid and Safety Education"
15718: EDHE,"Found of Hlth & Wellness"
15719: EDHE,"HIV/AIDS: Public Health Imp"
15720: EDHE,"Health Behavior"
15721: EDHE,"Health Counseling"
15722: EDHE,"Health Issues for PE"
15723: EDHE,"Health Services"
15724: EDHE,"Health and the Consumer"
15725: EDHE,"Health and the Individual"
15726: EDHE,"Health15727: EDHE,"Indep Study"
15728: EDHE,"Laboratory in Health Behavior"
15729: EDHE,"Long Term Care Admi"
15730: EDHE,"Measurement/Eval in Health/PE"
15731: EDHE,"Nutrition and Health"
15732: EDHE,"Org & Admin of Health Ed"
15733: EDHE,"Practicum in Health Education"
15734: EDHE,"Program Planning"
15735: EDHE,"Research & Writing in HE & PE"
15736: EDHE,"Sex and Sexuality"
15737: EDHE,"Special Semi Health Edu"
15738: EDHE,"Special Seminar He"
15739: EDHE,"Special Seminar Health Educat"
15740: EDHE,"Stress and Health"
15741: EDHE,"Substance Use Disorder"
15742: EDHE,"Worksite Wellness"
15743: EDMA,"Adv Mthd-Hs Ma Inst"
15744: EDMA,"Field Act-Math Educ"
15745: EDPH,"African Dance"
15746: EDPH,"Badminton"
15747: EDPH,"Basketball"
15748: EDPH,"Canoeing"
15749: EDPH,"Cardiovascular Fitness"
15750: EDPH,"Competitive Tennis"
15751: EDPH,"Dance Composition"
15752: EDPH,"Educ Gym Children"
15753: EDPH,"Fencing"
15754: EDPH,"Field Work"
15755: EDPH,"Field Work in PE & Rec"
15756: EDPH,"Fieldwork Athletic Training"
15757: EDPH,"Fitness for Living"
15758: EDPH,"Fitness for Living - Lab"
15759: EDPH,"Fld Wrk Phys Edu & Recreation"
15760: EDPH,"Folk and Social Dance"
15761: EDPH,"Football"
15762: EDPH,"Games and Sports for Children"
15763: EDPH,"Golf"
15764: EDPH,"Gymnastics I"
15765: EDPH,"Gymnastics II"
15766: EDPH,"Handball"
15767: EDPH,"Hip Hop Dance"
15768: EDPH,"History of Dance"
15769: EDPH,"Ind Study in Physical Activity"
15770: EDPH,"Indep Study"
15771: EDPH,"Independent Study"
15772: EDPH,"Kinesiology"
15773: EDPH,"Lacrosse"
15774: EDPH,"Latin Dance"
15775: EDPH,"Leadership in Outdoor Living"
15776: EDPH,"Measuremnt & Eval"
15777: EDPH,"Modal & Manag Strat in Athl Tr"
15778: EDPH,"Modalities&Managemnt"
15779: EDPH,"Modern Dance I"
15780: EDPH,"Modern Dance II"
15781: EDPH,"Motor Devel&Learning"
15782: EDPH,"Org15783: EDPH,"Outdoor Living"
15784: EDPH,"Phys Act Spec Populs"
15785: EDPH,"Phys Educ15786: EDPH,"Physiology of Exercise"
15787: EDPH,"Prcpt Mtr Act Child"
15788: EDPH,"Principles&Foundations of P.E."
15789: EDPH,"Psych Sprt&Mtr Perf"
15790: EDPH,"Research & Writing in HE & PE"
15791: EDPH,"Rhythm For Children"
15792: EDPH,"Scientific Basis Athlete Train"
15793: EDPH,"Self-Defense Activities"
15794: EDPH,"Seminar"
15795: EDPH,"Seminar In Phys Educ"
15796: EDPH,"Seminar in Physical Education"
15797: EDPH,"Senior Life Saving"
15798: EDPH,"Skiing"
15799: EDPH,"Skin and Scuba Diving"
15800: EDPH,"Small Boat Sailing"
15801: EDPH,"Soccer"
15802: EDPH,"Softball"
15803: EDPH,"Special Topic Act"
15804: EDPH,"Sports Psychology and Coaching"
15805: EDPH,"Swimming"
15806: EDPH,"Swimming for Non-Swimmers"
15807: EDPH,"Teaching Sport Skill"
15808: EDPH,"Team Sports Officiating"
15809: EDPH,"Tennis"
15810: EDPH,"Theory & Tech-Coachng"
15811: EDPH,"Track and Field"
15812: EDPH,"Understanding Dance"
15813: EDPH,"Volleyball"
15814: EDPH,"Water Safety Instructor"
15815: EDPH,"Weight Training"
15816: EDPH,"Winter Mountaineering"
15817: EDPH,"Wrestling"
15818: EDPH,"Yoga"
15819: EDSC,"Adv Mthd-Hs Sc Inst"
15820: EDSC,"Field Activities in Sci Educ"
15821: EDSC,"Practicum Phys Sci"
15822: EDSC,"Surv Phys Sci for Elem Teach"
15823: EDUC,"Adaptive Tech for Students"
15824: EDUC,"Adolescent&Yd Develpmnt"
15825: EDUC,"Adv Meth-Hs Sci Ins"
15826: EDUC,"Adv Methods Hs Math"
15827: EDUC,"Adv Socio-Ling K-12"
15828: EDUC,"Bilingual & Ell Education"
15829: EDUC,"C&M Elem Sch Hlth Ed"
15830: EDUC,"C&M Elem Sch Math"
15831: EDUC,"C&M Elem Sci"
15832: EDUC,"C&M He/Pe K-6"
15833: EDUC,"C&M Sec Sch Chem"
15834: EDUC,"C&M Sec Sch Erth Sc"
15835: EDUC,"C&M Sec Sch Hlth Ed"
15836: EDUC,"C&M Sec Sch Math"
15837: EDUC,"C&M Sec Sch Spanish"
15838: EDUC,"C&M Secondary Science CL - II"
15839: EDUC,"Capstn Clinc Exp& Sem for Chld"
15840: EDUC,"Capstone Clin Exp:HE/PE 7-12"
15841: EDUC,"Capstone Clin Exp:HE/PE K-6"
15842: EDUC,"Capstone Clinc Exp & Sem Chld"
15843: EDUC,"Capstone Clinical: Sec Ed 6-9"
15844: EDUC,"Capstone Clinical:SecEd 10-12"
15845: EDUC,"Capstone Exp: Grades 10-12"
15846: EDUC,"Capstone Exp: Grades 7-9"
15847: EDUC,"Capstone Exp:Grades 5-6"
15848: EDUC,"Capstone Exp:Grades 7-9"
15849: EDUC,"Child & Adolesc Development"
15850: EDUC,"Computer Science Educ in K-12"
15851: EDUC,"Content Literacy 2-6 EO&ELL"
15852: EDUC,"Curr & Meth Subj Spec (K-12)"
15853: EDUC,"Curr & Mthds Elem Edu I: Lrng"
