19364: ACCT,"Accounting Information Systems"
19429: AFST,"Afro-Am Politics"
19430: AFST,"Afro-Amer Hist 1"
19431: AFST,"Afro-Amer Hist 2"
19432: AFST,"Afro-Amer Military History"
19433: AFST,"Afroamer His Tr Cred"
19434: AFST,"Afroamer Lit Tr Cred"
19435: AFST,"Afroamerican Historical Trend"
19436: AFST,"Art&Just African Con"
19437: AFST,"Arts & Culture Afr Diaspora"
19438: AFST,"Bk Diaspora Lit 2"
19439: AFST,"Bk Her In Carribn"
19440: AFST,"Bk Intell Thought"
19441: AFST,"Bk Lit 1790-Presn"
19442: AFST,"Black Nationalism"
19443: AFST,"Blacks in Latin America"
19444: AFST,"Blk Diaspora Lit"
19445: AFST,"Blks&War On Povty"
19446: AFST,"Carib Migratn-Us"
19447: AFST,"Carib Rac Eth&Gender"
19448: AFST,"Comm Based Justice"
19449: AFST,"Community & Justice"
19450: AFST,"Community-Based Approaches"
19451: AFST,"Comp Afr Pol Syms"
19452: AFST,"Comp Afr Politics"
19453: AFST,"CompPerspect:Crime inCaribbean"
19454: AFST,"Contempry Africa"
19455: AFST,"Crime And Ethnicity"
19456: AFST,"Crime Dev Countries"
19457: AFST,"Crime In Caribbean"
19458: AFST,"Crm In Dev Countries"
19459: AFST,"Dev/Undev In Carb"
19460: AFST,"Drug & Crim In Afric"
19461: AFST,"Drugs and Crime in Africa"
19462: AFST,"Early Afr Civ&Cul"
19463: AFST,"Early Africn Culr"
19464: AFST,"Eco Of Discrmnatn"
19465: AFST,"Environmental Racism"
19466: AFST,"Fac Mentored Research Experien"
19467: AFST,"Famly In Urbn Set"
19468: AFST,"Field Ed Com Organizing I"
19469: AFST,"Field Ed Com Organizing II"
19470: AFST,"Global Identities"
19471: AFST,"Hip Hop Culture"
19472: AFST,"Hip-Hop Justice"
19473: AFST,"His Carib Islands"
19474: AFST,"Hist of Caribb Migration to US"
19475: AFST,"History of Caribbean Islands"
19476: AFST,"Independent Study"
19477: AFST,"Independent Study 200-level"
19478: AFST,"Independent Study 300-level"
19479: AFST,"Independent Study 400-level"
19480: AFST,"Inequality & Wealth"
19481: AFST,"Inequality and Wealth"
19482: AFST,"Institutional Racism"
19483: AFST,"Institutnl Racism"
19484: AFST,"Intro Afrcna Studies"
19485: AFST,"Intro African His"
19486: AFST,"Intro Africana Stud"
19487: AFST,"Intro To African His"
19488: AFST,"Intro to Community Justice"
19489: AFST,"Islam And Politics"
19490: AFST,"Jus/Indiv/Struggle"
19491: AFST,"Justice in the Africana World"
19492: AFST,"Law & Just Africa"
19493: AFST,"Law and Justice in Africa"
19494: AFST,"Lit Afr World"
19495: AFST,"Mcnair Seminar"
19496: AFST,"Men Inter Perspectiv"
19497: AFST,"Men: Masculinities"
19498: AFST,"Migra Us-Ext/Int"
19499: AFST,"Mil Hist & Soc Just"
19500: AFST,"Modern Caribbean Pol"
19501: AFST,"Origins of Contemporary Africa"
19502: AFST,"Origns Contp Afrc"
19503: AFST,"Peace & Justice"
19504: AFST,"Pol&Law In Africa"
19505: AFST,"Police & Ghetto"
19506: AFST,"Police and Law in Africa"
19507: AFST,"Police and Urban Communities"
19508: AFST,"Police&Ghetto"
19509: AFST,"Police&Law In Afr"
19510: AFST,"Polit Eco Racism"
19511: AFST,"Political Economy of Racism"
19512: AFST,"Pro Black Ghetto"
19513: AFST,"Psy Afr Amer Expr"
19514: AFST,"Psy Afr Amer Family"
19515: AFST,"Psy Black Expernc"
19516: AFST,"Psy Of Af Am Family"
19517: AFST,"Psy Of Black Success"
19518: AFST,"Psy Oppression"
19519: AFST,"Psychology of Oppression"
19520: AFST,"Rac Conf:S Africa"
19521: AFST,"Race & Black Athlete"
19522: AFST,"Race & Police Brutal"
19523: AFST,"Race Gender and Wealth"
19524: AFST,"Race and Ethnicity in America"
19525: AFST,"Race and Science"
19526: AFST,"Race and the Urban Community"
19527: AFST,"Race&Urban Situat"
19528: AFST,"Reagnomcs & U/C"
19529: AFST,"Religion/Terrorism/Violence"
19530: AFST,"Reparation Afram Exp"
19531: AFST,"Revolutionary Though"
19532: AFST,"Rsch Mthds: Human Svcs&ComJust"
19533: AFST,"Selected Topics Africana Stud"
19534: AFST,"Soc&Pub Pb-Bk Com"
19535: AFST,"Social Entrepreneurship"
19536: AFST,"Social Strat&Hier"
19537: AFST,"Socl Ordr Minort"
19538: AFST,"Spoken Word Poetry"
19539: AFST,"The Police and the Ghetto"
19540: AMSL,"Intro Amer Sign Lang I"
19541: AMSL,"Intro Amer Sign Lang II"
19542: AMST,"Thematic-Am Study"
19543: AMST,"Thematic-Amr-Std"
19544: ANTH,"Alcohol & Drug Use"
19545: ANTH,"Am Pluralsm & Law"
19546: ANTH,"Anthropgy & Film"
19547: ANTH,"Anthropology and the Abnormal"
19548: ANTH,"Anthropology of Alcohol Use"
19549: ANTH,"Anthropology of Development"
19550: ANTH,"Anthropology of Global Health"
19551: ANTH,"Anthropology of Work"
19552: ANTH,"Applied Anthropology"
19553: ANTH,"ClassRaceEthnGenAnth"
19554: ANTH,"Cult19555: ANTH,"Culture Contact"
19556: ANTH,"Culture and Crime"
19557: ANTH,"Culture and Personality"
19558: ANTH,"Death Dying&Socty"
19559: ANTH,"Drug Use & Abuse"
19560: ANTH,"Environmental Anthropology"
19561: ANTH,"Ethnograh Res Meth Anthropol"
19562: ANTH,"Ethnographic Writing"
19563: ANTH,"Ethnography & Urban Experience"
19564: ANTH,"Forensic Linguistics"
19565: ANTH,"Independent Study"
19566: ANTH,"Independent Study 200-level"
19567: ANTH,"Independent Study 300-level"
19568: ANTH,"Independent Study 400-level"
19569: ANTH,"Interdisc Ant"
19570: ANTH,"Interdisc Internship"
19571: ANTH,"Intro to Cultural Anthropology"
19572: ANTH,"Introduction to Language"
19573: ANTH,"Language And Law"
19574: ANTH,"Language and Culture"
19575: ANTH,"Law Justice and Injustice"
19576: ANTH,"Maj Wk Dev&Soc Con"
19577: ANTH,"Medical Anthropology"
19578: ANTH,"Police Race & Culture"
19579: ANTH,"Pre-Freshman Anthropology"
19580: ANTH,"R. A. Fieldwork"
19581: ANTH,"Rapid Assessment"
19582: ANTH,"Senior Seminar in Anthropology"
19583: ANTH,"Sex and Culture"
19584: ANTH,"Spirtsm19585: ANTH,"Structural Violence"
19586: ANTH,"Thematic Anthropolgy"
19587: ANTH,"Thematic-Anthropology"
19588: ANTH,"Thematics Internship"
19589: ANTH,"Theory in Anthropology"
19590: ANTH,"Topics In Anthropology"
19591: ANTH,"Urban Anthropology"
19592: ANTH,"Youth & Justice Nyc"
19593: ARAB,"Arabic 101"
19594: ARAB,"Arabic 2"
19595: ARAB,"Arabic For Law Enforcement"
19596: ARAB,"Arabic III"
19597: ARAB,"Elementary Arabic 2"
19598: ARAB,"Independent Study 200-level"
19599: ARAB,"Independent Study 300-level"
19600: ARAB,"Independent Study 400-level"
19601: ARAB,"Intermed Arabic I"
19602: ARAB,"Intermediate Arabic I"
19603: ARAB,"Intro To Arabic 101"
19604: ARAB,"Modern Std Arabic I Review"
19605: ARAB,"Modern Std Arabic II Review"
19606: ART,"20th Century Art Latin America"
19607: ART,"African American Art"
19608: ART,"African-American Women in Art"
19609: ART,"American Art"
19610: ART,"Art & Culture Of Ghana"
19611: ART,"Art & Myth in Ancient World"
19612: ART,"Art And Law"
19613: ART,"Art in New York"
19614: ART,"Art of the Italian Renaissance"
19615: ART,"Art&Just African Con"
19616: ART,"Body Politics"
19617: ART,"Ceramics I"
19618: ART,"Design and Composition"
19619: ART,"Digital Photography I"
19620: ART,"Digital Photography II"
19621: ART,"Eco Art and Design"
19622: ART,"Fac Mentored Reseach Experien"
19623: ART,"Forensic Drawing"
19624: ART,"Graphic Design"
19625: ART,"Greek Art & Culture"
19626: ART,"Haitian Art"
19627: ART,"History of Photography"
19628: ART,"Independent Study 200-level"
19629: ART,"Independent Study 300-level"
19630: ART,"Independent Study 400-level"
19631: ART,"Interdisc Art"
19632: ART,"Interm Photography"
19633: ART,"Intermediate Drawing"
19634: ART,"Intrmediate Ceramics"
19635: ART,"Intro To Painting"
19636: ART,"Intro to Drawing: Lang of Line"
19637: ART,"Introduction to Art"
19638: ART,"Introduction to Painting"
19639: ART,"Introduction to Sculpture"
19640: ART,"Introduction to World Art I"
19641: ART,"Introduction to World Art II"
19642: ART,"Issues in Art and Crime"
19643: ART,"Korean Art & Culture"
19644: ART,"Latin American Art"
19645: ART,"Life Drawing"
19646: ART,"Modern Art"
19647: ART,"Museum Studies"
19648: ART,"Museum and Curatorial Studies"
19649: ART,"Non-Western Art"
19650: ART,"Non-Western Visual Culture"
19651: ART,"Portrait Sculpture for Beginn"
19652: ART,"Selected Topics in Art"
19653: ART,"Social Activism in Visual Arts"
19654: ART,"Special Topics in Art"
19655: ART,"Thematic-Art"
19656: BIOL,"Anatomy & Physio Lab"
19657: BIOL,"Bio/Gender Sexuality"
19658: BIOL,"Biology Tr Cred"
19659: BIOL,"Cell & Molecular Bio Capstone"
19660: BIOL,"Cell Biology"
19661: BIOL,"Fac Mentored Research Experien"
19662: BIOL,"Forensic Biology"
19663: BIOL,"Forensic DNA Analysis & Interp"
19664: BIOL,"Forensic Pathology"
19665: BIOL,"Genetics"
19666: BIOL,"Human Anat/Phys Lab"
19667: BIOL,"Human Pathology"
19668: BIOL,"Human Physiology"
19669: BIOL,"Independent Study 200-level"
19670: BIOL,"Independent Study 300-level"
19671: BIOL,"Independent Study 400-level"
19672: BIOL,"Microbiology"
19673: BIOL,"Microbiology Laboratory"
19674: BIOL,"Modern Biology I"
19675: BIOL,"Modern Biology I-B"
19676: BIOL,"Modern Biology II"
19677: BIOL,"Molecular Biology"
19678: BIOL,"Paced Modern Biology I-A"
19679: BIOL,"Selected Topics in Biology"
19680: BIOL,"Selected Topics: Biology w/Lab"
19681: CHEM,"Biochemistry"
19682: CHEM,"Chem Of Ordinary Things"
19683: CHEM,"Fac Mentored Research Experien"
19684: CHEM,"Food and Nutrition"
19685: CHEM,"General Chemistry"
19686: CHEM,"General Chemistry I"
19687: CHEM,"General Chemistry I-A"
19688: CHEM,"General Chemistry II"
19689: CHEM,"Genrl Chemistry 1-A"
19690: CHEM,"Genrl Chemistry I-B"
19691: CHEM,"Independent Study"
19692: CHEM,"Independent Study 200-level"
19693: CHEM,"Independent Study 300-level"
19694: CHEM,"Independent Study 400-level"
19695: CHEM,"Inorganic Chemistry"
19696: CHEM,"Instrumental Analysis"
19697: CHEM,"Organic Chemistry I"
19698: CHEM,"Organic Chemistry II"
19699: CHEM,"Physical Chemistry I"
19700: CHEM,"Physical Chemistry II"
19701: CHEM,"Prep for General Chem"
19702: CHEM,"Quant Analys/No Lab"
19703: CHEM,"Quantitative Analysis"
19704: CHIN,"Elementary Chinese I"
19705: CHIN,"Elementary Chinese I Review"
19706: CHIN,"Elementary Chinese II"
19707: CHIN,"Elementary Chinese II Review"
19708: CHIN,"Independent Study 200-level"
19709: CHIN,"Independent Study 300-level"
19710: CHIN,"Independent Study 400-level"
19711: CHIN,"Intermed Chinese I"
19712: CHIN,"Intermediate Chinese"
19713: CHIN,"Intermediate Chinese I"
19714: CJST,"Intro to Crim Just Mgmt"
19715: CJST,"Justice Plan & Prog Eval"
19716: CJST,"Org Behavior CJ Agencies"
19717: CJST,"Professional Ethics"
19718: CJST,"Research Methods CJ Mgmt"
19719: CMFO,"Applied Cryptography"
19720: CMFO,"Architecture/Vulnerab Oper Sys"
19721: CMFO,"Capstone Seminar and Fieldwork"
19722: CMFO,"Cyber Forensic Software & Tool"
19723: CMFO,"Cyber Investigations"
19724: CMFO,"Cyber Risk Assessment and Mgmt"
19725: CMFO,"Cyber Threat Intelligence"
19726: CMFO,"Cybercriminology"
19727: CMFO,"Data Com Foren & Sec"
19728: CMFO,"Data Privacy"
19729: CMFO,"Dig Fornscs & Sec II"
19730: CMFO,"Digital Forensic App"
19731: CMFO,"Fac-Mentored Research in FCM"
19732: CMFO,"Fndtn For Dig Frn I"
19733: CMFO,"Fndtn For Dig Frn II"
19734: CMFO,"Foren Mgt Dgtal Evid"
19735: CMFO,"Independent Study"
19736: CMFO,"Law & High Tech Crim"
19737: CMFO,"Malware Analysis & Reverse Eng"
19738: CMFO,"Math Stat Fos Anlsys"
19739: CMFO,"Mgmt of Digital Forensic Lab"
19740: CMFO,"Network Forensics"
19741: CMFO,"Network Security"
19742: CMFO,"Research Practicum"
19743: CMFO,"Seminar Selected Topics"
19744: CMFO,"The. Found. Comp Sec"
19745: CMLI,"Computer Literacy"
19746: COAD,"Adm Comm Cor Prog"
19747: COAD,"Adm Juvl Cor Prog"
19748: COAD,"Admin Juvenile Correction Prog"
19749: COAD,"Comparative Correction Systems"
19750: COAD,"Contemp Corrections"
19751: COAD,"Corr Facility Evaltn"
19752: COAD,"Correctional Psy"
19753: COAD,"Correctionl Ed: Pol Prog & Iss"
19754: COAD,"Corrections & Media"
19755: COAD,"Corrections and Media"
19756: COAD,"Evalng Mthd&Prgms"
19757: COAD,"Fac Mentored Research Experien"
19758: COAD,"Field Work in Corrections"
19759: COAD,"Fieldwork in Corrections II"
19760: COAD,"Fieldwork/Internship"
19761: COAD,"Independent Study"
19762: COAD,"Independent Study 200-level"
19763: COAD,"Independent Study 300-level"
19764: COAD,"Independent Study 400-level"
19765: COAD,"Introduction to Corrections"
19766: COAD,"Law & Institutional Treatment"
19767: COAD,"Major Works In Corrections"
19768: COAD,"Major Works in Corrections"
19769: COAD,"Prin Cor Opertons"
19770: COAD,"Principles Correctional Operat"
19771: COAD,"Pris Rentry&Reingtn"
19772: COAD,"Prisoner’s Rights"
19773: COAD,"Race Cls & Gend Cor"
19774: COAD,"Radical Penology"
19775: COAD,"Rehabilitation of the Offender"
19776: COAD,"Selected Topics in Corrections"
19777: COAD,"Seminar in Punishment Society"
19778: COAD,"Senior Seminar Corr"
19779: COAD,"Sex Offen In The Cjs"
19780: COAD,"Sex Offenders In Crj"
19781: COAD,"Treatmt Rehab Offnd"
19782: COAD,"Violence In Prison"
19783: COAD,"Violence In Prisons"
19784: COHS,"Adv Intrprsnl Counsling Skills"
19785: COHS,"Cult Direct Svc & Comm Pr"
19786: COHS,"Field Educ in Human Serv I"
19787: COHS,"Field Educ in Human Serv II"
19788: COHS,"Foundations Hs Cnslg"
19789: COHS,"Multicult Issues Hs"
19790: COHS,"Program Planning & Develop"
19791: COHS,"Sen Sem Hmn Srvs & Comm Just"
19792: COHS,"Theor Assessmt & Interv HumSrv"
19793: COLI,"Interdisc Lit"
19794: COMM,"Academic Skills"
19795: COMM,"Argumentation and Debate"
19796: COMM,"Communic Skills 3"
19797: COMM,"Communication Skills 101"
19798: COMM,"Communication Skills 102"
19799: COMM,"Communication Skills Transfer"
19800: COMM,"Comp Competence & Info Lit"
19801: COMM,"Computer & Info Lit."
19802: COMM,"Courtroom Communication"
19803: COMM,"Fac Mentored Research Experien"
19804: COMM,"Group&Confrnc Teq"
19805: COMM,"Hate Speech"
19806: COMM,"Independent Study"
19807: COMM,"Independent Study 200-level"
19808: COMM,"Independent Study 300-level"
19809: COMM,"Independent Study 400-level"
19810: COMM,"Just&Com Civic Life"
19811: COMM,"Justice and the Outsider"
19812: COMM,"Managerial Communication"
19813: COMM,"Mass Media on Admin Justice"
19814: COMM,"Media Literacy"
19815: COMM,"Non-Native Readrs"
19816: COMM,"Oral Communication"
19817: COMM,"Persuasion"
19818: COMM,"Propaganda And Media"
19819: COMM,"Self19820: COMM,"Soc Encount: Interperson Comm"
19821: COMM,"Strategy For Success"
19822: COMM,"Techniques of College Learning"
19823: COMP,"Adv Topics in Computer Sci"
19824: COMP,"Advanced Data Structures"
19825: COMP,"Artificial Intelligence"
19826: COMP,"Capstone CyberSecurity II"
19827: COMP,"Capstone Exp in CyberSec I"
19828: COMP,"Comp: Stra Dec-Mak"
19829: COMP,"Computer Algorithms"
19830: COMP,"Computer Architecture"
19831: COMP,"Computer Literacy"
19832: COMP,"Computer Networking"
19833: COMP,"Computer Security & Forensics"
19834: COMP,"Cryptography & Cryptanalysis"
19835: COMP,"Data Processing"
19836: COMP,"Database Systems In Crj"
19837: COMP,"Databases and Data Mining"
19838: COMP,"Fac Mentored Research Experien"
19839: COMP,"Graph Intrface Prog"
19840: COMP,"Independent Study 200-level"
19841: COMP,"Independent Study 300-level"
19842: COMP,"Independent Study 400-level"
19843: COMP,"Int Telecommunic"
19844: COMP,"Internship In Mgmt Info Sys"
19845: COMP,"Intro Comput & Prog"
19846: COMP,"Linux System Admin & Security"
19847: COMP,"Machine Learning"
19848: COMP,"Nature of Computers"
19849: COMP,"Network Security and Forensics"
19850: COMP,"Object-Oriented Programming"
19851: COMP,"Operating Systems"
19852: COMP,"Programming Languages"
19853: COMP,"Quantum Computing"
19854: COMP,"Sec Computer Data"
19855: COMP,"Software Off Mgmt"
19856: COMP,"Suppl. Workshop: Computing"
19857: COMP,"Suppl. Workshop: Cryptography"
19858: COMP,"Suppl. Workshop: Networking"
19859: COMP,"System Analysis and Design"
19860: COMP,"Topics in Computer Science"
19861: COOP,"Coop Ed Program"
19862: COOP,"Cooperative Education Program"
19863: COUN,"Academic Development"
19864: COUN,"Academic Self Development"
19865: COUN,"Adv Chem Dep Counsel"
19866: COUN,"Assess Clin Chem Dep"
19867: COUN,"Career Developmnt"
19868: COUN,"Case Management in Human Serv"
19869: COUN,"Counseling Families"
19870: COUN,"Counseling Psych"
19871: COUN,"Csl And Spirituality"
19872: COUN,"Csl For Transfer Stu"
19873: COUN,"Distinguished Fresh."
19874: COUN,"Distinguishing Fresh Course"
19875: COUN,"Effective Parenting"
19876: COUN,"Fac Mentored Research Experien"
19877: COUN,"Families & Support Systems"
19878: COUN,"Field Ed in College Outreach"
19879: COUN,"Fieldwork Human Services"
19880: COUN,"Foundations in H.S. Counseling"
19881: COUN,"Freshman Seminar"
19882: COUN,"Gender & Work Life"
19883: COUN,"Independent Study"
19884: COUN,"Independent Study 200-level"
19885: COUN,"Independent Study 300-level"
19886: COUN,"Independent Study 400-level"
19887: COUN,"Intimate Relationships"
19888: COUN,"Leadership Skills"
19889: COUN,"Peer Counslng Prac"
19890: COUN,"Pers Dev-Col Exp"
19891: COUN,"Strategy For Success"
19892: COUN,"Thematics Counseling"
19893: COUN,"Topics In Cnsling & Hum Srvc"
19894: COUN,"Vocational Counslng"
19895: COUN,"Vocatnl Dev Hum Serv"
19896: CRIM,"Advanced Criminology"
19897: CRIM,"Advanced Penology"
19898: CRIM,"Agency Analysis"
19899: CRIM,"Alcohol & Drug Use"
19900: CRIM,"American Cj System"
19901: CRIM,"An Economic Analysis of Crime"
19902: CRIM,"Capital Punishment"
19903: CRIM,"Capstone Seminar"
19904: CRIM,"Change & Innovatn Cj"
19905: CRIM,"Cj Eur 1750-Presn"
19906: CRIM,"Cj Theor In Practice"
19907: CRIM,"Cmp Prg Mgmt&Anly"
19908: CRIM,"Colloq Mj Wks Crj"
19909: CRIM,"Commty & Gender Viol"
19910: CRIM,"Comparative Police Admin"
19911: CRIM,"Comprehensive Review"
19912: CRIM,"Computer App in Pub Pol"
19913: CRIM,"Computer Apps In Cj"
19914: CRIM,"Computer Security"
19915: CRIM,"Constut & Crimnl Jstc"
19916: CRIM,"Corporal Punishment"
19917: CRIM,"Corporate Crime"
19918: CRIM,"Corruption & Reform"
19919: CRIM,"Counseling Rehab Offenders"
19920: CRIM,"Counter Terrorism Law Enfrcmnt"
19921: CRIM,"Counter Terrorism Policy"
19922: CRIM,"Crim Just Intern Exp"
19923: CRIM,"Crim Justice Tr Cred"
19924: CRIM,"Crime Analysis & Prevention"
19925: CRIM,"Crime And Media"
19926: CRIM,"Crime Mapping"
19927: CRIM,"Crime Prevention"
19928: CRIM,"Crime Prevention and Control"
19929: CRIM,"Crime Scene Investigation"
19930: CRIM,"Crime&Justice In Nyc"
19931: CRIM,"Crimes Due Obedience"
19932: CRIM,"Criminal Law"
19933: CRIM,"Criminal Responsibility"
19934: CRIM,"Criminal Thesis Prospectus"
19935: CRIM,"Crit Iss Disp Res"
19936: CRIM,"Cross Nat Compar Crm"
19937: CRIM,"Cutting Edge Criminology"
19938: CRIM,"Cyber-Criminology"
19939: CRIM,"Cybercriminology"
19940: CRIM,"Death Penalty: Law and Policy"
19941: CRIM,"Defender’s Lab"
19942: CRIM,"Deviant Behavior"
19943: CRIM,"Dimensions of Justice"
19944: CRIM,"Domestic Violence"
19945: CRIM,"Drugs19946: CRIM,"Environmental Crimin"
19947: CRIM,"Espionage In America"
19948: CRIM,"Ethical Issues in Crim Justice"
19949: CRIM,"Ethnography-Criminology"
19950: CRIM,"Eval & Monitor of Sub Abuse"
19951: CRIM,"Evidence Generation"
19952: CRIM,"Fac Mentored Research Experien"
19953: CRIM,"Fac-Mentored Research in CRJ"
19954: CRIM,"Fbi Internship"
19955: CRIM,"Fem Off West Soc"
19956: CRIM,"Feminist Criminology"
19957: CRIM,"Field Work In Cj"
19958: CRIM,"Field Work in Criminal Justice"
19959: CRIM,"Gangs in American Society"
19960: CRIM,"Gender & Imprisonmnt"
19961: CRIM,"Gender And Violence"
19962: CRIM,"Hate Incidents and Crimes"
19963: CRIM,"Hist Pers Viol Crime"
19964: CRIM,"Hist of Police Admin"
19965: CRIM,"History Crim Justice"
19966: CRIM,"History Of Genocide"
19967: CRIM,"Hlth Iss Correction"
19968: CRIM,"Hm Sec & Intl Relati"
19969: CRIM,"Homeland Sec & Intl Relations"
19970: CRIM,"Homeland Sec & Terro"
19971: CRIM,"Homeland Security"
19972: CRIM,"Hostage Negotiation"
19973: CRIM,"Immigration Law"
19974: CRIM,"Immigration&Crime"
19975: CRIM,"Independent Study"
19976: CRIM,"Independent Study 200-level"
19977: CRIM,"Independent Study 300-level"
19978: CRIM,"Independent Study 400-level"
19979: CRIM,"Intensive Seminar in Terrorism"
19980: CRIM,"Interdisc Crj"
19981: CRIM,"Internship Crim Just"
19982: CRIM,"Internship Crim Just Law Polic"
19983: CRIM,"Intro Crim Just"
19984: CRIM,"Investigating Cybercrime"
19985: CRIM,"Investigation of Violent Crime"
19986: CRIM,"Investigative Techniques"
19987: CRIM,"Issues In Crj I"
19988: CRIM,"Issues In Crj II"
19989: CRIM,"Jud Oversght Law Enf"
19990: CRIM,"Jud Ovrsght Law Enf"
19991: CRIM,"Judic&Corr Ethics"
19992: CRIM,"Judicial Ovrsight Le"
19993: CRIM,"Just Adm & Plan"
19994: CRIM,"Justice Planning & Policies"
19995: CRIM,"Justice and Reform"
19996: CRIM,"Law & High Tech Crim"
19997: CRIM,"Law & Society"
19998: CRIM,"Law19999: CRIM,"Legal Aspects of UC Activity"
20000: CRIM,"Lit of Crime & Justice"
20001: CRIM,"Major Cj Problems I"
20002: CRIM,"Major Cj Problems II"
20003: CRIM,"Mental Health Sysm"
20004: CRIM,"Mentoring Intern 1"
20005: CRIM,"Mentoring Intrn 2"
20006: CRIM,"NYPD Leadership Skills I"
20007: CRIM,"NYPD Leadership Skills II"
20008: CRIM,"NYPD Leadership Skills III"
20009: CRIM,"NYPD Leadership Skills IV"
20010: CRIM,"Organized Crime"
20011: CRIM,"Passed Comp Exam"
20012: CRIM,"Police Ethics"
20013: CRIM,"Police Leadership"
20014: CRIM,"Police&Community"
20015: CRIM,"Police&Culture of Lawlessness"
20016: CRIM,"Policy Analysis Crj"
20017: CRIM,"Pre-Fresh Intro Cj"
20018: CRIM,"Prob In Pol Admin"
20019: CRIM,"Prob Of Crim Just"
20020: CRIM,"Prob-Oriented Policing"
20021: CRIM,"Probation and Parole"
20022: CRIM,"Problm Solving Court"
20023: CRIM,"Probs in Contemporary Correct"
20024: CRIM,"Prosecuting Crime"
20025: CRIM,"Prosecuting Crimes"
20026: CRIM,"Psych & Law"
20027: CRIM,"Public Health Challenges in Cr"
20028: CRIM,"Punishment and Responsibility"
20029: CRIM,"Quantitative Inquiry"
20030: CRIM,"Quantitative Inquiry II"
20031: CRIM,"Race & Crime"
20032: CRIM,"Race & Crime In Amer"
20033: CRIM,"Race Crime & Justice"
20034: CRIM,"Race20035: CRIM,"Readings in Research"
20036: CRIM,"Res Meth In Cj"
20037: CRIM,"Research Design and Methods"
20038: CRIM,"Rights of the Accused"
20039: CRIM,"Rsrch Methds/Sta Crj"
20040: CRIM,"Sem Civil Rgts Lib"
20041: CRIM,"Semin Punish Society"
20042: CRIM,"Seminar In Terrorism Studies"
20043: CRIM,"Seminar Selc Topics"
20044: CRIM,"Seminar in Terrorism Studies"
20045: CRIM,"Senior Thesis I"
20046: CRIM,"Senior Thesis II"
20047: CRIM,"Sentencing"
20048: CRIM,"September 11th"
20049: CRIM,"Sex Crimes"
20050: CRIM,"Soc Mov-Revol & Ter"
20051: CRIM,"Soc Violence & Moral"
20052: CRIM,"Sociology of Crime"
20053: CRIM,"Sociology of Delinquency"
20054: CRIM,"Space20055: CRIM,"Special Topics In CRJ"
20056: CRIM,"Special Topics In Cj"
20057: CRIM,"Stat Software in Crim Justice"
20058: CRIM,"Terror & Apocalyptic Violence"
20059: CRIM,"Terrorism & Security"
20060: CRIM,"Terrorism and Cultures"
20061: CRIM,"Terrorism and Politics"
20062: CRIM,"The American Jury"
20063: CRIM,"The History of Crime"
