22171: ACIM,"Remedial Math"
22373: BUSI,"Marketing Research"
22374: BUSI,"Medical Coding and Billing I"
22375: BUSI,"Medical Coding and Billing II"
22376: BUSI,"Medical Office Procedures"
22377: BUSI,"Personnel Management"
22378: BUSI,"Prep For Mous Cert"
22379: BUSI,"Principles of Accounting I"
22380: BUSI,"Principles of Accounting II"
22381: BUSI,"Principles of Auditing"
22382: BUSI,"Principles of Finance"
22383: BUSI,"Principles of Statistics"
22384: BUSI,"Principles of Transportation"
22385: BUSI,"Prof Bus Career Dev & Virt Off"
22386: BUSI,"Projects in Data Processing"
22387: BUSI,"Real Estate (Salesperson)"
22388: BUSI,"Real Estate I"
22389: BUSI,"Real Estate II"
22390: BUSI,"School Records and Accounts"
22391: BUSI,"Shorthand I (Gregg)"
22392: BUSI,"Shorthand II"
22393: BUSI,"Shorthand for Professional Off"
22394: BUSI,"Syst Anal & Design"
22395: BUSI,"Transcription & Dictation"
22396: BUSI,"Transpt Law&Regul"
22397: BUSI,"Typewriting/Keyboarding"
22398: BUSI,"Typewriting/Keyboarding II"
22399: BUSI,"Web Page Development With Java"
22400: BUSI,"Word Processing"
22401: BUSI,"Wrd/Info Prc Wdprf"
22402: BUTE,"Digital Marketing Summer Works"
22403: CFMA,"College Focus Mathematics"
22404: CFRW,"College Focus ELA"
22405: CHEM,"Chem & Arts Lab"
22406: CHEM,"Chem Of Envrn Lb"
22407: CHEM,"Chemistry & Environment Lab"
22408: CHEM,"Chemistry & Health"
22409: CHEM,"Chemistry and the Arts"
22410: CHEM,"Chemistry and the Arts-Lecture"
22411: CHEM,"Chemistry and the Environment"
22412: CHEM,"Coop Ed Ch Inst An 3"
22413: CHEM,"Coop Ed Chem Instr"
22414: CHEM,"Coop Ed Chem Instrum Analysis"
22415: CHEM,"Fundamentals of Chemistry"
22416: CHEM,"Fundamentals of Chemistry Lab"
22417: CHEM,"Gen Chem 1 Lab"
22418: CHEM,"Gen Chem 2 Lab"
22419: CHEM,"General Chemistry I"
22420: CHEM,"General Chemistry II"
22421: CHEM,"Independent Study & Research I"
22422: CHEM,"Independent Study & Resrch II"
22423: CHEM,"Intro Col Chem Lab"
22424: CHEM,"Intro Orgn Chem Lb"
22425: CHEM,"Intro to Nanoscience Lab"
22426: CHEM,"Intro to Nanoscience Lecture"
22427: CHEM,"Introduction to Nanoscience"
22428: CHEM,"Introductory General Chemistry"
22429: CHEM,"Introductory Organic Chemistry"
22430: CHEM,"Living in A Chemical World"
22431: CHEM,"Living in a Chemical World Lab"
22432: CHEM,"Organic Chem 1 Lab"
22433: CHEM,"Organic Chem 2 Lab"
22434: CHEM,"Organic Chemistry I"
22435: CHEM,"Organic Chemistry II"
22436: CHIN,"Business Chinese I"
22437: CHIN,"Chinese Literature"
22438: CHIN,"Chinese Short Stories"
22439: CHIN,"Elementary Chinese I"
22440: CHIN,"Elementary Chinese II"
22441: CHIN,"Elementary Mandarin  II"
22442: CHIN,"Elementary Mandarin I"
22443: CHIN,"Intermediate Chinese I"
22444: CHIN,"Intermediate Chinese II"
22445: CHIN,"Intro to Chinese Linguistics"
22446: CMIS,"Analysis and Design of Systems"
22447: CMIS,"App Development  Mobile device"
22448: CMIS,"Comp Prog Fund for Business"
22449: CMIS,"Computer Programming Busin II"
22450: CMIS,"Computer Programming for Bus I"
22451: CMIS,"Data Security for Business"
22452: CMIS,"Database Management Systems"
22453: CMIS,"Intro Computers & Applications"
22454: CMIS,"Intro to Info Sys & Tech"
22455: CMIS,"Local Area Network Management"
22456: CMIS,"Microcomputer Operating System"
22457: CMIS,"Object Oriented Programming"
22458: CMIS,"Spreadsheet Business Applicati"
22459: CMIS,"Web Design"
22460: CMSC,"Algorithmic Prob Solv II C++"
22461: CMSC,"Algorithmic Probl Solv II JAVA"
22462: CMSC,"Algorithmic Problem Solving I"
22463: CMSC,"Algorithmic Problem Solving II"
22464: CMSC,"Cmput & Pgrmng Lab"
22465: CMSC,"Comp Org & Assem Lang"
22466: CMSC,"Discrete Structures"
22467: CMSC,"Intro Cmptr Lab"
22468: CMSC,"Intro Comput Lab"
22469: CMSC,"Intro Computers & Programming"
22470: CMSC,"Relational Databases with SQL"
22471: CMSC,"Spreadsheet Program w MS Excel"
22472: CNOW,"Acting Practicum"
22473: CNOW,"American Hist Regents Prep"
22474: CNOW,"CN Math Workshop"
22475: CNOW,"CN Workshop in the Arts"
22476: CNOW,"Career Exploration"
22477: CNOW,"Col Prep Math Sat Pr"
22478: CNOW,"College Focus-Writing Boot Cam"
22479: CNOW,"College Focus:  MA-10 Boot Cam"
22480: CNOW,"College-Prep Reading & Writing"
22481: CNOW,"English Regents Prep"
22482: CNOW,"English Regents Prep ELL / ELA"
22483: CNOW,"Enhanced College-Prep Lang Art"
22484: CNOW,"Global History Regents Prep"
22485: CNOW,"Math A Regents Prep"
22486: CNOW,"Reading And Writing Community"
22487: CNOW,"Record Mix Studio"
22488: CNOW,"Singing Workshop"
22489: CNOW,"Song Writing and Rehearsals"
22490: CNOW,"Stagecraft Practicum"
22491: CNOW,"Successful College"
22492: CNOW,"Sum Writing Workshop"
22493: CNOW,"Summer Film Workshop"
22494: CNOW,"Teen Better Health"
22495: CNOW,"The Sociological Imagination"
22496: CNOW,"Wellness Management"
22497: CODI,"College Discovery Seminar"
22498: CODI,"Exploring Strategies for Stud"
22499: COMA,"Construction Cost Analysis"
22500: COMA,"Construction Design"
22501: COMA,"Foundations and Structures"
22502: CRIM,"Corrections and Sentencing"
22503: CRIM,"Crime & Justice in Urban Commu"
22504: CRIM,"Criminal Law"
22505: CRIM,"Criminology"
22506: CRIM,"Intro Amer Criminal Justice"
22507: CRIM,"Intro to Criminal Justice Res"
22508: CRIM,"Policing"
22509: DANC,"Adv. Beg Modern Dance III"
22510: DANC,"Adv. Beginning Modern Dance II"
22511: DANC,"Advanced Beg Modern Dance I"
22512: DANC,"Advanced Beginning Ballet I"
22513: DANC,"Advanced Beginning Ballet II"
22514: DANC,"Advanced Beginning Ballet III"
22515: DANC,"Advanced Beginning Jazz Dance"
22516: DANC,"African and Afro-Caribbean Dan"
22517: DANC,"Beg. Modern Dance for Majors"
22518: DANC,"Beginning Ballet"
22519: DANC,"Beginning Ballet for Majors"
22520: DANC,"Beginning Modern Dance"
22521: DANC,"Choreography I"
22522: DANC,"Contact Improvisation"
22523: DANC,"Dance Workshop  II"
22524: DANC,"Dance Workshop I"
22525: DANC,"Dance Workshop III"
22526: DANC,"Dance in the Twentieth Century"
22527: DANC,"Dance on Stage and Film"
22528: DANC,"Foundations of Dance Movement"
22529: DANC,"History of African Dance Forms"
22530: DANC,"Intermediate Ballet I"
22531: DANC,"Intermediate Ballet II"
22532: DANC,"Intermediate Ballet III"
22533: DANC,"Intermediate Modern Dance I"
22534: DANC,"Intermediate Modern Dance II"
22535: DANC,"Intermediate Modern Dance III"
22536: DANC,"Intro to the Art Of Dance"
22537: DANC,"Jazz Dance"
22538: DANC,"Latin Dance"
22539: DANC,"Modern Dance Improvisation"
22540: DANC,"Music Video Dance"
22541: DANC,"Musical Theater Dance"
22542: DANC,"Repertory I"
22543: DANC,"Repertory II"
22544: DANC,"Social and Folk Dance"
22545: DANC,"Spcl Top. In Modern Dance I"
22546: DANC,"Spcl Top. In Modern Dance III"
22547: DANC,"Spec Top in Modern Dance II"
22548: DESK,"Accelerated Reading Workshop"
22549: DESK,"Advanced Composition ESL"
22550: DESK,"Basic Read Esl Prerq"
22551: DESK,"Basic Reading Skills ESL"
22552: DESK,"Be 111 Placement"
22553: DESK,"Be 122 Co Placement"
22554: DESK,"Be 201 Placement"
22555: DESK,"Be Remedial Waiver"
22556: DESK,"Begin Composition ESL Students"
22557: DESK,"CUNY START WKSP- Read&Write"
22558: DESK,"Clip"
22559: DESK,"Col Read Esl Coreq"
22560: DESK,"Coll Read Stud & Sklls ESL Stu"
22561: DESK,"College Read Prereq"
22562: DESK,"College Reading & Study Skills"
22563: DESK,"Communications Workshop"
22564: DESK,"Composition Workshop"
22565: DESK,"CunyStart Writing Wrkshp"
22566: DESK,"Cunystart Reading Workshop"
22567: DESK,"Dept Writing Exempt BE 111"
22568: DESK,"Dev Read Writ for Continuing"
22569: DESK,"Dev Read Writ for Incoming"
22570: DESK,"Develop Read Prereq"
22571: DESK,"Development of Reading Skills"
22572: DESK,"Develpmt of Composition Skills"
22573: DESK,"ESL Reading Writing Wksp CLIP"
22574: DESK,"ESL Workshop CLIP Advanced"
22575: DESK,"ESL Workshop CLIP Beginner"
22576: DESK,"ESL Workshop CLIP High Beginnr"
22577: DESK,"ESL Workshop CLIP High Intermd"
22578: DESK,"ESL Workshop CLIP Low Beginner"
22579: DESK,"ESL Workshop CLIP Low Intermd"
22580: DESK,"Immersion Read Repeats"
22581: DESK,"Immersion Write Repeats"
22582: DESK,"Intermediate Composition ESL"
22583: DESK,"Read & Write For Advance Esl"
22584: DESK,"Reading Early Exit Workshop"
22585: DESK,"Reading Immersion Program"
22586: DESK,"Reading Wkshop - Incoming Stud"
22587: DESK,"Reading Workshop"
22588: DESK,"Remedial Writing"
22589: DESK,"USIP WKSP - Reading22590: DESK,"USIP for BE 203/225"
22591: DESK,"Usip For Be111/121 Students"
22592: DESK,"Usip For Be205/226"
22593: DESK,"Writing Early Exit Workshop"
22594: DESK,"Writing Wkshop - Incoming Stud"
22595: DESK,"Writing Workshop - CATW"
22596: ECON,"Contemporary Economic Issues"
22597: ECON,"International Economics"
22598: ECON,"Introduction to Macroeconomics"
22599: ECON,"Introduction to Microeconomics"
22600: ECON,"Labor and Management"
22601: EDHE,"Addictions and Dependencies"
22602: EDHE,"Cardiopulmonary Resuscitation"
22603: EDHE,"Emergency Medical Technician"
22604: EDHE,"Emrgncy Med Tch Lb"
22605: EDHE,"Emt Refresh Lab"
22606: EDHE,"Emt Refresher"
22607: EDHE,"First Aid and Safety Education"
22608: EDHE,"Fund Human Nutrition"
22609: EDHE,"Health Education Waiver"
22610: EDHE,"Health and Physical Fitness"
22611: EDHE,"Health22612: EDHE,"Human Sexuality"
22613: EDHE,"Mental Health"
22614: EDHE,"Personal Health and Wellness"
22615: EDHE,"Principles & Practices Health"
22616: EDHE,"Soc & Behavior Deter of Health"
22617: EDHE,"Stress Management"
22618: EDPH,"Advanced Beginning Ballet II"
22619: EDPH,"Advanced Beginning Ballet III"
22620: EDPH,"Aerobic Exercise"
22621: EDPH,"Archery"
22622: EDPH,"Badminton"
22623: EDPH,"Baseball I"
22624: EDPH,"Baseball II"
22625: EDPH,"Basketball"
22626: EDPH,"Basketball I"
22627: EDPH,"Basketball II"
22628: EDPH,"Beginning Ballet for Majors"
22629: EDPH,"Beginning Paddleball"
22630: EDPH,"Beginning Swimming"
22631: EDPH,"Beginning Tennis"
22632: EDPH,"Beginning Volleyball"
22633: EDPH,"Bowling I"
22634: EDPH,"Bowling II"
22635: EDPH,"Concepts Personal Training II"
22636: EDPH,"Concepts of Personal Training"
22637: EDPH,"Contact Improvisation"
22638: EDPH,"Cross-Country I"
22639: EDPH,"Cross-Country II"
22640: EDPH,"Dance Workshop III"
22641: EDPH,"Fitness Walking"
22642: EDPH,"Foundations Of Physical Educat"
22643: EDPH,"Games and Sports for Children"
22644: EDPH,"Golf"
22645: EDPH,"Handball"
22646: EDPH,"Intercollegiate Swimming Coed"
22647: EDPH,"Intermediate Ballet II"
22648: EDPH,"Intermediate Ballet III"
22649: EDPH,"Intermediate Modern III"
22650: EDPH,"Intermediate Swimming"
22651: EDPH,"Intermediate Volleyball"
22652: EDPH,"Intrcol Swim 1"
22653: EDPH,"Intro to Physical Fitness"
22654: EDPH,"Introduction To Exercise Scien"
22655: EDPH,"Introduction to Coaching"
22656: EDPH,"Introduction to Team Sport"
22657: EDPH,"Introduction to T’ai Chi"
22658: EDPH,"Jogging"
22659: EDPH,"Lifeguard Training"
22660: EDPH,"Modern Dance Improvisation"
22661: EDPH,"Physical Ed Waiver"
22662: EDPH,"Principles of Cross Training"
22663: EDPH,"Racquetball"
22664: EDPH,"Self-Defense"
22665: EDPH,"Slimnastics"
22666: EDPH,"Soccer"
22667: EDPH,"Soccer I"
22668: EDPH,"Soccer II"
22669: EDPH,"Softball"
22670: EDPH,"Softball I"
22671: EDPH,"Softball II"
22672: EDPH,"Special Topics in Modern Dance"
22673: EDPH,"Sports Conditioning"
22674: EDPH,"Swim for Fitness"
22675: EDPH,"Swimming"
22676: EDPH,"T&P Of Trk And Fld"
22677: EDPH,"Table Tennis"
22678: EDPH,"Tennis 1"
22679: EDPH,"Tennis II"
22680: EDPH,"Theo & Practice of Volleyball"
22681: EDPH,"Theo And Prac Badm"
22682: EDPH,"Theo And Prac Bask"
22683: EDPH,"Theory & Practice of Softball"
22684: EDPH,"Theory and Practice of Fencing"
22685: EDPH,"Theory and Practice of Golf"
22686: EDPH,"Theory and Practice of Soccer"
22687: EDPH,"Theory and Practice of Tennis"
22688: EDPH,"Touch Football"
22689: EDPH,"Track-Field I"
22690: EDPH,"Track-Field II"
22691: EDPH,"Volleyball I"
22692: EDPH,"Volleyball II"
22693: EDPH,"Wat.Safety22694: EDPH,"Weight Training"
22695: EDPH,"Yoga"
22696: EDPH,"Yoga II"
22697: EDUC,"Chldhd Lrning & Devlpmnt Cult"
22698: EDUC,"Contempry Educ: Princ & Pract"
22699: EDUC,"Day Care Fieldwork"
22700: EDUC,"Day Care Fieldwork Practicum I"
22701: EDUC,"Hist & Cur Erched"
22702: EDUC,"Hist Of Early Child"
22703: EDUC,"Infant/Toddler Environments"
22704: EDUC,"Infant/toddler Environments"
22705: EDUC,"Middle Chldhd & Adlscnt Learn"
22706: EDUC,"Special Education"
22707: EGEC,"Adv C Prog - Lab"
22708: EGEC,"Advanced C++"
22709: EGEC,"Advanced Network Security"
22710: EGEC,"Advanced Web & Multimedia Prog"
22711: EGEC,"Audio Elecronic Lab"
22712: EGEC,"Cisco Ccna 3 Lab"
22713: EGEC,"Cisco Ccna 4 Lab"
22714: EGEC,"Cloud Technology Developing"
22715: EGEC,"Cloud Technology Operations"
22716: EGEC,"Co-op Ed Engi Tech"
22717: EGEC,"Comp & Electrical Device Appl"
22718: EGEC,"Comp App Tele Lab"
22719: EGEC,"Comp App Telecomm"
22720: EGEC,"Comp Con Sys Lab"
22721: EGEC,"Comp In Soc Lab"
22722: EGEC,"Computer Applications"
22723: EGEC,"Computer Architecture"
22724: EGEC,"Computer Control Systems"
22725: EGEC,"Computer Network Security"
22726: EGEC,"Computer Project Laboratory"
22727: EGEC,"Computers In Modern Society"
22728: EGEC,"Computers in Society"
22729: EGEC,"Connectivity Fundamentals"
22730: EGEC,"Coop Ed Eng Tech"
22731: EGEC,"Coop Educ in Engineering Tech"
22732: EGEC,"Creating Smartphone Apps"
22733: EGEC,"Database Administration"
22734: EGEC,"Database Tech Lab"
22735: EGEC,"Database Technology"
22736: EGEC,"Dig Comp Theo 1 Lb"
22737: EGEC,"Digit Comp Lab"
22738: EGEC,"Digital Computer Theory I"
22739: EGEC,"Digital Electronics"
22740: EGEC,"Digital Marketing Summer Works"
22741: EGEC,"Elec Circ Ana 1 Lb"
22742: EGEC,"Elec Comm Lab"
22743: EGEC,"Elec Contrl Sys Lb"
22744: EGEC,"Electric Circuit Analysis"
22745: EGEC,"Electrical Circuits"
22746: EGEC,"Electrical Controls Systems"
22747: EGEC,"Electrical Tech Fundamentals"
22748: EGEC,"Electronic Communications"
22749: EGEC,"Electronic Project Laboratory"
22750: EGEC,"Electronics & Auto for Home"
22751: EGEC,"Electronics I"
22752: EGEC,"Electronics II"
22753: EGEC,"Energy Green Society"
22754: EGEC,"Energy Production and Conserva"
22755: EGEC,"Ethical Hack & Penetratn Test"
22756: EGEC,"Fundamentals of Audio Electr"
22757: EGEC,"Green Society Lab"
22758: EGEC,"Intr Assmbly Prgm"
22759: EGEC,"Intro C Prpgram Lb"
22760: EGEC,"Intro To C++"
22761: EGEC,"Intro To C++ Programming"
22762: EGEC,"Intro to Computer Programming"
22763: EGEC,"Intro to Microprocessors"
22764: EGEC,"Introduction to Electronics"
22765: EGEC,"Introduction to Robotics"
22766: EGEC,"Java Prog Tech Lab"
22767: EGEC,"Java Programming Technology"
22768: EGEC,"Linux Operating System"
22769: EGEC,"Micro Prcs-Cptr Lb"
22770: EGEC,"Microprocessors & Microcomputr"
22771: EGEC,"Network Configuration I"
22772: EGEC,"Network Configuration II"
22773: EGEC,"Network Lab"
22774: EGEC,"Networking Fundamentals I"
22775: EGEC,"Networking Fundamentals II"
22776: EGEC,"Object-Oriented Prog Java"
22777: EGEC,"Object-Oriented Programming"
22778: EGEC,"Op Sys & Envirn Lb"
22779: EGEC,"Operating Sys & Sys Deployment"
22780: EGEC,"PC Essentials I"
22781: EGEC,"PC Essentials II"
22782: EGEC,"Pc Essentials Lab"
22783: EGEC,"Pc Tech Lab"
22784: EGEC,"Personal Computer Technology22785: EGEC,"Prin - Ele Tech Lb"
22786: EGEC,"Princ of Electrical Technology"
22787: EGEC,"Prog & Applications w/ Python"
22788: EGEC,"Programming Embedded Systems"
22789: EGEC,"Science & Tech in Modern Life"
22790: EGEC,"Security Policies and Procedur"
22791: EGEC,"Sin&Tra Cir Ana Lb"
22792: EGEC,"Sinusoidal & Transnt Analysis"
22793: EGEC,"Tech Com Lab 4"
22794: EGEC,"Technology and Society"
22795: EGEC,"Telcmmunicat Lab"
22796: EGEC,"Tele Comm III Lab"
22797: EGEC,"Tele Comm Ii Lab"
22798: EGEC,"Tele Tech I Lab"
22799: EGEC,"Tele Tech Ii Lab"
22800: EGEC,"Telecom Lab"
22801: EGEC,"Telecom Technology 1"
22802: EGEC,"Telecomm Technology 2"
22803: EGEC,"Telecomm Technology 3"
22804: EGEC,"Telecomm Technology 4"
22805: EGEC,"Telecommunications I"
22806: EGEC,"Telecommunications II"
22807: EGEC,"The Role of Energy in Society"
22808: EGEC,"The Science Of Energy And Powe"
22809: EGEC,"Tran Electromec Transducers"
22810: EGEC,"Unix Lab"
22811: EGEC,"Web Client Lab"
22812: EGEC,"Web Client Programming: JavaSc"
22813: EGEC,"Web Server Lab"
22814: EGEC,"Web Tech Lab"
22815: EGEC,"Web Tech:Xml Lab"
22816: EGEC,"Web Technologies II"
22817: EGEC,"Web Technology I"
22818: EGEC,"Web Technology: XML"
22819: EGEC,"Wireless Mobile Communications"
22820: EGEL,"Caa Lab"
22821: EGEL,"Comp Analysis for Electric Eng"
22822: EGEL,"Computer Network Security"
22823: EGEL,"Electrical Circuits"
22824: EGEL,"Engineering Design I"
22825: EGEL,"Linear Systems Analysis"
22826: EGMT,"Applied Mechanics"
22827: EGMT,"Architectural Design II"
22828: EGMT,"Autocad - Lab"
22829: EGMT,"Autodesk - Lab"
22830: EGMT,"CIM -Lab"
22831: EGMT,"Cad Management-Lab"
22832: EGMT,"Com App In Et Lab"
22833: EGMT,"Comp Aid Man Lab"
22834: EGMT,"Comp Appl In Engineering Tech"
22835: EGMT,"Comp Con Manuf  Lab"
22836: EGMT,"Comp Controlled Manufacturing"
22837: EGMT,"Comp Lab In Mt"
22838: EGMT,"Computer Aided Design I"
22839: EGMT,"Computer Aided Design II"
22840: EGMT,"Computer-Aided Manufacturing"
22841: EGMT,"Computer-Integrated Manufactur"
22842: EGMT,"Cooperative Edu/Design Project"
22843: EGMT,"Elec & Mech Lab"
22844: EGMT,"Elec-Mech Dr & Tec"
22845: EGMT,"Engineering Analysis"
22846: EGMT,"Fund Cnc Lab"
22847: EGMT,"Fund. of Comp Numerical Contrl"
22848: EGMT,"Fundamentals of HVAC Systems"
22849: EGMT,"Int Num Con Lab"
22850: EGMT,"Intro to Virtual Automation"
22851: EGMT,"Machine Design"
22852: EGMT,"Manufacturing Processes"
22853: EGMT,"Manufctrng Proc Lb"
22854: EGMT,"Measurement Techniques TS"
